theta0,theta1,value
-10.0,-10.0,-25.320564458023906
-9.5,-10.0,-25.320564458023906
-9.0,-10.0,-25.320564458023906
-8.5,-10.0,-25.320564458023906
-8.0,-10.0,-25.320564458023906
-7.5,-10.0,-25.320564458023906
-7.0,-10.0,-25.320564458023906
-6.5,-10.0,-25.320564458023906
-6.0,-10.0,-25.320564458023906
-5.5,-10.0,-25.320564458023906
-5.0,-10.0,-25.320564458023906
-4.5,-10.0,-25.320564458023906
-4.0,-10.0,-25.320564458023906
-3.5,-10.0,-25.320564458023906
-3.0,-10.0,-25.320564458023906
-2.5,-10.0,-25.320564458023906
-2.0,-10.0,-25.320564458023906
-1.5,-10.0,-25.320564458023906
-1.0,-10.0,-25.320564458023906
-0.5,-10.0,-25.320564458023906
0.0,-10.0,-25.320564458023906
0.5,-10.0,-25.320564458023906
1.0,-10.0,-25.320564458023906
1.5,-10.0,-25.320564458023906
2.0,-10.0,-25.320564458023906
2.5,-10.0,-25.320564458023906
3.0,-10.0,-25.320564458023906
3.5,-10.0,-25.320564458023906
4.0,-10.0,-25.320564458023906
4.5,-10.0,-25.320564458023906
5.0,-10.0,-25.320564458023906
5.5,-10.0,-25.320564458023906
6.0,-10.0,-25.320564458023906
6.5,-10.0,-25.320564458023906
7.0,-10.0,-25.320564458023906
7.5,-10.0,-25.320564458023906
8.0,-10.0,-25.320564458023906
8.5,-10.0,-25.320564458023906
9.0,-10.0,-25.320564458023906
9.5,-10.0,-25.320564458023906
10.0,-10.0,-25.320564458023906
-10.0,-9.5,-25.320554192588645
-9.5,-9.5,-25.320554192588645
-9.0,-9.5,-25.320554192588645
-8.5,-9.5,-25.320554192588645
-8.0,-9.5,-25.320554192588645
-7.5,-9.5,-25.320554192588645
-7.0,-9.5,-25.320554192588645
-6.5,-9.5,-25.320554192588645
-6.0,-9.5,-25.320554192588645
-5.5,-9.5,-25.320554192588645
-5.0,-9.5,-25.320554192588645
-4.5,-9.5,-25.320554192588645
-4.0,-9.5,-25.320554192588645
-3.5,-9.5,-25.320554192588645
-3.0,-9.5,-25.320554192588645
-2.5,-9.5,-25.320554192588645
-2.0,-9.5,-25.320554192588645
-1.5,-9.5,-25.320554192588645
-1.0,-9.5,-25.320554192588645
-0.5,-9.5,-25.320554192588645
0.0,-9.5,-25.320554192588645
0.5,-9.5,-25.320554192588645
1.0,-9.5,-25.320554192588645
1.5,-9.5,-25.320554192588645
2.0,-9.5,-25.320554192588645
2.5,-9.5,-25.320554192588645
3.0,-9.5,-25.320554192588645
3.5,-9.5,-25.320554192588645
4.0,-9.5,-25.320554192588645
4.5,-9.5,-25.320554192588645
5.0,-9.5,-25.320554192588645
5.5,-9.5,-25.320554192588645
6.0,-9.5,-25.320554192588645
6.5,-9.5,-25.320554192588645
7.0,-9.5,-25.320554192588645
7.5,-9.5,-25.320554192588645
8.0,-9.5,-25.320554192588645
