iteration,theta0,theta1,v_gamma
0,0.0,0.0,-4.792547738769886
1,0.0,0.06563444541049535,-4.788197745014884
2,0.0,0.1325344126802861,-4.783682148640196
3,0.0,0.20060986630805644,-4.7790107728023665
4,0.0,0.2697531936381665,-4.774196527893338
5,0.0,0.3398393944804994,-4.769255440939437
6,0.0,0.41072689610322755,-4.764206549064794
7,0.0,0.482259045498715,-4.759071642012375
8,0.0,0.5542662866386578,-4.753874850309218
9,0.0,0.6265689773012326,-4.748642089858378
10,0.0,0.6989807436817372,-4.74340038875117
11,0.0,0.7713122187921257,-4.738177135624221
12,0.0,0.8433749704327198,-4.73299929859393
13,0.0,0.9149854028881705,-4.7278926678540705
14,0.0,0.9859684173127263,-4.72288117258106
15,0.0,1.0561606391496206,-4.717986314251736
16,0.0,1.1254130631845563,-4.713226745378618
17,0.0,1.19359302131301,-4.708618007293928
18,0.0,1.260585436717875,-4.70417242543504
19,0.0,1.3262933830995038,-4.699899147704763
20,0.0,1.3906380127722962,-4.695804302267018
21,0.0,1.4535579492563073,-4.691891246090025
22,0.0,1.5150082574946246,-4.688160874398476
23,0.0,1.5749591092449542,-4.6846119631502345
24,0.0,1.63339425517497,-4.68124152068197
25,0.0,1.6903094019949947,-4.678045129749196
26,0.0,1.7457105757893565,-4.675017266468609
27,0.0,1.7996125342615485,-4.672151587550806
28,0.0,1.8520372728863208,-4.66944118133572
29,0.0,1.903012654238374,-4.666878781367413
30,0.0,1.952571176689215,-4.664456943577124
31,0.0,2.0007488884011444,-4.662168189682952
32,0.0,2.0475844449505267,-4.6600051203058
33,0.0,2.0931183036485983,-4.657960501697304
34,0.0,2.137392044285656,-4.656027330019114
35,0.0,2.180447804184162,-4.654198876923429
36,0.0,2.2223278147242596,-4.652468719856706
37,0.0,2.263074026573234,-4.650830760111624
38,0.0,2.3027278114437557,-4.649279231235387
39,0.0,2.341329729119364,-4.647808699996944
40,0.0,2.3789193495677434,-4.646414061740869
41,0.0,2.415535121105302,-4.645090531621001
42,0.0,2.4512142767072636,-4.6438336329162455
43,0.0,2.485992771629622,-4.642639183383464
44,0.0,2.5199052464958935,-4.641503280395494
45,0.0,2.5529850108894827,-4.640422285441628
46,0.0,2.5852640432780856,-4.639392808428931
47,0.0,2.6167730037821553,-4.638411692111046
48,0.0,2.647541256891378,-4.63747599688184
49,0.0,2.6775969017394416,-4.6365829861012555
50,0.0,2.7069668079772207,-4.635730112065689
51,0.0,2.735676655647012,-4.634915002693176
52,0.0,2.7637509777644613,-4.634135448961306
