theta0,theta1,v_gamma
-10.0,-10.0,2.9823172849489383
-9.5,-10.0,2.9823172849489383
-9.0,-10.0,2.9823172849489388
-8.5,-10.0,2.9823172849489397
-8.0,-10.0,2.9823172849489437
-7.5,-10.0,2.982317284948962
-7.0,-10.0,2.9823172849490396
-6.5,-10.0,2.9823172849493957
-6.0,-10.0,2.982317284950988
-5.5,-10.0,2.982317284958126
-5.0,-10.0,2.9823172849901134
-4.5,-10.0,2.9823172851334734
-4.0,-10.0,2.982317285775968
-3.5,-10.0,2.982317288655427
-3.0,-10.0,2.9823173015602658
-2.5,-10.0,2.9823173593957426
-2.0,-10.0,2.9823176185963374
-1.5,-10.0,2.982318780252254
-1.0,-10.0,2.982323986421697
-0.5,-10.0,2.982347318629797
0.0,-10.0,2.982451881821024
0.5,-10.0,2.982920410948606
1.0,-10.0,2.985018395035829
1.5,-10.0,2.9943845431963454
2.0,-10.0,3.0356433037853434
2.5,-10.0,3.2072237407967306
3.0,-10.0,3.7796823402937214
3.5,-10.0,4.827802136428261
4.0,-10.0,5.593729120477045
4.5,-10.0,5.860239558530704
5.0,-10.0,5.927302129092734
5.5,-10.0,5.942694533703906
6.0,-10.0,5.946151025430436
6.5,-10.0,5.94692337469497
7.0,-10.0,5.947095764042618
7.5,-10.0,5.947134232041203
8.0,-10.0,5.947142815548108
8.5,-10.0,5.947144730794161
9.0,-10.0,5.947145158143656
9.5,-10.0,5.947145253498235
10.0,-10.0,5.9471452747747175
-10.0,-9.5,2.9822881828606396
-9.5,-9.5,2.9822881828606396
-9.0,-9.5,2.98228818286064
-8.5,-9.5,2.9822881828606413
-8.0,-9.5,2.982288182860648
-7.5,-9.5,2.9822881828606773
-7.0,-9.5,2.982288182860808
-6.5,-9.5,2.982288182861394
-6.0,-9.5,2.98228818286402
-5.5,-9.5,2.9822881828757875
-5.0,-9.5,2.9822881829285266
-4.5,-9.5,2.9822881831648864
-4.0,-9.5,2.982288184224181
-3.5,-9.5,2.982288188971606
-3.0,-9.5,2.982288210248089
-2.5,-9.5,2.9822883056026672
-2.0,-9.5,2.9822887329521635
-1.5,-9.5,2.982290648198216
-1.0,-9.5,2.9822992317051202
