theta0,theta1,v_gamma
-10.0,-10.0,2.7462998154995186
-9.5,-10.0,2.7462998154995186
-9.0,-10.0,2.746299815499519
-8.5,-10.0,2.7462998154995195
-8.0,-10.0,2.746299815499523
-7.5,-10.0,2.7462998154995386
-7.0,-10.0,2.746299815499605
-6.5,-10.0,2.7462998154999068
-6.0,-10.0,2.7462998155012572
-5.5,-10.0,2.7462998155073093
-5.0,-10.0,2.7462998155344347
-4.5,-10.0,2.7462998156560015
-4.0,-10.0,2.746299816200825
-3.5,-10.0,2.746299818642557
-3.0,-10.0,2.74629982958564
-2.5,-10.0,2.7462998786291317
-2.0,-10.0,2.74630009842679
-1.5,-10.0,2.7463010834910824
-1.0,-10.0,2.7463054982334736
-0.5,-10.0,2.7463252835457466
0.0,-10.0,2.7464139513384316
0.5,-10.0,2.746811256002374
1.0,-10.0,2.748590310523558
1.5,-10.0,2.756532643514797
2.0,-10.0,2.7915193648208985
2.5,-10.0,2.937016632445974
3.0,-10.0,3.422451705966402
3.5,-10.0,4.311239315658796
4.0,-10.0,4.960732260894838
4.5,-10.0,5.186728541157233
5.0,-10.0,5.243596450731572
5.5,-10.0,5.256648945830164
6.0,-10.0,5.259579991528255
6.5,-10.0,5.2602349304571865
7.0,-10.0,5.260381113667155
7.5,-10.0,5.26041373387015
8.0,-10.0,5.2604210125367805
8.5,-10.0,5.260422636632583
9.0,-10.0,5.260422999017625
9.5,-10.0,5.260423079876673
10.0,-10.0,5.260423097918765
-10.0,-9.5,2.746275347102877
-9.5,-9.5,2.746275347102877
-9.0,-9.5,2.7462753471028774
-8.5,-9.5,2.7462753471028787
-8.0,-9.5,2.746275347102884
-7.5,-9.5,2.746275347102909
-7.0,-9.5,2.7462753471030195
-6.5,-9.5,2.746275347103517
-6.0,-9.5,2.746275347105743
-5.5,-9.5,2.7462753471157217
-5.0,-9.5,2.7462753471604433
-4.5,-9.5,2.7462753473608728
-4.0,-9.5,2.7462753482591364
-3.5,-9.5,2.7462753522848717
-3.0,-9.5,2.746275370326964
-2.5,-9.5,2.746275451186011
-2.0,-9.5,2.746275813571054
-1.5,-9.5,2.7462774376668557
-1.0,-9.5,2.746284716333486
-0.5,-9.5,2.7463173365364817
0.0,-9.5,2.74646351974645
0.5,-9.5,2.7471184586753825
1.0,-9.5,2.750049504373473
1.5,-9.5,2.763101999472065
2.0,-9.5,2.819969909046403
2.5,-9.5,3.0459661893087975
3.0,-9.5,3.695459134544841
3.5,-9.5,4.584246744237235
4.0,-9.5,5.069681817757663
4.5,-9.5,5.215179085382738
5.0,-9.5,5.250165806688839
5.5,-9.5,5.258108139680079
6.0,-9.5,5.259887194201263
6.5,-9.5,5.2602844988652055
7.0,-9.5,5.26037316665789
7.5,-9.5,5.2603929519701635
8.0,-9.5,5.260397366712554
8.5,-9.5,5.260398351776846
9.0,-9.5,5.2603985715745045
9.5,-9.5,5.260398620617997
10.0,-9.5,5.260398631561079
-10.0,-9.0,2.7462350086835263
-9.5,-9.0,2.7462350086835263
-9.0,-9.0,2.7462350086835263
-8.5,-9.0,2.7462350086835285
-8.0,-9.0,2.7462350086835383
-7.5,-9.0,2.7462350086835783
-7.0,-9.0,2.7462350086837617
-6.5,-9.0,2.7462350086845806
-6.0,-9.0,2.746235008688251
-5.5,-9.0,2.7462350087047036
-5.0,-9.0,2.7462350087784375
-4.5,-9.0,2.74623500910889
-4.0,-9.0,2.7462350105898756
-3.5,-9.0,2.7462350172271903
-3.0,-9.0,2.7462350469735726
-2.5,-9.0,2.7462351802875986
-2.0,-9.0,2.746235777759438
-1.5,-9.0,2.7462384554389665
-1.0,-9.0,2.746250455895977
-0.5,-9.0,2.746304236805798
0.0,-9.0,2.7465452378605772
0.5,-9.0,2.7476247623275043
1.0,-9.0,2.752451488143084
1.5,-9.0,2.7738575370106395
2.0,-9.0,2.86546950087407
2.5,-9.0,3.204875266337942
3.0,-9.0,4.0032966524841465
3.5,-9.0,4.8017180386303515
4.0,-9.0,5.141123804094224
4.5,-9.0,5.232735767957654
5.0,-9.0,5.25414181682521
5.5,-9.0,5.2589685426407895
6.0,-9.0,5.260048067107717
6.5,-9.0,5.260289068162495
7.0,-9.0,5.260342849072317
7.5,-9.0,5.260354849529327
8.0,-9.0,5.260357527208855
8.5,-9.0,5.260358124680695
9.0,-9.0,5.260358257994721
9.5,-9.0,5.260358287741103
10.0,-9.0,5.260358294378418
-10.0,-8.5,2.7461685104256515
-9.5,-8.5,2.746168510425652
-9.0,-8.5,2.7461685104256524
-8.5,-8.5,2.746168510425656
-8.0,-8.5,2.746168510425671
-7.5,-8.5,2.746168510425738
-7.0,-8.5,2.7461685104260396
-6.5,-8.5,2.74616851042739
-6.0,-8.5,2.7461685104334426
-5.5,-8.5,2.7461685104605675
-5.0,-8.5,2.7461685105821347
-4.5,-8.5,2.7461685111269585
-4.0,-8.5,2.7461685135686906
-3.5,-8.5,2.7461685245117726
-3.0,-8.5,2.7461685735552646
-2.5,-8.5,2.746168793352923
-2.0,-8.5,2.7461697784172157
-1.5,-8.5,2.7461741931596064
-1.0,-8.5,2.7461939784718803
-0.5,-8.5,2.746282646264564
0.0,-8.5,2.7466799509285065
0.5,-8.5,2.7484590054496914
1.0,-8.5,2.75640133844093
1.5,-8.5,2.7913880597470313
2.0,-8.5,2.936885327372107
2.5,-8.5,3.422320400892534
3.0,-8.5,4.3111080105849275
3.5,-8.5,4.960600955820972
4.0,-8.5,5.186597236083366
4.5,-8.5,5.243465145657706
5.0,-8.5,5.256517640756297
5.5,-8.5,5.259448686454387
6.0,-8.5,5.260103625383319
6.5,-8.5,5.260249808593289
7.0,-8.5,5.260282428796284
7.5,-8.5,5.260289707462913
8.0,-8.5,5.260291331558716
8.5,-8.5,5.260291693943759
9.0,-8.5,5.2602917748028055
9.5,-8.5,5.260291792844898
10.0,-8.5,5.260291796870634
-10.0,-8.0,2.746058896574488
-9.5,-8.0,2.7460588965744885
-9.0,-8.0,2.7460588965744894
-8.5,-8.0,2.746058896574495
-8.0,-8.0,2.746058896574519
-7.5,-8.0,2.7460588965746306
-7.0,-8.0,2.7460588965751276
-6.5,-8.0,2.746058896577354
-6.0,-8.0,2.746058896587333
-5.5,-8.0,2.746058896632055
-5.0,-8.0,2.7460588968324844
-4.5,-8.0,2.746058897730747
-4.0,-8.0,2.746058901756482
-3.5,-8.0,2.7460589197985756
-3.0,-8.0,2.746059000657622
-2.5,-8.0,2.7460593630426646
-2.0,-8.0,2.7460609871384665
-1.5,-8.0,2.746068265805097
-1.0,-8.0,2.746100886008093
-0.5,-8.0,2.746247069218062
0.0,-8.0,2.746902008146994
0.5,-8.0,2.749833053845084
1.0,-8.0,2.7628855489436757
1.5,-8.0,2.819753458518014
2.0,-8.0,3.045749738780409
2.5,-8.0,3.6952426840164523
3.0,-8.0,4.584030293708847
3.5,-8.0,5.069465367229274
4.0,-8.0,5.214962634854349
4.5,-8.0,5.249949356160451
5.0,-8.0,5.25789168915169
5.5,-8.0,5.259670743672875
6.0,-8.0,5.260068048336817
6.5,-8.0,5.260156716129501
7.0,-8.0,5.260176501441775
7.5,-8.0,5.260180916184165
8.0,-8.0,5.260181901248457
8.5,-8.0,5.260182121046116
9.0,-8.0,5.2601821700896085
