theta0,theta1,v_gamma
-10.0,-10.0,2.7172139924182983
-9.5,-10.0,2.7172139924182983
-9.0,-10.0,2.7172139924182988
-8.5,-10.0,2.717213992418299
-8.0,-10.0,2.7172139924183023
-7.5,-10.0,2.7172139924183174
-7.0,-10.0,2.7172139924183827
-6.5,-10.0,2.717213992418678
-6.0,-10.0,2.71721399242
-5.5,-10.0,2.7172139924259247
-5.0,-10.0,2.717213992452478
-4.5,-10.0,2.7172139925714833
-4.0,-10.0,2.7172139931048283
-3.5,-10.0,2.7172139954951122
-3.0,-10.0,2.7172140062076244
-2.5,-10.0,2.71721405421777
-2.0,-10.0,2.7172142693842907
-1.5,-10.0,2.7172152336932727
-1.0,-10.0,2.7172195554170173
-0.5,-10.0,2.7172389238526526
0.0,-10.0,2.7173257234144588
0.5,-10.0,2.7177146568669532
1.0,-10.0,2.719456226699619
1.5,-10.0,2.7272312146911726
2.0,-10.0,2.7614807655874687
2.5,-10.0,2.903912404985701
3.0,-10.0,3.3791193588446724
3.5,-10.0,4.249180208726268
4.0,-10.0,4.884988334044029
4.5,-10.0,5.106222871441814
5.0,-10.0,5.161892573849527
5.5,-10.0,5.174670052804805
6.0,-10.0,5.1775393413539605
6.5,-10.0,5.178180480716069
7.0,-10.0,5.178323583845002
7.5,-10.0,5.178355516740141
8.0,-10.0,5.178362642045226
8.5,-10.0,5.17836423192132
9.0,-10.0,5.178364586670907
9.5,-10.0,5.178364665826254
10.0,-10.0,5.1783646834882
-10.0,-9.5,2.717190095058775
-9.5,-9.5,2.717190095058775
-9.0,-9.5,2.7171900950587755
-8.5,-9.5,2.717190095058777
-8.0,-9.5,2.7171900950587817
-7.5,-9.5,2.717190095058806
-7.0,-9.5,2.7171900950589145
-6.5,-9.5,2.7171900950594012
-6.0,-9.5,2.7171900950615804
-5.5,-9.5,2.717190095071349
-5.0,-9.5,2.7171900951151287
-4.5,-9.5,2.7171900953113353
-4.0,-9.5,2.717190096190672
-3.5,-9.5,2.7171901001315852
-3.0,-9.5,2.7171901177935305
-2.5,-9.5,2.7171901969488763
-2.0,-9.5,2.7171905516984642
-1.5,-9.5,2.717192141574559
-1.0,-9.5,2.7171992668796436
-0.5,-9.5,2.7172311997747833
0.0,-9.5,2.7173743029037167
0.5,-9.5,2.7180154422658243
1.0,-9.5,2.72088473081498
1.5,-9.5,2.733662209770258
2.0,-9.5,2.7893319121779716
2.5,-9.5,3.010566449575755
3.0,-9.5,3.646374574893515
3.5,-9.5,4.516435424775112
4.0,-9.5,4.991642378634084
4.5,-9.5,5.134074018032316
5.0,-9.5,5.168323568928612
5.5,-9.5,5.176098556920166
6.0,-9.5,5.177840126752831
6.5,-9.5,5.178229060205326
7.0,-9.5,5.178315859767132
7.5,-9.5,5.178335228202766
8.0,-9.5,5.178339549926511
8.5,-9.5,5.178340514235494
9.0,-9.5,5.178340729402015
9.5,-9.5,5.17834077741216
10.0,-9.5,5.178340788124671
-10.0,-9.0,2.717150698047033
-9.5,-9.0,2.717150698047033
-9.0,-9.0,2.7171506980470332
-8.5,-9.0,2.717150698047035
-8.0,-9.0,2.717150698047045
-7.5,-9.0,2.717150698047084
-7.0,-9.0,2.7171506980472633
-6.5,-9.0,2.717150698048065
-6.0,-9.0,2.7171506980516584
-5.5,-9.0,2.7171506980677638
-5.0,-9.0,2.7171506981399443
-4.5,-9.0,2.717150698463434
-4.0,-9.0,2.7171506999132147
-3.5,-9.0,2.717150706410682
-3.0,-9.0,2.717150735530308
-2.5,-9.0,2.7171508660354062
-2.0,-9.0,2.7171514509185113
-1.5,-9.0,2.7171540721793166
-1.0,-9.0,2.717165819786632
-0.5,-9.0,2.7172184675323887
0.0,-9.0,2.7174543906936215
0.5,-9.0,2.7185111695741098
1.0,-9.0,2.723236196250283
1.5,-9.0,2.744191219550797
2.0,-9.0,2.833872918833177
2.5,-9.0,3.166127402957246
3.0,-9.0,3.947726046118388
3.5,-9.0,4.72932468927953
4.0,-9.0,5.0615791734036
4.5,-9.0,5.151260872685978
5.0,-9.0,5.172215895986494
5.5,-9.0,5.176940922662666
6.0,-9.0,5.177997701543155
6.5,-9.0,5.178233624704387
7.0,-9.0,5.178286272450144
7.5,-9.0,5.1782980200574595
8.0,-9.0,5.178300641318265
8.5,-9.0,5.178301226201371
9.0,-9.0,5.178301356706469
9.5,-9.0,5.178301385826095
10.0,-9.0,5.1783013923235615
-10.0,-8.5,2.717085751708319
-9.5,-8.5,2.7170857517083196
-9.0,-8.5,2.71708575170832
-8.5,-8.5,2.717085751708323
-8.0,-8.5,2.7170857517083378
-7.5,-8.5,2.717085751708404
-7.0,-8.5,2.7170857517086993
-6.5,-8.5,2.717085751710021
-6.0,-8.5,2.717085751715946
-5.5,-8.5,2.7170857517424993
-5.0,-8.5,2.7170857518615046
-4.5,-8.5,2.7170857523948495
-4.0,-8.5,2.7170857547851335
-3.5,-8.5,2.7170857654976457
-3.0,-8.5,2.717085813507791
-2.5,-8.5,2.717086028674312
-2.0,-8.5,2.7170869929832935
-1.5,-8.5,2.717091314707038
-1.0,-8.5,2.7171106831426743
-0.5,-8.5,2.7171974827044796
0.0,-8.5,2.7175864161569736
0.5,-8.5,2.71932798598964
1.0,-8.5,2.7271029739811934
1.5,-8.5,2.7613525248774895
2.0,-8.5,2.903784164275722
2.5,-8.5,3.3789911181346923
3.0,-8.5,4.24905196801629
3.5,-8.5,4.8848600933340505
4.0,-8.5,5.1060946307318344
4.5,-8.5,5.161764333139549
5.0,-8.5,5.174541812094825
5.5,-8.5,5.177411100643982
6.0,-8.5,5.178052240006089
6.5,-8.5,5.178195343135023
7.0,-8.5,5.178227276030162
7.5,-8.5,5.178234401335247
8.0,-8.5,5.1782359912113405
8.5,-8.5,5.178236345960928
9.0,-8.5,5.178236425116275
9.5,-8.5,5.178236442778221
10.0,-8.5,5.178236446719134
-10.0,-8.0,2.7169786959968922
-9.5,-8.0,2.7169786959968927
-9.0,-8.0,2.716978695996894
-8.5,-8.0,2.7169786959968993
-8.0,-8.0,2.716978695996923
-7.5,-8.0,2.7169786959970317
-7.0,-8.0,2.716978695997518
-6.5,-8.0,2.7169786959996975
-6.0,-8.0,2.716978696009466
-5.5,-8.0,2.716978696053246
-5.0,-8.0,2.716978696249452
-4.5,-8.0,2.7169786971287886
-4.0,-8.0,2.7169787010697015
-3.5,-8.0,2.716978718731648
-3.0,-8.0,2.7169787978869935
-2.5,-8.0,2.7169791526365814
-2.0,-8.0,2.716980742512676
-1.5,-8.0,2.716987867817761
-1.0,-8.0,2.7170198007129005
-0.5,-8.0,2.717162903841834
0.0,-8.0,2.717804043203941
0.5,-8.0,2.7206733317530976
1.0,-8.0,2.733450810708375
1.5,-8.0,2.7891205131160888
2.0,-8.0,3.0103550505138723
2.5,-8.0,3.6461631758316324
3.0,-8.0,4.51622402571323
3.5,-8.0,4.991430979572201
4.0,-8.0,5.133862618970432
4.5,-8.0,5.1681121698667285
5.0,-8.0,5.175887157858282
5.5,-8.0,5.177628727690949
6.0,-8.0,5.178017661143444
6.5,-8.0,5.178104460705248
7.0,-8.0,5.178123829140883
7.5,-8.0,5.178128150864628
8.0,-8.0,5.17812911517361
8.5,-8.0,5.1781293303401315
9.0,-8.0,5.1781293783502775
9.5,-8.0,5.178129389062788
10.0,-8.0,5.178129391453073
-10.0,-7.5,2.716802252643184
-9.5,-7.5,2.7168022526431845
-9.0,-7.5,2.7168022526431863
-8.5,-7.5,2.7168022526431956
-8.0,-7.5,2.7168022526432356
-7.5,-7.5,2.716802252643415
-7.0,-7.5,2.716802252644216
-6.5,-7.5,2.7168022526478097
-6.0,-7.5,2.7168022526639155
-5.5,-7.5,2.7168022527360955
-5.0,-7.5,2.7168022530595852
-4.5,-7.5,2.716802254509367
-4.0,-7.5,2.716802261006833
-3.5,-7.5,2.716802290126459
-3.0,-7.5,2.7168024206315575
-2.5,-7.5,2.716803005514663
-2.0,-7.5,2.716805626775468
-1.5,-7.5,2.7168173743827837
-1.0,-7.5,2.7168700221285396
-0.5,-7.5,2.7171059452897723
0.0,-7.5,2.7181627241702615
0.5,-7.5,2.722887750846434
1.0,-7.5,2.743842774146948
1.5,-7.5,2.8335244734293283
2.0,-7.5,3.1657789575533966
2.5,-7.5,3.9473776007145394
3.0,-7.5,4.728976243875682
3.5,-7.5,5.061230727999751
4.0,-7.5,5.1509124272821305
4.5,-7.5,5.171867450582646
5.0,-7.5,5.176592477258818
5.5,-7.5,5.177649256139306
6.0,-7.5,5.17788517930054
6.5,-7.5,5.1779378270462955
7.0,-7.5,5.177949574653611
7.5,-7.5,5.177952195914416
8.0,-7.5,5.177952780797522
8.5,-7.5,5.177952911302621
9.0,-7.5,5.177952940422246
9.5,-7.5,5.177952946919713
10.0,-7.5,5.1779529483694935
-10.0,-7.0,2.7165115142638756
-9.5,-7.0,2.716511514263876
-9.0,-7.0,2.7165115142638796
-8.5,-7.0,2.716511514263894
-8.0,-7.0,2.71651151426396
-7.5,-7.0,2.7165115142642553
-7.0,-7.0,2.716511514265577
-6.5,-7.0,2.7165115142715024
-6.0,-7.0,2.7165115142980554
-5.5,-7.0,2.7165115144170606
-5.0,-7.0,2.716511514950405
-4.5,-7.0,2.7165115173406895
-4.0,-7.0,2.716511528053202
-3.5,-7.0,2.716511576063347
-3.0,-7.0,2.716511791229868
-2.5,-7.0,2.71651275553885
-2.0,-7.0,2.7165170772625946
