iteration,theta0,theta1,v_gamma
0,0.0,0.0,3.970655430637536
1,2.2236209969526044,0.4941466408168935,5.331119851810684
2,2.2304873369285647,0.2638637111774831,5.385430386153825
3,2.238952461123275,0.023875983883719087,5.443671260585262
4,2.2494389856535597,-0.21965365948392462,5.50279482829472
5,2.262395562281484,-0.45943893387937523,5.559337280489967
6,2.2782249772552863,-0.688630514307543,5.610446783553583
7,2.2971950548728532,-0.902246247639259,5.654585148374322
8,2.3193673445541596,-1.0977468228882155,5.691542957757927
9,2.3445747803543355,-1.2747197875837029,5.721986032135044
10,2.372454052030376,-1.4341489665878235,5.7469461301016445
11,2.4025135815761454,-1.5777165408250122,5.767479820313004
12,2.4342097822837006,-1.7073207022676213,5.784509352709052
13,2.4670108545670475,-1.8248047937452343,5.798779661354368
14,2.5004390418314855,-1.9318327111070186,5.810869985069919
15,2.5340916909720796,-2.02984894895819,5.82122357859235
16,2.567646237930473,-2.1200815722737514,5.8301786326668505
17,2.6008552058292222,-2.203563835646178,5.837994391829426
18,2.6335362545221632,-2.2811616443235048,5.8448713720559775
19,2.6655606924702004,-2.353600710648697,5.850966387125324
20,2.696842411201283,-2.4214908403530857,5.856403523672838
21,2.7273281714812083,-2.48534658528806,5.861282122332881
22,2.7569895388207692,-2.5456043346715274,5.865682600894963
23,2.785816427732734,-2.602636252847045,5.86967073604673
24,2.8138120617741835,-2.656761563349849,5.873300843950079
25,2.8409891092961197,-2.7082556609263664,5.876618169724628
26,2.8673667609089435,-2.757357472660569,5.879660703580548
27,2.8929685435582604,-2.804275418778354,5.882460577027038
28,2.9178207015465,-2.849192257139605,5.885045148049589
29,2.941951009001934,-2.892269038037586,5.887437853275817
30,2.965387907996332,-2.9336483486768627,5.889658883625132
31,2.9881598909258407,-2.973456988792973,5.891725724806288
32,3.01029506517482,-3.011808188905708,5.89365359328509
33,3.031820853181361,-3.048803459189978,5.895455790638234
34,3.052763792609506,-3.0845341385787237,5.897143993620482
35,3.0731494101431265,-3.119082699371452,5.898728493175729
36,3.093002149075338,-3.1525238514155105,5.900218392588178
37,3.1123453358812636,-3.184925481150256,5.9016217726997615
38,3.1312011747282664,-3.216349453908517,5.902945830405359
39,3.1495907617031444,-3.2468523024316003,5.904196995330878
40,3.1675341126534753,-3.276485820247654,5.905381028594927
41,3.1850502001271828,-3.3052975751378786,5.9065031067770315
42,3.202156996082985,-3.3333313551781876,5.907567893608067
43,3.218871517934548,-3.3606275576469606,5.90857960142142
44,3.235209876157391,-3.387223529317829,5.909542044025829
45,3.251187322185828,-3.413153865221062,5.910458682360254
46,3.2668182956992853,-3.4384506717889582,5.911332664050421
47,3.2821164706745742,-3.4631437993457306,5.912166857792905
48,3.2970947997866626,-3.4872610481183135,5.9129638833357205
49,3.311765556892795,-3.5108283512980965,5.913726137696774
50,3.3261403774468015,-3.5338699381483543,5.914455818157236
