iteration,theta0,theta1,gain_plus_bias
0,0.0,0.0,4.0
1,2.25,0.5,5.375411657600843
2,2.250004532688678,0.2196978066975886,5.442478283152786
3,2.250012468879069,-0.026454066285927058,5.503010794179378
4,2.250025445708993,-0.27649347417639186,5.564062426470745
5,2.2500468263186377,-0.5054467822529667,5.617927591420129
6,2.2500805928479073,-0.7398121181535202,5.669613676291289
7,2.2501344845089393,-0.954749106136241,5.712974691943997
8,2.8093067333845427,-0.9566384828620365,5.720741645427084
9,2.8093096459480624,-1.2005086771100855,5.766437666703885
10,2.809314387869198,-1.3883536244478576,5.797702122505755
11,2.809321289818314,-1.5408432002576773,5.8205278445777235
12,2.8093306498917894,-1.6124099406779258,5.83045964513148
13,2.809341448089151,-1.7652014713108433,5.850032196792021
14,2.809356099489974,-1.8307860018943845,5.8577686994251
15,2.8093728000835263,-1.8950963003130312,5.864978044898182
16,2.809391787640011,-2.0044970575038166,5.876408289004584
17,3.37009285493494,-1.9746695490055861,5.877233280558526
18,3.370093626704978,-2.0840539749547373,5.8883636050719295
19,3.3700945871369488,-2.0962984889392624,5.88955080757667
20,3.37009557136573,-2.157096880983554,5.895275847351061
21,3.3700966828013317,-2.167843959953918,5.896258863649919
22,3.3700978183687025,-2.228051402739162,5.901608675200367
23,3.370099099183455,-2.3381955059296287,5.910727910421181
24,3.370100695484452,-2.5004372542414757,5.922686587248681
25,3.3701029033244008,-2.5592078914189145,5.926613912984747
26,3.3701053863621553,-2.724934915509511,5.936622451836695
