iteration,theta0,theta1,v_gamma
0,0.0,0.0,3.970655430637536
1,0.046492502260566046,-0.17230624464308464,3.988789756358641
2,0.09241392835800746,-0.34233509937730233,4.006185845654537
3,0.13581773366191646,-0.5023259002126392,4.021947218479996
4,0.17500277170152148,-0.6454953974874869,4.035617814597927
5,0.20881760165493657,-0.7672505491124538,4.0472421060560615
6,0.23681895717916002,-0.865820569421017,4.057207869493842
7,0.25922895658059925,-0.942087032110024,4.066014373486142
8,0.2767356060379501,-0.9987891997402154,4.074102421215063
9,0.29024337459249266,-1.0395300020542662,4.081787858294301
10,0.30066806071510416,-1.0679582824278784,4.089267524345372
11,0.30881500629538633,-1.087283147280671,4.096652598381335
12,0.3153323371048398,-1.1000873724778286,4.104001612221912
13,0.3207119065923998,-1.1083310076590263,4.111343860776623
14,0.32531249118721617,-1.1134437319157,4.1186934712588466
15,0.3293888765277875,-1.1164407340974456,4.126057060875971
16,0.33311874730334945,-1.118029866423263,4.133437647763386
17,0.33662451146841865,-1.1186986229239484,4.140836565639067
18,0.33998980698315723,-1.1187799312612134,4.148254374504585
19,0.3432714716734078,-1.118499864873222,4.1556912851110654
20,0.3465079967493314,-1.1180113408191203,4.163147353834358
21,0.3497253960068877,-1.117417517069384,4.170622571051376
22,0.352941235363045,-1.1167878567937792,4.178116900763641
23,0.356167378798553,-1.1161690758957212,4.185630298142964
24,0.35941185020722205,-1.1155925661220503,4.1931627171803205
25,0.36268009146678976,-1.1150794110998858,4.200714113947756
26,0.3659758105015846,-1.1146437677213639,4.2082844479432575
27,0.3693015519882992,-1.11429514168724,4.215873682614567
28,0.3726590809379826,-1.1140399169386999,4.223481785542082
29,0.37604964026827054,-1.1138823826300928,4.231108728487244
30,0.3794741236379622,-1.1138254221960948,4.238754487392612
31,0.38293319135901954,-1.11387097541816,4.246419042367851
32,0.3864273481042103,-1.114020348127292,4.254102377674052
33,0.3899569949924411,-1.1142744197150283,4.261804481709864
34,0.3935224645028695,-1.1146337821534542,4.269525346999752
35,0.39712404388885336,-1.1150988331399518,4.277264970183561
36,0.4007619908957604,-1.115669838537415,4.285023352006466
37,0.404436544331964,-1.1163469742771892,4.292800497308523
38,0.40814793120124526,-1.1171303545376954,4.300596415013207
39,0.4118963715394931,-1.118020050757079,4.308411118114512
40,0.4156820817208795,-1.1190161045317542,4.31624462366233
