iteration,theta0,theta1,v_gamma
0,0.0,0.0,3.542075903280659
1,0.17397207741342643,0.038869766958105186,3.8704690003839266
2,0.3133945267411332,0.06621577078465134,4.100409267095152
3,0.44409123261610806,0.09079767569538559,4.276335732420336
4,0.49693247786129646,0.08990174734718882,4.334314926509625
5,0.6031432022767941,0.10593108227491406,4.435218499381481
6,0.7439154729177127,0.1336807062765191,4.534287863202661
7,0.7490440054030755,0.11650315748856413,4.537412778671652
8,0.8622291420920525,0.13448959236210895,4.593467946126986
9,0.8648813405094264,0.11712941691569616,4.595629863145719
10,0.8675807413755531,0.09912249315826077,4.597841878101359
11,0.9083555389245956,0.09378299701209819,4.615041614033649
12,0.9491568735258965,0.08844452265450434,4.630661902241043
13,0.9900333557744578,0.08333425677565563,4.644831907694229
14,1.03101948939628,0.07824034405487533,4.6576999032126265
15,1.0721383874479853,0.07298339342577777,4.6694057259033945
16,1.113404118922576,0.06776663342542144,4.680035774921336
17,1.1548241798205525,0.06307809188301695,4.689621174786727
18,1.1964015155372154,0.05824941298247634,4.698334728313589
19,1.196850320842717,0.039261879108605346,4.701100852356023
20,1.1973148236726625,0.020194592680897062,4.703864250791781
21,1.2390022293946013,0.014919253953694814,4.712066518125512
22,1.2808415432368105,0.009743702423848092,4.719506903940741
23,1.3228268958192633,0.004547575436214151,4.726274041769572
24,1.3230642622029822,-0.014494326805875209,4.729312071716434
25,1.3233103236499466,-0.03343030852453306,4.73231950328496
26,1.3235653294658767,-0.052551468285667285,4.735341096785149
27,1.323829683567235,-0.07159747104960626,4.738335224759641
28,1.3658706760279056,-0.0767292159004009,4.744842004982072
29,1.4080469842239483,-0.0820027892072259,4.750785039989776
30,1.4082172124857795,-0.10090319404118336,4.753908377132716
31,1.4083937157221855,-0.11953194059510391,4.756971929642406
32,1.4085766187346234,-0.13951610197972836,4.760239099318177
33,1.4087666503940384,-0.15933226812345508,4.763459895514314
34,1.4089640126072962,-0.17812823030877545,4.766497725618761
35,1.4511702227607917,-0.18333129574140833,4.77229577536725
36,1.4513313062804059,-0.20168437667511283,4.775320153411867
37,1.4514981594289684,-0.2209428173131396,4.778473667818234
38,1.4516712895624257,-0.23971155666023625,4.781527833700846
39,1.4518507511751555,-0.2584745216586811,4.784560889045252
40,1.4520367647912678,-0.2747774459512176,4.787182278366803
41,1.452228629560319,-0.29353819437084694,4.790175250850692
42,1.452427479756629,-0.3129988799336615,4.7932552842450145
43,1.4526338426659997,-0.33028562139229306,4.795973287941584
44,1.452847077239177,-0.3506299227199697,4.799141246212053
45,1.4950093075118804,-0.35627262410084165,4.805171544192949
46,1.4951840799176077,-0.37508680034435027,4.808155319850041
47,1.495365257805308,-0.39214599565534997,4.8108414507189625
48,1.4955524195796148,-0.4091448573090965,4.813497522507865
49,1.4957457314082623,-0.42801525996514617,4.816418589456198
50,1.495946122376455,-0.4469113829787743,4.819316614890373
51,1.4961538512361983,-0.46583617522375265,4.822191212874296
52,1.4963691870538933,-0.4836988616232742,4.8248799327288525
53,1.4965919306340507,-0.5038217356386909,4.827874040955969
54,1.5387300922669218,-0.5053430552641759,4.833348329179791
55,1.5389111340965593,-0.5291225244948834,4.8369459371593715
56,1.5391006442461719,-0.5457506605162943,4.839440527755087
57,1.5392962355980366,-0.563616410247795,4.842093046026293
58,1.5394985860651047,-0.5814863780937533,4.844718689621987
59,1.5397079205220756,-0.5993630621294982,4.847317264502201
60,1.5399244717599183,-0.6172489214863749,4.849888564267425
61,1.5401484807774892,-0.6380067254892057,4.852831340380041
62,1.5403815021000253,-0.654445386562551,4.855139828604945
63,1.5406218358650856,-0.6693531653854126,4.857214565508134
64,1.5408689551661425,-0.6857551057007022,4.859469594200914
65,1.54112378540599,-0.6974077929257986,4.8610664240024235
66,1.5413841167032045,-0.7185906782456658,4.863905533653699
67,1.5416550741169381,-0.7349500831727971,4.866076397488421
68,1.5419344160194377,-0.7512993229139137,4.868219249749885
69,1.5839459079383627,-0.7571639542537116,4.8748210770237765
70,1.626093663523373,-0.7612781811437698,4.88058773472378
71,1.626272525585154,-0.7741802839595611,4.88237152889238
72,1.6264557931203643,-0.7905519635904102,4.884605900916211
73,1.6266448547867534,-0.8069210038743472,4.886813416998645
74,1.626839884507725,-0.8214588551945928,4.888754241597636
75,1.6270403389703612,-0.8359679303554439,4.890670135224336
76,1.7112390590770756,-0.8205629733665089,4.897848760666265
77,1.7113605732974544,-0.8369581089077782,4.9001448233372065
78,1.7114859929641566,-0.8495739187414342,4.901896845645617
79,1.7539255277441117,-0.8537889941637052,4.906440826883053
80,1.7540262893204568,-0.8663519320395037,4.908209866803238
81,1.7965630737108613,-0.8666756357713435,4.91180884183023
82,1.7966433377570579,-0.8850527302348895,4.914425994476313
83,1.839268441743175,-0.8853208218764789,4.917663804215019
84,1.8393330672006742,-0.8997753826569,4.919744534248408
85,1.8393995439981534,-0.9182434940063129,4.922373521655338
86,1.83946846975784,-0.9408665207357236,4.9255491724578615
87,1.8395405234313094,-0.9573517683593686,4.927834086028906
88,1.8396149353186477,-0.9717251160239939,4.929805792134721
89,1.8822722963479028,-0.969737204431452,4.9326006802492826
90,1.9250224351773455,-0.9720271440525609,4.935634756277489
91,1.9678536491559293,-0.9721365886756865,4.9380483187661754
92,1.9678893693119506,-0.9821984841319316,4.93949542992421
93,1.9679258025410271,-0.9965656016659816,4.941545087494424
94,1.9679632818523856,-1.019733500960104,4.944809483961096
95,1.9680025164011592,-1.0363244586780367,4.947117505292878
96,1.9680430550087713,-1.0552158585235265,4.949714198978917
97,1.968085132172244,-1.0741706669577002,4.952286111751525
98,1.9681288111417687,-1.0884984274028258,4.954208409211653
99,1.968173737903462,-1.1028244223878902,4.956111081199788
100,1.96821994744999,-1.1147521025958689,4.957680832610573
101,1.9682672503333534,-1.1290777238904426,4.959547662305619
102,1.9683159028309254,-1.1434046582275001,4.961394984492676
103,1.968365943010571,-1.150325423825513,4.962281901581502
