iteration,theta0,theta1,gain
0,0.0,0.0,0.0
1,0.11955117259600719,-0.24268720360468365,0.0
2,0.22993910459940547,-0.5164397140967951,0.0
3,0.33178060777848895,-0.7546933305841798,0.0
4,0.36151311110927636,-0.7514642164462932,0.0
5,0.4147649137443054,-0.7766838351362365,0.0
6,0.4328547617594226,-0.6455847660824091,0.0
7,0.5692211254224189,-0.9549138642179202,0.0
8,0.5342137071380463,-0.7223434297241398,0.0
9,0.6709547805675466,-1.026920411220893,0.0
10,0.828102407584449,-1.4293679738257619,0.0
11,0.910098323833825,-1.4977685352648389,0.0
12,0.897356467664407,-1.248845360290374,0.0
13,1.0047133782355915,-1.4015810605438939,0.0
14,1.224543077787029,-1.6614004007307943,0.0
15,1.3662259562207544,-1.9474670559420124,0.0
16,1.5114121665957634,-1.9387365143333384,0.0
17,1.6574012133672842,-2.1784708147559577,0.0
18,1.6874997698031056,-2.0719683136307467,0.0
19,1.6559662428313093,-1.590812090903476,0.0
20,1.908309460424949,-2.194422717310827,0.0
21,1.9083094604249562,-2.1944227173108484,0.0
22,2.226476960741311,-2.6347107978172097,0.0
23,2.606425750517082,-2.8624485959683152,0.0
24,2.606425750517313,-2.862448595969013,0.0
