iteration,theta0,theta1,gain
0,0.0,0.0,0.0
1,0.06019491192615949,0.008109883931420965,0.0
2,0.08065469326847458,-0.006791929131061027,0.0
3,0.09055884815962062,-0.03589088716482508,0.0
4,0.13376582358974276,-0.0389652605002925,0.0
5,0.1929696891544223,-0.03654351499259742,0.0
6,0.22202686650888187,-0.05734679997393732,0.0
7,0.231763736934528,-0.08306611892128377,0.0
8,0.3037811628715965,-0.06436135150137202,0.0
9,0.33933548511232464,-0.08473158299188908,0.0
10,0.3500725382805621,-0.11874660490075242,0.0
11,0.38204277852442003,-0.14083730383018933,0.0
12,0.46247557736557576,-0.13656042015076983,0.0
13,0.526439462819132,-0.14471611671682816,0.0
14,0.6016795849913132,-0.1549866617524946,0.0
15,0.6018571424706686,-0.19816992639933814,0.0
16,0.6709619045601125,-0.2050810362845993,0.0
17,0.7079093769492405,-0.22858390296300293,0.0
18,0.7387539093165886,-0.24856479386823574,0.0
19,0.7705104888242352,-0.26606653765820515,0.0
20,0.8045886504351044,-0.2782789026821917,0.0
21,0.8176558565705195,-0.3154223347166027,0.0
22,0.8534174069434891,-0.3384394580788377,0.0
23,0.9163305145631246,-0.3393551424797047,0.0
24,0.9642992529245151,-0.3601938309457321,0.0
25,1.0374292275463053,-0.3588773021014153,0.0
26,1.05501730886031,-0.39671414776951763,0.0
27,1.0538385095448972,-0.4443123256208744,0.0
28,1.0622220817219734,-0.4802462061273082,0.0
29,1.1247954837341352,-0.49007453610339,0.0
30,1.1575065213019073,-0.5050103213357342,0.0
31,1.2538707493108248,-0.4880778353232406,0.0
32,1.3079754197533784,-0.5195142266069034,0.0
33,1.3034953019249766,-0.5752358840364192,0.0
34,1.3590099930057669,-0.5995761095186429,0.0
35,1.4109570097755315,-0.6290413118417677,0.0
36,1.461909821800928,-0.6477867305963907,0.0
37,1.498834625808212,-0.6870210929216907,0.0
38,1.5208664678558261,-0.6983215609735364,0.0
39,1.5788270421423944,-0.691954845479239,0.0
40,1.607366447675566,-0.7012411781803363,0.0
41,1.6162943767412734,-0.7244513550534584,0.0
42,1.6198557965214022,-0.7570328418711603,0.0
43,1.6331899155180505,-0.776861271213502,0.0
44,1.6567771993119969,-0.8117941774257401,0.0
45,1.650656255376321,-0.8515355430822809,0.0
46,1.6301352066556736,-0.9019380174598337,0.0
47,1.642691849776771,-0.912078030465748,0.0
48,1.6413936825650892,-0.9467305859508757,0.0
49,1.642820475520728,-0.9770702520146763,0.0
50,1.6291843950857232,-1.0127774620194265,0.0
51,1.6996516949800013,-1.0057788308862914,0.0
52,1.7119693598020176,-1.03104609190892,0.0
53,1.7376322928466323,-1.0482434094837418,0.0
54,1.7741299684230791,-1.05797390937937,0.0
55,1.7910581620522,-1.0990306921621762,0.0
56,1.7971929312328863,-1.118134552942505,0.0
57,1.807659049182317,-1.1371885796140035,0.0
58,1.8659353206087017,-1.1363893224874813,0.0
59,1.8505659306879019,-1.1796816889228143,0.0
60,1.8522894953958355,-1.2063737953081133,0.0
61,1.8841742553503185,-1.2185061915248507,0.0
62,1.8731022400776238,-1.2537737817082277,0.0
63,1.8897995766516702,-1.2746542911381569,0.0
64,1.8748056831757531,-1.313608655031201,0.0
65,1.9112274881029985,-1.3131818981005488,0.0
66,1.9350527475149917,-1.3451986068849657,0.0
67,1.9396962420234942,-1.3683690929521648,0.0
68,1.9197661826941397,-1.4113512474203784,0.0
69,1.9060445621389497,-1.4412013568514663,0.0
70,1.9436745347184599,-1.4393215164822675,0.0
71,1.955426518320662,-1.4491129781439835,0.0
72,1.944869763927974,-1.4777168318616767,0.0
73,1.9705172437619967,-1.4759933220892,0.0
74,1.9630862436257273,-1.4973300670237413,0.0
75,1.9845557121624642,-1.511439503180668,0.0
76,1.977827867446861,-1.528876981150275,0.0
77,1.9660311588780632,-1.5594276252189032,0.0
78,2.0162013687668194,-1.5582969053333044,0.0
79,2.0033952609495396,-1.5914732318669118,0.0
80,2.0412065717762333,-1.581848702105461,0.0
81,2.0658134788357287,-1.5897305034939246,0.0
82,2.0901890781230263,-1.6255248740778578,0.0
83,2.0897854036305237,-1.6556680978625156,0.0
84,2.077754283710537,-1.6896775494643115,0.0
85,2.096409530867511,-1.703080332851279,0.0
86,2.0992269018093976,-1.7310144393966722,0.0
87,2.1090206056114913,-1.7391072514300185,0.0
88,2.1245864279028592,-1.7540487702431133,0.0
89,2.1538902480350726,-1.7502777567931018,0.0
90,2.176991586568142,-1.7486592303511461,0.0
91,2.1793779033190033,-1.7669472906095678,0.0
92,2.1736197288613672,-1.781046589388079,0.0
93,2.174254757986332,-1.8040649098416037,0.0
94,2.1573559255306787,-1.8435323849934613,0.0
95,2.1632109666927177,-1.8562578601769155,0.0
96,2.1678466319911447,-1.878356900907287,0.0
97,2.181842507791319,-1.8965871708592836,0.0
98,2.201827111948272,-1.894381118265945,0.0
99,2.2587938816787965,-1.8777424588766838,0.0
100,2.2667246541422736,-1.8922608013924105,0.0
101,2.3115795947785838,-1.892946098644739,0.0
102,2.3078249875553354,-1.9012821306541816,0.0
