iteration,theta0,theta1,gain
0,0.0,0.0,0.0
1,0.2461532654329772,-0.46495593843219724,0.0
2,0.4186524134503403,-0.624022496705355,0.0
3,0.6201966799270213,-0.8230034478433976,0.0
4,0.8582482726545265,-1.059336063523353,0.0
5,1.1515646390780407,-1.3503369899545021,0.0
6,1.5324791191315488,-1.726622707838398,0.0
7,2.055377995419385,-2.2430826490085787,0.0
8,2.797212925234571,-2.992344257111693,0.0
9,3.8182084937205865,-4.115214178750136,0.0
10,5.162160883060548,-5.900065571830792,0.0
11,7.325196635441836,-9.20018067197747,0.0
12,10.69960301038243,-14.290412514320593,0.0
