iteration,theta0,theta1,v_gamma
0,0.0,0.0,-3.2969252846909436
1,0.11955117259600719,-0.24268720360468365,-3.2467346941020434
2,0.22993910459940547,-0.5164397140967951,-3.2229723780284543
3,0.33178060777848895,-0.7546933305841798,-3.213830427035986
4,0.36151311110927636,-0.7514642164462932,-3.1875471303330674
5,0.4147649137443054,-0.7766838351362365,-3.151225187069626
6,0.4328547617594226,-0.6455847660824091,-3.103111005090433
7,0.5692211254224189,-0.9549138642179202,-3.077767779945145
8,0.5342137071380463,-0.7223434297241398,-3.0451434613974704
9,0.6709547805675466,-1.026920411220893,-3.0144633571867776
10,0.828102407584449,-1.4293679738257619,-3.020694682905302
11,0.910098323833825,-1.4977685352648389,-2.9699473863629477
12,0.897356467664407,-1.248845360290374,-2.894975316510524
13,1.0047133782355915,-1.4015810605438939,-2.8534743517568995
14,1.224543077787029,-1.6614004007307943,-2.758454858972787
15,1.3662259562207544,-1.9474670559420124,-2.735953871896746
16,1.5114121665957634,-1.9387365143333384,-2.6323700028661308
17,1.6574012133672842,-2.1784708147559577,-2.5971253161044223
18,1.6874997698031056,-2.0719683136307467,-2.5585649400560597
19,1.6559662428313093,-1.590812090903476,-2.5305282793067807
20,1.908309460424949,-2.194422717310827,-2.475571491180372
21,1.9083094604249562,-2.1944227173108484,-2.475571491180371
22,2.226476960741311,-2.6347107978172097,-2.406824214964525
23,2.606425750517082,-2.8624485959683152,-2.3237179856735333
24,2.606425750517313,-2.862448595969013,-2.3237179856735137
