theta0,theta1,v_gamma
-10.0,-10.0,46.30686900576267
-9.5,-10.0,46.30686894846776
-9.0,-10.0,46.30686885400435
-8.5,-10.0,46.30686869826059
-8.0,-10.0,46.30686844148261
-7.5,-10.0,46.30686801812719
-7.0,-10.0,46.30686732013219
-6.5,-10.0,46.306866169333034
-6.0,-10.0,46.3068642719862
-5.5,-10.0,46.30686114379068
-5.0,-10.0,46.30685598626961
-4.5,-10.0,46.306847482958915
-4.0,-10.0,46.30683346338038
-3.5,-10.0,46.30681034903222
-3.0,-10.0,46.30677223999414
-2.5,-10.0,46.30670940902824
-2.0,-10.0,46.30660581886474
-1.5,-10.0,46.30643502915307
-1.0,-10.0,46.306153448855994
-0.5,-10.0,46.30568921320995
0.0,-10.0,46.304923850043295
0.5,-10.0,46.30366206653555
1.0,-10.0,46.3015819737533
1.5,-10.0,46.29815312333379
2.0,-10.0,46.29250165134944
2.5,-10.0,46.283188694156685
3.0,-10.0,46.26784710815538
3.5,-10.0,46.24258807350361
4.0,-10.0,46.20103774336694
4.5,-10.0,46.13278927712633
5.0,-10.0,46.02095840656466
5.5,-10.0,45.838437771806845
6.0,-10.0,45.54245878951899
6.5,-10.0,45.0674779457211
7.0,-10.0,44.31786245231727
7.5,-10.0,43.165446396406836
8.0,-10.0,41.46333374477968
8.5,-10.0,39.09240291982808
9.0,-10.0,36.04594041414378
9.5,-10.0,32.513063620364754
10.0,-10.0,28.872158890199678
-10.0,-9.5,46.30681005174916
-9.5,-9.5,46.306809957285104
-9.0,-9.5,46.30680980154028
-8.5,-9.5,46.306809544760554
-8.0,-9.5,46.30680912140225
-7.5,-9.5,46.306808423402494
-7.0,-9.5,46.306807272595506
-6.5,-9.5,46.30680537523574
-6.0,-9.5,46.306802247018915
-5.5,-9.5,46.30679708946272
-5.0,-9.5,46.306788586094086
-4.5,-9.5,46.30677456642007
-4.0,-9.5,46.30675145191447
-3.5,-9.5,46.30671334261681
-3.0,-9.5,46.306650511222934
-2.5,-9.5,46.306546920353824
-2.0,-9.5,46.306376129478814
-1.5,-9.5,46.30609454726375
-1.0,-9.5,46.30563030845556
-0.5,-9.5,46.30486494007562
0.0,-9.5,46.30360314797322
0.5,-9.5,46.301523041022385
1.0,-9.5,46.2980941672472
1.5,-9.5,46.292442656767754
2.0,-9.5,46.28312963613965
2.5,-9.5,46.26778794563887
3.0,-9.5,46.242528738934766
3.5,-9.5,46.200978125777354
4.0,-9.5,46.13272919466118
4.5,-9.5,46.02089756236171
5.0,-9.5,45.838375684361594
5.5,-9.5,45.54239468600804
6.0,-9.5,45.06741060687034
6.5,-9.5,44.317790007448274
7.0,-9.5,43.16536610183696
7.5,-9.5,41.463241856241545
8.0,-9.5,39.09229488165572
8.5,-9.5,36.04581162494206
9.0,-9.5,32.512910766914764
9.5,-9.5,28.871981236667363
10.0,-9.5,25.548711892421114
-10.0,-9.0,46.306712860585456
-9.5,-9.0,46.30671270483888
-9.0,-9.0,46.30671244805627
-8.5,-9.0,46.30671202469321
-8.0,-9.0,46.30671132668562
-7.5,-9.0,46.30671017586571
-7.0,-9.0,46.306708278484635
-6.5,-9.0,46.30670515023268
-6.0,-9.0,46.306699992618576
-5.5,-9.0,46.30669148915445
-5.0,-9.0,46.306677469323
-4.5,-9.0,46.30665435455784
-4.0,-9.0,46.306616244832234
-3.5,-9.0,46.306553412732804
-3.0,-9.0,46.30644982070044
-2.5,-9.0,46.30627902790757
-2.0,-9.0,46.30599744253052
-1.5,-9.0,46.30553319850924
-1.0,-9.0,46.30476782153471
-0.5,-9.0,46.30350601526322
0.0,-9.0,46.301425884954156
0.5,-9.0,46.29799697267498
1.0,-9.0,46.29234539873281
1.5,-9.0,46.28303227352563
2.0,-9.0,46.2676904107478
2.5,-9.0,46.24243092039949
3.0,-9.0,46.20087984065613
3.5,-9.0,46.13263014314954
4.0,-9.0,46.020797255054696
4.5,-9.0,45.83827332745444
5.0,-9.0,45.54228900542976
5.5,-9.0,45.06729959253456
6.0,-9.0,44.317670575368254
6.5,-9.0,43.16523372879762
7.0,-9.0,41.463090369471104
7.5,-9.0,39.092116770716665
8.0,-9.0,36.045599304008114
