theta0,theta1,v_gamma
-10.0,-10.0,279.73000063971074
-9.5,-10.0,279.73000027034493
-9.0,-10.0,279.7299996613631
-8.5,-10.0,279.72999865732464
-8.0,-10.0,279.72999700194856
-7.5,-10.0,279.72999427269156
-7.0,-10.0,279.72998977290564
-6.5,-10.0,279.72998235401735
-6.0,-10.0,279.72997012233645
-5.5,-10.0,279.7299499557074
-5.0,-10.0,279.7299167065696
-4.5,-10.0,279.7298618880339
-4.0,-10.0,279.72977150761596
-3.5,-10.0,279.7296224956904
-3.0,-10.0,279.7293768170888
-2.5,-10.0,279.7289717629746
-2.0,-10.0,279.72830394551136
-1.5,-10.0,279.72720291118355
-1.0,-10.0,279.72538764107395
-0.5,-10.0,279.7223948444018
0.0,-10.0,279.7174607682554
0.5,-10.0,279.7093264265122
1.0,-10.0,279.69591672583687
1.5,-10.0,279.6738121108968
2.0,-10.0,279.6373792934215
2.5,-10.0,279.57734305769145
3.0,-10.0,279.4784451001449
3.5,-10.0,279.3156207522617
4.0,-10.0,279.0477944187891
4.5,-10.0,278.60791607906776
5.0,-10.0,277.88724476100526
5.5,-10.0,276.7113115458405
6.0,-10.0,274.8051436482098
6.5,-10.0,271.7480982739098
7.0,-10.0,266.928303658317
7.5,-10.0,259.53015881072196
8.0,-10.0,248.6286239490921
8.5,-10.0,233.49394519431334
9.0,-10.0,214.13276122308156
9.5,-10.0,191.80010021911687
10.0,-10.0,168.91809424382978
-10.0,-9.5,279.7299413736205
-9.5,-9.5,279.7299407646342
-9.0,-9.5,279.7299397605884
-8.5,-9.5,279.72993810520035
-8.0,-9.5,279.7299353759235
-7.5,-9.5,279.7299308761049
-7.0,-9.5,279.7299234571626
-6.5,-9.5,279.7299112253928
-6.0,-9.5,279.7298910586171
-5.5,-9.5,279.7298578092376
-5.0,-9.5,279.7298029903033
-4.5,-9.5,279.72971260922833
-4.0,-9.5,279.7295635962195
-3.5,-9.5,279.72931791583176
-3.0,-9.5,279.72891285877284
-2.5,-9.5,279.7282450364545
-2.0,-9.5,279.7271439941222
-1.5,-9.5,279.7253287108154
-1.0,-9.5,279.72233589238544
-0.5,-9.5,279.71740178036805
0.0,-9.5,279.7092673794877
0.5,-9.5,279.695857581323
1.0,-9.5,279.67375280568115
1.5,-9.5,279.63731972333716
2.0,-9.5,279.5772830511402
2.5,-9.5,279.47838437459984
3.0,-9.5,279.31555884297427
3.5,-9.5,279.0477305623887
4.0,-9.5,278.60784902472653
4.5,-9.5,277.88717246734194
5.0,-9.5,276.71123070307493
5.5,-9.5,274.80504894749373
6.0,-9.5,271.7479813482977
6.5,-9.5,266.92815169252
7.0,-9.5,259.52995305998536
7.5,-9.5,248.62833894356845
8.0,-9.5,233.49355015880246
8.5,-9.5,214.13222543064683
9.0,-9.5,191.79940206694894
9.5,-9.5,168.917229738159
10.0,-9.5,148.1487852151512
-10.0,-9.0,279.7298436679187
-9.5,-9.0,279.7298426638609
-9.0,-9.0,279.7298410084529
-8.5,-9.0,279.7298382791434
-8.0,-9.0,279.7298337792709
-7.5,-9.0,279.72982636023966
-7.0,-9.0,279.72981412832326
