theta0,theta1,gain
-10.0,-10.0,4.0
-9.5,-10.0,4.0
-9.0,-10.0,4.0
-8.5,-10.0,4.0
-8.0,-10.0,4.0
-7.5,-10.0,4.0
-7.0,-10.0,4.0
-6.5,-10.0,4.0
-6.0,-10.0,4.0
-5.5,-10.0,4.0
-5.0,-10.0,4.0
-4.5,-10.0,4.0
-4.0,-10.0,4.0
-3.5,-10.0,3.99999
-3.0,-10.0,3.99999
-2.5,-10.0,3.99999
-2.0,-10.0,3.99998
-1.5,-10.0,3.99996
-1.0,-10.0,3.99993
-0.5,-10.0,3.99989
0.0,-10.0,3.99982
0.5,-10.0,3.9997
1.0,-10.0,3.99951
1.5,-10.0,3.99919
2.0,-10.0,3.99866
2.5,-10.0,3.99779
3.0,-10.0,3.99636
3.5,-10.0,3.994
4.0,-10.0,3.99012
4.5,-10.0,3.98375
5.0,-10.0,3.97332
5.5,-10.0,3.95629
6.0,-10.0,3.9287
6.5,-10.0,3.88444
7.0,-10.0,3.81469
7.5,-10.0,3.70765
8.0,-10.0,3.55
8.5,-10.0,3.33128
9.0,-10.0,3.05174
9.5,-10.0,2.72963
10.0,-10.0,2.39998
-10.0,-9.5,4.0
-9.5,-9.5,4.0
-9.0,-9.5,4.0
-8.5,-9.5,4.0
-8.0,-9.5,4.0
-7.5,-9.5,4.0
-7.0,-9.5,4.0
-6.5,-9.5,4.0
-6.0,-9.5,4.0
-5.5,-9.5,4.0
-5.0,-9.5,4.0
-4.5,-9.5,4.0
-4.0,-9.5,3.99999
-3.5,-9.5,3.99999
-3.0,-9.5,3.99999
-2.5,-9.5,3.99998
-2.0,-9.5,3.99996
-1.5,-9.5,3.99993
-1.0,-9.5,3.99989
-0.5,-9.5,3.99982
0.0,-9.5,3.9997
0.5,-9.5,3.99951
1.0,-9.5,3.99919
1.5,-9.5,3.99866
2.0,-9.5,3.99779
2.5,-9.5,3.99636
3.0,-9.5,3.994
3.5,-9.5,3.99012
4.0,-9.5,3.98375
4.5,-9.5,3.97332
5.0,-9.5,3.95629
5.5,-9.5,3.9287
6.0,-9.5,3.88444
6.5,-9.5,3.81469
7.0,-9.5,3.70765
7.5,-9.5,3.55
8.0,-9.5,3.33128
8.5,-9.5,3.05173
9.0,-9.5,2.72962
9.5,-9.5,2.39997
10.0,-9.5,2.10111
-10.0,-9.0,4.0
-9.5,-9.0,4.0
-9.0,-9.0,4.0
-8.5,-9.0,4.0
-8.0,-9.0,4.0
-7.5,-9.0,4.0
-7.0,-9.0,4.0
-6.5,-9.0,4.0
-6.0,-9.0,4.0
-5.5,-9.0,4.0
-5.0,-9.0,4.0
-4.5,-9.0,3.99999
-4.0,-9.0,3.99999
-3.5,-9.0,3.99999
-3.0,-9.0,3.99998
-2.5,-9.0,3.99996
-2.0,-9.0,3.99993
-1.5,-9.0,3.99989
-1.0,-9.0,3.99982
-0.5,-9.0,3.9997
0.0,-9.0,3.99951
0.5,-9.0,3.99919
1.0,-9.0,3.99866
1.5,-9.0,3.99779
2.0,-9.0,3.99636
2.5,-9.0,3.994
3.0,-9.0,3.99012
3.5,-9.0,3.98375
4.0,-9.0,3.97332
4.5,-9.0,3.95629
5.0,-9.0,3.92869
5.5,-9.0,3.88444
6.0,-9.0,3.81469
6.5,-9.0,3.70765
7.0,-9.0,3.54999
7.5,-9.0,3.33127
8.0,-9.0,3.05172
8.5,-9.0,2.7296
9.0,-9.0,2.39995
9.5,-9.0,2.10108
10.0,-9.0,1.85847
-10.0,-8.5,4.0
-9.5,-8.5,4.0
-9.0,-8.5,4.0
-8.5,-8.5,4.0
-8.0,-8.5,4.0
-7.5,-8.5,4.0
-7.0,-8.5,4.0
-6.5,-8.5,4.0
-6.0,-8.5,4.0
-5.5,-8.5,4.0
-5.0,-8.5,3.99999
-4.5,-8.5,3.99999
-4.0,-8.5,3.99999
-3.5,-8.5,3.99998
-3.0,-8.5,3.99996
-2.5,-8.5,3.99993
-2.0,-8.5,3.99989
-1.5,-8.5,3.99982
-1.0,-8.5,3.9997
-0.5,-8.5,3.99951
0.0,-8.5,3.99919
0.5,-8.5,3.99866
1.0,-8.5,3.99779
1.5,-8.5,3.99636
2.0,-8.5,3.994
2.5,-8.5,3.99012
3.0,-8.5,3.98375
3.5,-8.5,3.97332
4.0,-8.5,3.95629
4.5,-8.5,3.92869
5.0,-8.5,3.88444
5.5,-8.5,3.81468
