theta0,theta1,bias
-10.0,-10.0,-0.2887
-9.5,-10.0,-0.2887
-9.0,-10.0,-0.2887
-8.5,-10.0,-0.2887
-8.0,-10.0,-0.2887
-7.5,-10.0,-0.2887
-7.0,-10.0,-0.2887
-6.5,-10.0,-0.2887
-6.0,-10.0,-0.2887
-5.5,-10.0,-0.2887
-5.0,-10.0,-0.2887
-4.5,-10.0,-0.2887
-4.0,-10.0,-0.2887
-3.5,-10.0,-0.2887
-3.0,-10.0,-0.2887
-2.5,-10.0,-0.2887
-2.0,-10.0,-0.2887
-1.5,-10.0,-0.28869
-1.0,-10.0,-0.28864
-0.5,-10.0,-0.2884
0.0,-10.0,-0.28731
0.5,-10.0,-0.28232
1.0,-10.0,-0.25931
1.5,-10.0,-0.15217
2.0,-10.0,0.35164
2.5,-10.0,2.5723
3.0,-10.0,7.94208
3.5,-10.0,12.05546
4.0,-10.0,13.46736
4.5,-10.0,13.96374
5.0,-10.0,14.33139
5.5,-10.0,14.67568
6.0,-10.0,14.91099
6.5,-10.0,15.02838
7.0,-10.0,15.07741
7.5,-10.0,15.09635
8.0,-10.0,15.10345
8.5,-10.0,15.10608
9.0,-10.0,15.10705
9.5,-10.0,15.1074
10.0,-10.0,15.10753
-10.0,-9.5,-0.28821
-9.5,-9.5,-0.28821
-9.0,-9.5,-0.28821
-8.5,-9.5,-0.28821
-8.0,-9.5,-0.28821
-7.5,-9.5,-0.28821
-7.0,-9.5,-0.28821
-6.5,-9.5,-0.28821
-6.0,-9.5,-0.28821
-5.5,-9.5,-0.28821
-5.0,-9.5,-0.28821
-4.5,-9.5,-0.28821
-4.0,-9.5,-0.28821
-3.5,-9.5,-0.28821
-3.0,-9.5,-0.28821
-2.5,-9.5,-0.28821
-2.0,-9.5,-0.28821
-1.5,-9.5,-0.28819
-1.0,-9.5,-0.2881
-0.5,-9.5,-0.28771
0.0,-9.5,-0.28592
0.5,-9.5,-0.2777
1.0,-9.5,-0.2398
1.5,-9.5,-0.06388
2.0,-9.5,0.75298
2.5,-9.5,4.00618
3.0,-9.5,9.65132
3.5,-9.5,12.73488
4.0,-9.5,13.70191
4.5,-9.5,14.13599
5.0,-9.5,14.50987
5.5,-9.5,14.81015
6.0,-9.5,14.982
6.5,-9.5,15.05907
7.0,-9.5,15.08975
7.5,-9.5,15.10137
8.0,-9.5,15.1057
8.5,-9.5,15.10729
9.0,-9.5,15.10788
9.5,-9.5,15.1081
10.0,-9.5,15.10818
-10.0,-9.0,-0.2874
-9.5,-9.0,-0.2874
-9.0,-9.0,-0.2874
-8.5,-9.0,-0.2874
-8.0,-9.0,-0.2874
-7.5,-9.0,-0.2874
-7.0,-9.0,-0.2874
-6.5,-9.0,-0.2874
-6.0,-9.0,-0.2874
-5.5,-9.0,-0.2874
-5.0,-9.0,-0.2874
-4.5,-9.0,-0.2874
-4.0,-9.0,-0.2874
-3.5,-9.0,-0.2874
-3.0,-9.0,-0.2874
-2.5,-9.0,-0.2874
-2.0,-9.0,-0.28739
-1.5,-9.0,-0.28736
-1.0,-9.0,-0.28723
-0.5,-9.0,-0.28658
0.0,-9.0,-0.28363
0.5,-9.0,-0.27008
1.0,-9.0,-0.20771
1.5,-9.0,0.08037
2.0,-9.0,1.38617
2.5,-9.0,5.78818
3.0,-9.0,11.03476
3.5,-9.0,13.20292
4.0,-9.0,13.90487
4.5,-9.0,14.31973
5.0,-9.0,14.67445
5.5,-9.0,14.912
6.0,-9.0,15.02987
6.5,-9.0,15.07901
7.0,-9.0,15.09797
7.5,-9.0,15.10507
8.0,-9.0,15.1077
8.5,-9.0,15.10867
9.0,-9.0,15.10903
9.5,-9.0,15.10916
10.0,-9.0,15.10921
-10.0,-8.5,-0.28607
-9.5,-8.5,-0.28607
-9.0,-8.5,-0.28607
-8.5,-8.5,-0.28607
-8.0,-8.5,-0.28607
-7.5,-8.5,-0.28607
-7.0,-8.5,-0.28607
-6.5,-8.5,-0.28607
-6.0,-8.5,-0.28607
-5.5,-8.5,-0.28607
-5.0,-8.5,-0.28607
-4.5,-8.5,-0.28607
-4.0,-8.5,-0.28607
-3.5,-8.5,-0.28607
-3.0,-8.5,-0.28607
-2.5,-8.5,-0.28607
-2.0,-8.5,-0.28606
-1.5,-8.5,-0.28601
-1.0,-8.5,-0.28578
-0.5,-8.5,-0.28472
0.0,-8.5,-0.27985
0.5,-8.5,-0.25752
1.0,-8.5,-0.155
1.5,-8.5,0.31453
2.0,-8.5,2.34807
2.5,-8.5,7.71475
3.0,-8.5,12.05451
3.5,-8.5,13.54038
4.0,-8.5,14.10207
4.5,-8.5,14.50461
5.0,-8.5,14.81114
5.5,-8.5,14.98431
6.0,-8.5,15.06167
6.5,-8.5,15.09241
7.0,-8.5,15.10405
7.5,-8.5,15.10837
8.0,-8.5,15.10997
8.5,-8.5,15.11056
9.0,-8.5,15.11077
9.5,-8.5,15.11085
10.0,-8.5,15.11088
-10.0,-8.0,-0.28387
-9.5,-8.0,-0.28387
-9.0,-8.0,-0.28387
-8.5,-8.0,-0.28387
-8.0,-8.0,-0.28387
-7.5,-8.0,-0.28387
-7.0,-8.0,-0.28387
-6.5,-8.0,-0.28387
-6.0,-8.0,-0.28387
-5.5,-8.0,-0.28387
-5.0,-8.0,-0.28387
-4.5,-8.0,-0.28387
-4.0,-8.0,-0.28387
-3.5,-8.0,-0.28387
-3.0,-8.0,-0.28387
-2.5,-8.0,-0.28387
-2.0,-8.0,-0.28385
-1.5,-8.0,-0.28377
-1.0,-8.0,-0.28339
-0.5,-8.0,-0.28164
0.0,-8.0,-0.27362
0.5,-8.0,-0.23685
1.0,-8.0,-0.06867
1.5,-8.0,0.69053
2.0,-8.0,3.71657
2.5,-8.0,9.50979
3.0,-8.0,12.77029
3.5,-8.0,13.80897
4.0,-8.0,14.30216
4.5,-8.0,14.67415
5.0,-8.0,14.91541
5.5,-8.0,15.03406
6.0,-8.0,15.08337
6.5,-8.0,15.10237
7.0,-8.0,15.10948
7.5,-8.0,15.11211
8.0,-8.0,15.11308
8.5,-8.0,15.11343
9.0,-8.0,15.11357
9.5,-8.0,15.11361
10.0,-8.0,15.11363
-10.0,-7.5,-0.28025
-9.5,-7.5,-0.28025
-9.0,-7.5,-0.28025
-8.5,-7.5,-0.28025
-8.0,-7.5,-0.28025
-7.5,-7.5,-0.28025
-7.0,-7.5,-0.28025
-6.5,-7.5,-0.28025
-6.0,-7.5,-0.28025
-5.5,-7.5,-0.28025
-5.0,-7.5,-0.28025
-4.5,-7.5,-0.28025
-4.0,-7.5,-0.28025
-3.5,-7.5,-0.28025
-3.0,-7.5,-0.28025
-2.5,-7.5,-0.28024
-2.0,-7.5,-0.28022
-1.5,-7.5,-0.28008
-1.0,-7.5,-0.27946
-0.5,-7.5,-0.27658
0.0,-7.5,-0.26335
0.5,-7.5,-0.20286
1.0,-7.5,0.07217
1.5,-7.5,1.28284
2.0,-7.5,5.47469
2.5,-7.5,10.97433
3.0,-7.5,13.27507
3.5,-7.5,14.04856
4.0,-7.5,14.49876
4.5,-7.5,14.81562
5.0,-7.5,14.99098
5.5,-7.5,15.06881
6.0,-7.5,15.09965
6.5,-7.5,15.11131
7.0,-7.5,15.11564
7.5,-7.5,15.11723
8.0,-7.5,15.11782
8.5,-7.5,15.11804
9.0,-7.5,15.11812
9.5,-7.5,15.11815
10.0,-7.5,15.11816
-10.0,-7.0,-0.27428
-9.5,-7.0,-0.27428
-9.0,-7.0,-0.27428
-8.5,-7.0,-0.27428
-8.0,-7.0,-0.27428
-7.5,-7.0,-0.27428
-7.0,-7.0,-0.27428
-6.5,-7.0,-0.27428
-6.0,-7.0,-0.27428
-5.5,-7.0,-0.27428
-5.0,-7.0,-0.27428
-4.5,-7.0,-0.27428
-4.0,-7.0,-0.27428
-3.5,-7.0,-0.27428
-3.0,-7.0,-0.27428
-2.5,-7.0,-0.27427
-2.0,-7.0,-0.27423
-1.5,-7.0,-0.27401
-1.0,-7.0,-0.27298
-0.5,-7.0,-0.26823
0.0,-7.0,-0.24644
0.5,-7.0,-0.14703
1.0,-7.0,0.30031
1.5,-7.0,2.18535
2.0,-7.0,7.44405
2.5,-7.0,12.06187
3.0,-7.0,13.65355
3.5,-7.0,14.2776
4.0,-7.0,14.67835
4.5,-7.0,14.92574
5.0,-7.0,15.04569
5.5,-7.0,15.09527
6.0,-7.0,15.11433
6.5,-7.0,15.12145
7.0,-7.0,15.12408
7.5,-7.0,15.12505
8.0,-7.0,15.12541
8.5,-7.0,15.12554
9.0,-7.0,15.12559
9.5,-7.0,15.12561
10.0,-7.0,15.12561
-10.0,-6.5,-0.26445
-9.5,-6.5,-0.26445
-9.0,-6.5,-0.26445
-8.5,-6.5,-0.26445
-8.0,-6.5,-0.26445
-7.5,-6.5,-0.26445
-7.0,-6.5,-0.26445
-6.5,-6.5,-0.26445
-6.0,-6.5,-0.26445
-5.5,-6.5,-0.26445
-5.0,-6.5,-0.26445
-4.5,-6.5,-0.26445
-4.0,-6.5,-0.26445
-3.5,-6.5,-0.26445
-3.0,-6.5,-0.26445
-2.5,-6.5,-0.26444
-2.0,-6.5,-0.26436
-1.5,-6.5,-0.264
-1.0,-6.5,-0.26231
-0.5,-6.5,-0.25447
0.0,-6.5,-0.21858
0.5,-6.5,-0.05557
1.0,-6.5,0.66567
1.5,-6.5,3.48523
2.0,-6.5,9.33525
2.5,-6.5,12.83769
3.0,-6.5,13.96662
3.5,-6.5,14.49672
4.0,-6.5,14.83077
4.5,-6.5,15.00975
5.0,-6.5,15.08834
5.5,-6.5,15.11933
6.0,-6.5,15.13103
6.5,-6.5,15.13536
7.0,-6.5,15.13696
7.5,-6.5,15.13755
8.0,-6.5,15.13777
8.5,-6.5,15.13784
9.0,-6.5,15.13787
9.5,-6.5,15.13788
10.0,-6.5,15.13789
-10.0,-6.0,-0.24827
-9.5,-6.0,-0.24827
-9.0,-6.0,-0.24827
-8.5,-6.0,-0.24827
-8.0,-6.0,-0.24827
-7.5,-6.0,-0.24827
-7.0,-6.0,-0.24827
-6.5,-6.0,-0.24827
-6.0,-6.0,-0.24827
-5.5,-6.0,-0.24827
-5.0,-6.0,-0.24827
-4.5,-6.0,-0.24827
-4.0,-6.0,-0.24827
-3.5,-6.0,-0.24827
-3.0,-6.0,-0.24827
-2.5,-6.0,-0.24825
-2.0,-6.0,-0.24812
-1.5,-6.0,-0.24753
-1.0,-6.0,-0.24473
-0.5,-6.0,-0.23182
0.0,-6.0,-0.17276
0.5,-6.0,0.09363
1.0,-6.0,1.23979
1.5,-6.0,5.19834
2.0,-6.0,10.91434
2.5,-6.0,13.40318
3.0,-6.0,14.24896
3.5,-6.0,14.69798
4.0,-6.0,14.95556
4.5,-6.0,15.07762
5.0,-6.0,15.12764
5.5,-6.0,15.14679
6.0,-6.0,15.15393
6.5,-6.0,15.15656
7.0,-6.0,15.15753
7.5,-6.0,15.15789
8.0,-6.0,15.15802
8.5,-6.0,15.15807
