iteration,theta0,theta1,v_gamma
0,0.0,0.0,269.43740990410373
1,-2.4516234974058384,-0.5868794743419489,333.37232226091487
2,-2.456175041738961,-0.4851496960839534,333.73504178692326
3,-2.482444124632697,-0.3395743055223169,334.2736960708453
4,-2.4906802498017755,-0.2000968053502503,334.7971089295424
5,-2.5142906903356654,-0.04320818862140019,335.3976750966294
6,-2.526917609248884,0.10973201610509897,335.98054209131357
7,-2.5512832263701375,0.25939442330738427,336.54932631801177
8,-2.570211328020841,0.4117689876719022,337.11355390139863
9,-2.5857880867332743,0.5616593476783175,337.6485411019966
10,-2.6256665393346976,0.6801715598342908,338.0686986392598
11,-2.6624812491384837,0.7989398290084719,338.47210248150964
12,-2.6830347132958225,0.9405889500430418,338.9175804036113
13,-2.729758214436532,1.0895940188110818,339.3689229846136
14,-2.748285310418505,1.1799773822744992,339.62149886066777
15,-2.787840557430768,1.258664749931991,339.84437843730814
16,-2.8207406983282435,1.3621548688097564,340.11279836359745
17,-2.8658897267742347,1.5074919501990691,340.46194667195994
18,-2.885233738075619,1.5441285680643824,340.5493723419011
19,-2.933988221365801,1.6168598618451897,340.7222545296215
20,-2.972137333035086,1.6951097046314358,340.8918889800521
21,-2.9934437401310126,1.7272337714091208,340.96169890222086
22,-3.029772061991418,1.7791521211808898,341.0720551134748
23,-3.0711573192437864,1.8283515011905462,341.1758258045371
24,-3.093398510488986,1.886995827372283,341.28323286386467
25,-3.1286236399259977,1.9683857857953897,341.4266316204928
26,-3.162191521115724,1.9912118493472666,341.47485956269645
27,-3.187637778803335,2.0179150154841,341.524499447527
28,-3.2084338498862706,2.016284502131571,341.52960487152575
29,-3.234743469998952,2.011922173808232,341.5319623355858
30,-3.258904134707321,2.0695159819862887,341.62452387627275
31,-3.2866838485433196,2.12537450272116,341.7118281291294
32,-3.2866838485433347,2.1253745027211557,341.7118281291294
33,-3.3072334918338937,2.1849558621824703,341.79802255230106
34,-3.3563618680770526,2.2303970246772282,341.87115337951485
35,-3.3748130202971116,2.29130871691599,341.95133320256815
36,-3.391426402104935,2.3208578481349447,341.99100963260116
37,-3.418325061843743,2.345176939238566,342.02662816166173
38,-3.4527110458843118,2.398520594247611,342.095561568584
39,-3.4783964424499376,2.423259342551584,342.1289723538958
40,-3.493192523690141,2.4867080260873013,342.19889890983234
41,-3.5049905816975366,2.585607198178418,342.29727501608386
