method_name,samples_to_converge
discounting_free_vanilla_sampling,2144
discounting_free_vanilla_sampling,5776
discounting_free_vanilla_sampling,5760
discounting_free_vanilla_sampling,5840
discounting_free_vanilla_sampling,2256
discounting_free_vanilla_sampling,2864
discounting_free_vanilla_sampling,1792
discounting_free_vanilla_sampling,6112
discounting_free_vanilla_sampling,2160
discounting_free_vanilla_sampling,4080
discounting_free_vanilla_sampling,4816
discounting_free_vanilla_sampling,3712
discounting_free_vanilla_sampling,2560
discounting_free_vanilla_sampling,3344
discounting_free_vanilla_sampling,2752
discounting_free_vanilla_sampling,5312
discounting_free_vanilla_sampling,7104
discounting_free_vanilla_sampling,4512
discounting_free_vanilla_sampling,1856
discounting_free_vanilla_sampling,960
discounting_free_vanilla_sampling,7648
discounting_free_vanilla_sampling,5536
discounting_free_vanilla_sampling,4032
discounting_free_vanilla_sampling,3024
discounting_free_vanilla_sampling,4112
discounting_free_vanilla_sampling,4672
discounting_free_vanilla_sampling,5504
discounting_free_vanilla_sampling,3424
discounting_free_vanilla_sampling,5376
discounting_free_vanilla_sampling,4544
discounting_free_vanilla_sampling,4160
discounting_free_vanilla_sampling,2672
discounting_free_vanilla_sampling,1984
discounting_free_vanilla_sampling,3328
discounting_free_vanilla_sampling,4064
discounting_free_vanilla_sampling,1632
discounting_free_vanilla_sampling,4400
discounting_free_vanilla_sampling,960
discounting_free_vanilla_sampling,4624
discounting_free_vanilla_sampling,3872
discounting_free_vanilla_sampling,2704
discounting_free_vanilla_sampling,4976
discounting_free_vanilla_sampling,4240
discounting_free_vanilla_sampling,4208
discounting_free_vanilla_sampling,3616
discounting_free_vanilla_sampling,5152
discounting_free_vanilla_sampling,4464
discounting_free_vanilla_sampling,4608
discounting_free_vanilla_sampling,4048
discounting_free_vanilla_sampling,3792
discounting_free_vanilla_sampling,4672
discounting_free_vanilla_sampling,3936
discounting_free_vanilla_sampling,4736
discounting_free_vanilla_sampling,2896
discounting_free_vanilla_sampling,5200
discounting_free_vanilla_sampling,5280
discounting_free_vanilla_sampling,2512
discounting_free_vanilla_sampling,4032
discounting_free_vanilla_sampling,5520
discounting_free_vanilla_sampling,3408
discounting_free_vanilla_sampling,1936
discounting_free_vanilla_sampling,3200
discounting_free_vanilla_sampling,4560
discounting_free_vanilla_sampling,2976
discounting_free_vanilla_sampling,2656
discounting_free_vanilla_sampling,5360
discounting_free_vanilla_sampling,5056
discounting_free_vanilla_sampling,2960
discounting_free_vanilla_sampling,5792
discounting_free_vanilla_sampling,4224
discounting_free_vanilla_sampling,4688
discounting_free_vanilla_sampling,5184
discounting_free_vanilla_sampling,4720
discounting_free_vanilla_sampling,1568
discounting_free_vanilla_sampling,3760
discounting_free_vanilla_sampling,4704
discounting_free_vanilla_sampling,5872
discounting_free_vanilla_sampling,2304
discounting_free_vanilla_sampling,2848
discounting_free_vanilla_sampling,3552
discounting_free_vanilla_sampling,4960
discounting_free_vanilla_sampling,3360
discounting_free_vanilla_sampling,4096
discounting_free_vanilla_sampling,3056
discounting_free_vanilla_sampling,6544
discounting_free_vanilla_sampling,4896
discounting_free_vanilla_sampling,2992
discounting_free_vanilla_sampling,5744
discounting_free_vanilla_sampling,5376
discounting_free_vanilla_sampling,3200
discounting_free_vanilla_sampling,4016
discounting_free_vanilla_sampling,4608
discounting_free_vanilla_sampling,5216
discounting_free_vanilla_sampling,2992
discounting_free_vanilla_sampling,3120
discounting_free_vanilla_sampling,4608
discounting_free_vanilla_sampling,3440
discounting_free_vanilla_sampling,2656
discounting_free_vanilla_sampling,3952
discounting_free_vanilla_sampling,3968
discounting_free_natural_sampling,2544
discounting_free_natural_sampling,2176
discounting_free_natural_sampling,2144
discounting_free_natural_sampling,2640
discounting_free_natural_sampling,1936
discounting_free_natural_sampling,32480
discounting_free_natural_sampling,2208
discounting_free_natural_sampling,2160
discounting_free_natural_sampling,2416
discounting_free_natural_sampling,2336
discounting_free_natural_sampling,1984
discounting_free_natural_sampling,2032
discounting_free_natural_sampling,1888
discounting_free_natural_sampling,2240
discounting_free_natural_sampling,2144
discounting_free_natural_sampling,2208
discounting_free_natural_sampling,2544
discounting_free_natural_sampling,2752
discounting_free_natural_sampling,2224
discounting_free_natural_sampling,2192
discounting_free_natural_sampling,1968
discounting_free_natural_sampling,1984
discounting_free_natural_sampling,3456
discounting_free_natural_sampling,2496
discounting_free_natural_sampling,1904
discounting_free_natural_sampling,2176
discounting_free_natural_sampling,1968
discounting_free_natural_sampling,1920
discounting_free_natural_sampling,2192
discounting_free_natural_sampling,2656
discounting_free_natural_sampling,1952
discounting_free_natural_sampling,2080
discounting_free_natural_sampling,2144
discounting_free_natural_sampling,1744
discounting_free_natural_sampling,2336
discounting_free_natural_sampling,1968
discounting_free_natural_sampling,1632
discounting_free_natural_sampling,2080
discounting_free_natural_sampling,2224
discounting_free_natural_sampling,2160
discounting_free_natural_sampling,2256
discounting_free_natural_sampling,1984
discounting_free_natural_sampling,1984
discounting_free_natural_sampling,2592
discounting_free_natural_sampling,1936
discounting_free_natural_sampling,2336
discounting_free_natural_sampling,1936
discounting_free_natural_sampling,2128
discounting_free_natural_sampling,2096
discounting_free_natural_sampling,2480
discounting_free_natural_sampling,2112
discounting_free_natural_sampling,2288
discounting_free_natural_sampling,2192
discounting_free_natural_sampling,2144
discounting_free_natural_sampling,2368
discounting_free_natural_sampling,2160
discounting_free_natural_sampling,2224
discounting_free_natural_sampling,2208
discounting_free_natural_sampling,1696
discounting_free_natural_sampling,2192
discounting_free_natural_sampling,1824
discounting_free_natural_sampling,2288
discounting_free_natural_sampling,2192
discounting_free_natural_sampling,2208
discounting_free_natural_sampling,2256
discounting_free_natural_sampling,2640
discounting_free_natural_sampling,1936
discounting_free_natural_sampling,1872
discounting_free_natural_sampling,1968
discounting_free_natural_sampling,2128
discounting_free_natural_sampling,2080
discounting_free_natural_sampling,2528
discounting_free_natural_sampling,2240
discounting_free_natural_sampling,2192
discounting_free_natural_sampling,2096
discounting_free_natural_sampling,2160
discounting_free_natural_sampling,2000
discounting_free_natural_sampling,2160
discounting_free_natural_sampling,2720
discounting_free_natural_sampling,2128
