theta0,theta1,v_gamma
-10.0,-10.0,280.4706619951349
-9.5,-10.0,280.47066200440736
-9.0,-10.0,280.47066201968346
-8.5,-10.0,280.47066204478796
-8.0,-10.0,280.47066208596925
-7.5,-10.0,280.4706621533146
-7.0,-10.0,280.4706622628419
-6.5,-10.0,280.4706624393301
-6.0,-10.0,280.4706627191767
-5.5,-10.0,280.470663150269
-5.0,-10.0,280.4706637786102
-4.5,-10.0,280.4706645901897
-4.0,-10.0,280.47066531666087
-3.5,-10.0,280.47066484443417
-3.0,-10.0,280.47065949268494
-2.5,-10.0,280.4706380852486
-2.0,-10.0,280.4705678876346
-1.5,-10.0,280.4703540737852
-1.0,-10.0,280.4697200772412
-0.5,-10.0,280.46784068056655
0.0,-10.0,280.46217838568964
0.5,-10.0,280.44522862173466
1.0,-10.0,280.4109842812623
1.5,-10.0,280.8658894689347
2.0,-10.0,294.074545373998
2.5,-10.0,343.354222106049
3.0,-10.0,409.83307411209324
3.5,-10.0,477.8857600944415
4.0,-10.0,525.7315613537381
4.5,-10.0,559.2947044239544
5.0,-10.0,586.0425642916304
5.5,-10.0,602.8758211574985
6.0,-10.0,610.9905224051047
6.5,-10.0,614.383975065591
7.0,-10.0,615.7816506942934
7.5,-10.0,616.4543960093991
8.0,-10.0,616.9316216897033
8.5,-10.0,617.4362793220897
9.0,-10.0,618.0621420934602
9.5,-10.0,618.8266277633334
10.0,-10.0,619.6820258575385
-10.0,-9.5,280.47051476263067
-9.5,-9.5,280.4705147779301
-9.0,-9.5,280.47051480311404
-8.5,-9.5,280.47051484449105
-8.0,-9.5,280.47051491239165
-7.5,-9.5,280.4705150234297
-7.0,-9.5,280.4705152040099
-6.5,-9.5,280.47051549498735
-6.0,-9.5,280.4705159563682
-5.5,-9.5,280.47051666712264
-5.0,-9.5,280.47051770308786
-4.5,-9.5,280.4705190411599
-4.0,-9.5,280.47052023889125
-3.5,-9.5,280.4705194603188
-3.0,-9.5,280.4705106367555
-2.5,-9.5,280.4704753418297
-2.0,-9.5,280.4703596055032
-1.5,-9.5,280.4700070867458
-1.0,-9.5,280.4689618101511
-0.5,-9.5,280.46586326491575
0.0,-9.5,280.4565281714477
0.5,-9.5,280.42859136019
1.0,-9.5,280.3730213130104
1.5,-9.5,281.23119855081893
2.0,-9.5,301.48280051504656
2.5,-9.5,360.26703170893865
3.0,-9.5,432.73914072607437
3.5,-9.5,498.2816702563066
4.0,-9.5,541.4589060410897
4.5,-9.5,573.2552623365264
5.0,-9.5,595.6792754613284
5.5,-9.5,607.76887361132
6.0,-9.5,613.1031182074286
6.5,-9.5,615.2969024043178
7.0,-9.5,616.2742672475888
7.5,-9.5,616.8650702054273
8.0,-9.5,617.411686438492
8.5,-9.5,618.0530016035729
9.0,-9.5,618.8231725307263
9.5,-9.5,619.6806618378549
10.0,-9.5,620.5347919949303
-10.0,-9.0,280.470272036212
-9.5,-9.0,280.4702720614402
-9.0,-9.0,280.47027210295073
-8.5,-9.0,280.47027217118523
-8.0,-9.0,280.47027228313357
-7.5,-9.0,280.47027246619814
-7.0,-9.0,280.47027276392805
-6.5,-9.0,280.470273243671
-6.0,-9.0,280.47027400436036
-5.5,-9.0,280.4702751761896
-5.0,-9.0,280.4702768842048
-4.5,-9.0,280.4702790903038
-4.0,-9.0,280.47028106504246
-3.5,-9.0,280.4702797813497
-3.0,-9.0,280.47026523370016
-2.5,-9.0,280.4702070420733
-2.0,-9.0,280.4700162250955
-1.5,-9.0,280.4694350217394
-1.0,-9.0,280.4677116710277
-0.5,-9.0,280.4626031859616
0.0,-9.0,280.4472134488498
0.5,-9.0,280.4011768950328
1.0,-9.0,280.3119690940859
1.5,-9.0,281.9755838740477
2.0,-9.0,311.68316393238155
2.5,-9.0,380.21829204071395
3.0,-9.0,457.03642862812245
3.5,-9.0,517.5057692291372
4.0,-9.0,557.116587281109
4.5,-9.0,585.5603584959769
5.0,-9.0,602.8096901361071
5.5,-9.0,611.0435477982924
6.0,-9.0,614.5039922822498
6.5,-9.0,615.9778610540227
7.0,-9.0,616.7553556349733
7.5,-9.0,617.3711256348618
8.0,-9.0,618.0379261545887
