theta0,theta1,value
-10.0,-10.0,26.795564126970696
-9.5,-10.0,26.79556413553751
-9.0,-10.0,26.7955641496602
-8.5,-10.0,26.795564172940026
-8.0,-10.0,26.795564211309667
-7.5,-10.0,26.795564274537135
-7.0,-10.0,26.795564378690898
-6.5,-10.0,26.795564550164677
-6.0,-10.0,26.795564832206225
-5.5,-10.0,26.795565295389366
-5.0,-10.0,26.795566054084503
-4.5,-10.0,26.795567291445025
-4.0,-10.0,26.795569294673435
-3.5,-10.0,26.795572496894884
-3.0,-10.0,26.79557750127259
-2.5,-10.0,26.795584995502054
-2.0,-10.0,26.79559525583514
-1.5,-10.0,26.795606296913427
-1.0,-10.0,26.795607696814002
-0.5,-10.0,26.795560430054316
0.0,-10.0,26.795330259299988
0.5,-10.0,26.79448236764967
1.0,-10.0,26.792242537033864
1.5,-10.0,26.806393528230224
2.0,-10.0,27.24151339902771
2.5,-10.0,28.760070053188336
3.0,-10.0,30.878514498454237
3.5,-10.0,33.15016944198158
4.0,-10.0,34.778336804536
4.5,-10.0,35.867898525432516
5.0,-10.0,36.73510174920945
5.5,-10.0,37.31090587820795
6.0,-10.0,37.62439953350649
6.5,-10.0,37.80845635843199
7.0,-10.0,37.967452817627915
7.5,-10.0,38.16569697836335
8.0,-10.0,38.44938990478876
8.5,-10.0,38.85671455944298
9.0,-10.0,39.41192354114591
9.5,-10.0,40.10813665220155
10.0,-10.0,40.8929797352401
-10.0,-9.5,26.795416893744452
-9.5,-9.5,26.79541690786877
-9.0,-9.5,26.79541693115312
-8.5,-9.5,26.79541696953502
-8.0,-9.5,26.79541703279589
-7.5,-9.5,26.79541713704038
-7.0,-9.5,26.795417308760875
-6.5,-9.5,26.795417591473317
-6.0,-9.5,26.79541805648116
-5.5,-9.5,26.79541882014091
-5.0,-9.5,26.79542007101736
-4.5,-9.5,26.79542211107885
-4.0,-9.5,26.79542541384113
-3.5,-9.5,26.795430693403667
-3.0,-9.5,26.795438944205614
-2.5,-9.5,26.795451300042302
-2.0,-9.5,26.795468216317403
-1.5,-9.5,26.795486419600955
-1.0,-9.5,26.795488726923395
-0.5,-9.5,26.795410797385323
0.0,-9.5,26.795031326916025
0.5,-9.5,26.793633762643708
1.0,-9.5,26.78997618328185
1.5,-9.5,26.817028811543047
2.0,-9.5,27.465772608312946
2.5,-9.5,29.279455167250376
3.0,-9.5,31.614157186290022
3.5,-9.5,33.83001770572256
4.0,-9.5,35.2843517338102
4.5,-9.5,36.320593272001425
5.0,-9.5,37.07277284593204
5.5,-9.5,37.51617707213834
6.0,-9.5,37.7650882458627
6.5,-9.5,37.950922625961155
7.0,-9.5,38.15946358076402
7.5,-9.5,38.44699756915999
8.0,-9.5,38.85574101357865
8.5,-9.5,39.411472368961235
9.0,-9.5,40.10787763009182
9.5,-9.5,40.892791380810756
10.0,-9.5,41.677591624419335
-10.0,-9.0,26.79517416612798
-9.5,-9.0,26.795174189415075
-9.0,-9.0,26.795174227804452
-8.5,-9.0,26.79517429108556
-8.0,-9.0,26.795174395385065
-7.5,-9.0,26.795174567255188
-7.0,-9.0,26.7951748503744
-6.5,-9.0,26.79517531648834
-6.0,-9.0,26.79517608315651
-5.5,-9.0,26.79517734221818
-5.0,-9.0,26.795179404563676
-4.5,-9.0,26.795182768053415
-4.0,-9.0,26.795188213379777
-3.5,-9.0,26.79519691788474
-3.0,-9.0,26.795210521097705
-2.5,-9.0,26.795230892268346
-2.0,-9.0,26.79525878207166
-1.5,-9.0,26.795288793187275
-1.0,-9.0,26.79529259535253
-0.5,-9.0,26.795164111738877
0.0,-9.0,26.79453851677569
0.5,-9.0,26.792235336625552
1.0,-9.0,26.786300518998093
1.5,-9.0,26.839175181228022
2.0,-9.0,27.769900021061623
2.5,-9.0,29.895599403631827
3.0,-9.0,32.4064254195032
3.5,-9.0,34.46732025447549
4.0,-9.0,35.79229434186148
4.5,-9.0,36.73932849034948
5.0,-9.0,37.35001513212336
5.5,-9.0,37.69537372418745
6.0,-9.0,37.92386854405771
6.5,-9.0,38.14919970077856
7.0,-9.0,38.44305178182083
7.5,-9.0,38.854134973775075
8.0,-9.0,39.410728234221324
8.5,-9.0,40.10745051623397
9.0,-9.0,40.8924808369521
9.5,-9.0,41.67732394607157
10.0,-9.0,42.373281112250034
-10.0,-8.5,26.794774027407346
