iteration,theta0,theta1,v_gamma
0,0.0,0.0,231.37324880621065
1,2.0801816854354667,-5.3960738856187085,509.8165383902246
2,6.084712060109732,-11.659935810049134,596.0999401310183
3,8.283820117745869,-14.507132627418844,611.210536751293
4,5.252589807075104,-7.15480065089681,615.6548020074162
5,0.1526954652489243,4.351932255734775,607.9073640051483
6,4.4046749550845075,-3.299116931797956,621.0822631737054
7,4.157564963824791,0.6364344857819604,619.8310850288976
8,9.91103927880781,-4.252746932757175,623.0692242530127
9,21.8376420732162,-9.243915015650984,623.1630436167027
10,30.982001821979274,-14.099111352420698,623.1635465850114
