iteration,theta0,theta1,gain
0,0.0,0.0,1.3125
1,0.40957936807711276,0.004113193182726708,2.6582748104351395
2,3.043326461477436,0.5833121075968042,3.676435982080345
3,3.043604194840481,0.509765479847422,3.676408446003296
4,3.0439245166235502,0.45106815365063213,3.6763850704765395
5,3.068559310575052,0.41498774548932826,3.676391833434616
6,3.093185062380993,0.3697381989234328,3.6763947489639577
7,3.0935667361860575,0.28884097922518853,3.676360977682078
8,3.1181137627866935,0.23311907946893792,3.6763594184881976
9,3.1185875204673708,0.15388286870882506,3.676323589051828
10,3.1191390581775154,0.07682944089933971,3.67628605508926
11,3.143545261276948,0.023223520626190035,3.676285125245466
12,3.1916402183563544,-0.00757161448367915,3.6763204227123882
13,3.287269360100106,0.009554239995550454,3.6764146448960826
14,3.3119893500881865,-0.04435005682058794,3.6764139053569034
15,3.3125457208152222,-0.12379111673911469,3.676382487935712
16,3.336946455755444,-0.17712645276904182,3.676381617501409
17,3.361326585312999,-0.2268004388035628,3.6763822335825926
18,3.362045149276271,-0.2990749632589272,3.6763516159188407
19,3.386360802850859,-0.3434689238534944,3.676354545769835
20,3.387217068144535,-0.42019456565804003,3.676319906341574
21,3.3882063720816893,-0.5052997296816495,3.6762783693435757
22,3.4816114312074817,-0.4904954924145678,3.676377121373271
23,3.505884498780853,-0.5305093620044109,3.67638157178927
24,3.530149000006496,-0.5748902552271384,3.6763841362691374
25,3.600888021440377,-0.5724550967595678,3.6764418483429417
26,3.6017679087660985,-0.6563334322487197,3.6764112383229923
27,3.649235507383022,-0.7078751001279062,3.676429044411791
28,3.6502739970447595,-0.8012548740564412,3.676393631096089
29,3.6828019753604844,-0.8571806373793023,3.676398251395764
30,3.7070037567004355,-0.9085829143037883,3.6763977178964633
31,3.7588221270774054,-0.9185852052738274,3.6764349158954754
32,3.760079759714018,-0.9682614186337695,3.676417326255199
33,3.761457731265379,-1.0083934453665047,3.676402796177963
34,3.7629399873849643,-1.0751448517929323,3.67637669017708
35,3.832143653693482,-1.074593004353356,3.6764331637503145
36,3.833613363226534,-1.132118043030362,3.6764126285880794
37,3.925451581536616,-1.109356687454408,3.6764865042548003
38,3.9267676863880374,-1.1571197053661637,3.6764720621656792
39,3.9509566824684645,-1.1919556902774984,3.6764768931337724
40,3.952422250953989,-1.2285633787157417,3.6764658580804666
41,3.9992251463123822,-1.2194071987490729,3.676499208564779
42,4.023415823014562,-1.2329666391392358,3.6765098504425917
43,4.024797183010246,-1.3231250735097744,3.676483385261478
44,4.053772926239996,-1.3104589421424628,3.6765053801387797
45,4.100634647070351,-1.3343395146558663,3.6765258510404055
46,4.102080120215101,-1.3694943333782061,3.676516884137005
47,4.108412898925259,-1.413558547710967,3.6765079418986866
48,4.132596950876653,-1.4612589278962367,3.676508453851057
49,4.224157994615703,-1.4176259803435507,3.6765684848344504
50,4.248354269607587,-1.405396756452003,3.676582309243801
51,4.272560830687175,-1.4410633011995833,3.6765852686358036
52,4.319688707953085,-1.502550781792996,3.6765925575160154
53,4.3210019987859125,-1.561678354723857,3.676580513872873
54,4.367911999040071,-1.5499152851606712,3.6766028322678443
55,4.414999200423075,-1.538027446602028,3.6766229539465094
56,4.439217690912352,-1.5363544966497946,3.6766317395811776
57,4.486558950865525,-1.5750737743222527,3.67664113501548
58,4.510791642215452,-1.585930884819039,3.6766471112922803
59,4.535030363698851,-1.5837586954426532,3.67665476621987
60,4.559281781766905,-1.6334625084534848,3.6766546949468366
61,4.560350845193107,-1.667266009730621,3.6766500258708614
62,4.58457568794216,-1.6912282953953732,3.676653754120272
63,4.608800628547151,-1.6881648425814764,3.676661189169506
64,4.633037382051386,-1.6986404618689903,3.6766664517378174
65,4.634089158053767,-1.7186935492927413,3.676664037300128
66,4.6583235551917035,-1.7701498563452873,3.6766637181723243
67,4.659471705955748,-1.789604029801416,3.6766613643501795
68,4.683687464576568,-1.7858669148574469,3.676668492299802
69,4.68481483070012,-1.791225214996823,3.676668087399044
