iteration,theta0,theta1,gain,bias
0,0.0,0.0,-1.0,11.333333333333334
1,0.0,0.2222220102945957,-1.0,11.38439729160335
2,-1.3322676295501878e-15,0.4588578451293754,-1.0,11.441694130478378
3,-3.1086244689504387e-15,0.7054581020627986,-1.0,11.503077691504878
4,-1.7763568394002505e-15,0.9554484645215,-1.0,11.565201913989794
5,-3.552713678800501e-15,1.201197017405915,-1.0,11.624349199548066
6,-4.440892098500626e-15,1.4357341554826093,-1.0,11.677561297204974
7,-5.551115123125783e-15,1.654206031640638,-1.0,11.723333754657823
8,-4.884981308350689e-15,1.8543278799743264,-1.0,11.761547187878763
9,-5.3290705182007506e-15,2.0359208316064445,-1.0,11.792945697309255
10,-5.551115123125783e-15,2.2001034945005657,-1.0,11.81860969461239
11,-5.218048215738236e-15,2.3485912715393837,-1.0,11.83962547806837
12,-5.10702591327572e-15,2.483245706729879,-1.0,11.856939355691184
13,-5.440092820663267e-15,2.6058398926266446,-1.0,11.871321357925725
14,-5.6621374255882976e-15,2.71796028653473,-1.0,11.883377778119455
15,-5.717648576819556e-15,2.820981707447934,-1.0,11.893579257300837
16,-5.828670879282072e-15,2.916077015233637,-1.0,11.902289803086486
17,-5.495603971894525e-15,3.0042398678209667,-1.0,11.909791573251841
18,-5.384581669432009e-15,3.086310671888715,-1.0,11.916304497770113
19,-5.2735593669694936e-15,3.1630011744109185,-1.0,11.922001265495302
20,-5.245803791353865e-15,3.234916043900586,-1.0,11.927018589676733
21,-5.190292640122607e-15,3.302571106005726,-1.0,11.931465630307677
22,-5.190292640122607e-15,3.366408454578531,-1.0,11.935430293790784
23,-5.467848396278896e-15,3.426808884605249,-1.0,11.938983965008134
24,-5.3290705182007506e-15,3.484101934245189,-1.0,11.942185074371906
25,-5.35682609381638e-15,3.538574265862936,-1.0,11.945081821078832
26,-5.134781488891349e-15,3.5904764104944618,-1.0,11.947714253199742
27,-5.0237591864288326e-15,3.6400283305539465,-1.0,11.95011587571199
28,-5.0237591864288326e-15,3.68742400206678,-1.0,11.952314902008244
29,-5.079270337660091e-15,3.732835205077501,-1.0,11.954335235408852
30,-5.051514762044462e-15,3.776414673042273,-1.0,11.956197244683299
31,-5.134781488891349e-15,3.8182987215907818,-1.0,11.957918381241841
32,-5.162537064506978e-15,3.8586094528173622,-1.0,11.9595136737363
33,-5.134781488891349e-15,3.897456612065208,-1.0,11.960996127060392
34,-5.218048215738236e-15,3.9349391589823854,-1.0,11.9623770462784
35,-5.412337245047638e-15,3.971146602612036,-1.0,11.963666301206159
36,-5.35682609381638e-15,4.0061601407543455,-1.0,11.964872543771312
37,-5.523359547510154e-15,4.040053636268473,-1.0,11.966003387568078
38,-5.537237335317968e-15,4.07289445694814,-1.0,11.967065556964139
39,-5.5094817597023385e-15,4.104744200776471,-1.0,11.968065011545189
40,-5.537237335317968e-15,4.135659324488096,-1.0,11.969007050474172
41,-5.592748486549226e-15,4.165691690239912,-1.0,11.969896400407077
42,-5.634381849972669e-15,4.194889042660738,-1.0,11.970737289879434
43,-5.551115123125783e-15,4.223295426492519,-1.0,11.97153351250775
44,-5.537237335317968e-15,4.250951553356563,-1.0,11.972288480901534
45,-5.564992910933597e-15,4.277895124802315,-1.0,11.97300527282624
46,-5.648259637780484e-15,4.30416111766428,-1.0,11.973686670874947
47,-5.648259637780484e-15,4.329782036818034,-1.0,11.974335196680315
48,-5.634381849972669e-15,4.354788139651507,-1.0,11.97495314051671
49,-5.592748486549226e-15,4.379207635923183,-1.0,11.975542586995676
50,-5.537237335317968e-15,4.403066866140734,-1.0,11.976105437438656
51,-5.4817261840867104e-15,4.426390461142813,-1.0,11.976643429414192
52,-5.537237335317968e-15,4.44920148518771,-1.0,11.977158153847105
53,-5.578870698741412e-15,4.471521564532993,-1.0,11.977651070042242
54,-5.606626274357041e-15,4.4933710032198535,-1.0,11.97812351891148
55,-5.606626274357041e-15,4.5147688875463805,-1.0,11.97857673464809
56,-5.537237335317968e-15,4.535733180518683,-1.0,11.979011855055822
57,-5.5094817597023385e-15,4.5562808074020325,-1.0,11.979429930708928
58,-5.551115123125783e-15,4.57642773335147,-1.0,11.979831933093818
59,-5.537237335317968e-15,4.596189033978813,-1.0,11.980218761861249
60,-5.537237335317968e-15,4.615578959607549,-1.0,11.980591251299735
61,-5.5094817597023385e-15,4.634610993876132,-1.0,11.980950176125507
62,-5.4817261840867104e-15,4.653297907271514,-1.0,11.98129625667134
63,-5.530298441414061e-15,4.671651806106516,-1.0,11.981630163545375
64,-5.544176229221876e-15,4.689684177395333,-1.0,11.981952521821782
65,-5.585809592645319e-15,4.707405930029844,-1.0,11.982263914816933
66,-5.558054017029691e-15,4.724827432614304,-1.0,11.982564887497936
67,-5.488665077990618e-15,4.741958548276544,-1.0,11.982855949564376
68,-5.474787290182803e-15,4.75880866673925,-1.0,11.983137578239159
69,-5.460909502374989e-15,4.775386733904504,-1.0,11.983410220799719
70,-5.440092820663267e-15,4.791701279178054,-1.0,11.983674296877377
71,-5.4817261840867104e-15,4.807760440736206,-1.0,11.983930200548986
72,-5.495603971894525e-15,4.823571988917404,-1.0,11.98417830224246
73,-5.433153926759361e-15,4.839143347902153,-1.0,11.984418950475066
74,-5.488665077990618e-15,4.854481615828583,-1.0,11.98465247344132
75,-5.558054017029691e-15,4.8695935834764645,-1.0,11.9848791804654
76,-5.544176229221876e-15,4.88448575163957,-1.0,11.985099363331274
77,-5.516420653606247e-15,4.899164347294771,-1.0,11.985313297502397
78,-5.516420653606247e-15,4.913635338666023,-1.0,11.985521243241458
79,-5.523359547510154e-15,4.927904449272195,-1.0,11.985723446639538
80,-5.537237335317968e-15,4.94197717103951,-1.0,11.985920140563184
81,-5.551115123125783e-15,4.955858776551992,-1.0,11.98611154552677
82,-5.578870698741412e-15,4.969554330506724,-1.0,11.986297870497022
83,-5.558054017029691e-15,4.983068700434779,-1.0,11.986479313635705
84,-5.558054017029691e-15,4.996406566743338,-1.0,11.98665606298595
85,-5.544176229221876e-15,5.009572432129696,-1.0,11.986828297107108
86,-5.516420653606247e-15,5.02257063041352,-1.0,11.986996185662587
87,-5.523359547510154e-15,5.035405334829775,-1.0,11.987159889964667
88,-5.516420653606247e-15,5.048080565821213,-1.0,11.9873195634799
89,-5.474787290182803e-15,5.060600198366055,-1.0,11.987475352298386
90,-5.474787290182803e-15,5.0729679688736375,-1.0,11.98762739556986
91,-5.447031714567174e-15,5.085187481678085,-1.0,11.987775825909345
92,-5.4539706084710815e-15,5.097262215157713,-1.0,11.987920769774774
93,-5.412337245047638e-15,5.109195527505632,-1.0,11.988062347818776
94,-5.398459457239824e-15,5.120990662175071,-1.0,11.988200675216753
95,-5.440092820663267e-15,5.132650753021075,-1.0,11.988335861972985
96,-5.467848396278896e-15,5.144178829158602,-1.0,11.98846801320654
97,-5.433153926759361e-15,5.15557781955552,-1.0,11.988597229418438
98,-5.377642775528102e-15,5.166850557377599,-1.0,11.988723606741571
99,-5.280498260873401e-15,5.177999784101364,-1.0,11.98884723717459
100,-5.287437154777308e-15,5.189028153409447,-1.0,11.988968208800975
101,-5.294376048681215e-15,5.199938234882088,-1.0,11.98908660599439
102,-5.245803791353865e-15,5.210732517497368,-1.0,11.98920250961123
103,-5.245803791353865e-15,5.221413412951944,-1.0,11.989315997171397
104,-5.23192600354605e-15,5.2319832588131545,-1.0,11.989427143028037
105,-5.238864897449957e-15,5.242444321512648,-1.0,11.989536018527046
106,-5.2735593669694936e-15,5.252798799190961,-1.0,11.989642692157094
107,-5.287437154777308e-15,5.263048824401846,-1.0,11.989747229690737
108,-5.3082538364890305e-15,5.273196466684526,-1.0,11.989849694317307
109,-5.3290705182007506e-15,5.2832437350115296,-1.0,11.989950146768084
