theta0,theta1,value
-10.0,-10.0,-4.893057295308752
-9.5,-10.0,-4.893057295308752
-9.0,-10.0,-4.893057295308752
-8.5,-10.0,-4.893057295308752
-8.0,-10.0,-4.893057295308752
-7.5,-10.0,-4.893057295308752
-7.0,-10.0,-4.893057295308752
-6.5,-10.0,-4.893057295308752
-6.0,-10.0,-4.893057295308752
-5.5,-10.0,-4.893057295308752
-5.0,-10.0,-4.893057295308752
-4.5,-10.0,-4.893057295308752
-4.0,-10.0,-4.893057295308752
-3.5,-10.0,-4.893057295308752
-3.0,-10.0,-4.893057295308752
-2.5,-10.0,-4.893057295308752
-2.0,-10.0,-4.893057295308752
-1.5,-10.0,-4.893057295308752
-1.0,-10.0,-4.893057295308752
-0.5,-10.0,-4.893057295308752
0.0,-10.0,-4.893057295308752
0.5,-10.0,-4.893057295308752
1.0,-10.0,-4.893057295308752
1.5,-10.0,-4.893057295308752
2.0,-10.0,-4.893057295308752
2.5,-10.0,-4.893057295308752
3.0,-10.0,-4.893057295308752
3.5,-10.0,-4.893057295308752
4.0,-10.0,-4.893057295308752
4.5,-10.0,-4.893057295308752
5.0,-10.0,-4.893057295308752
5.5,-10.0,-4.893057295308752
6.0,-10.0,-4.893057295308752
6.5,-10.0,-4.893057295308752
7.0,-10.0,-4.893057295308752
7.5,-10.0,-4.893057295308752
8.0,-10.0,-4.893057295308752
8.5,-10.0,-4.893057295308752
9.0,-10.0,-4.893057295308752
9.5,-10.0,-4.893057295308752
10.0,-10.0,-4.893057295308752
-10.0,-9.5,-4.893052761858547
-9.5,-9.5,-4.893052761858547
-9.0,-9.5,-4.893052761858547
-8.5,-9.5,-4.893052761858547
-8.0,-9.5,-4.893052761858547
-7.5,-9.5,-4.893052761858547
-7.0,-9.5,-4.893052761858547
-6.5,-9.5,-4.893052761858547
-6.0,-9.5,-4.893052761858547
-5.5,-9.5,-4.893052761858547
-5.0,-9.5,-4.893052761858547
-4.5,-9.5,-4.893052761858547
-4.0,-9.5,-4.893052761858547
-3.5,-9.5,-4.893052761858547
-3.0,-9.5,-4.893052761858547
