iteration,theta0,theta1,gain
0,0.0,0.0,-1.0
1,-0.20103180359218867,0.2010318587180223,-1.0
2,-0.408419870900693,0.40841998305677396,-1.0
3,-0.6226532841562432,0.6226534554056501,-1.0
4,-0.8441236553512639,0.8441238878889058,-1.0
5,-1.0730811551521922,1.0730814512639317,-1.0
6,-1.3095956048370678,1.3095959668457913,-1.0
7,-1.5535315448968865,1.5535319750993577,-1.0
8,-1.8045452187015163,1.8045457193025838,-1.0
9,-2.0621070970650726,2.0621076701173293,-1.0
10,-2.325546995338394,2.3255476426948514,-1.0
11,-2.594112723260551,2.5941134465452707,-1.0
12,-2.867030358932161,2.867031159530022,-1.0
13,-3.1435556527429154,3.1435565318061887,-1.0
14,-3.4230104427949692,3.4230114012621717,-1.0
15,-3.7048028894629925,3.7048039280848926,-1.0
16,-3.9884339175757524,3.988435036944022,-1.0
