iteration,theta0,theta1,gain
0,0.0,0.0,-1.0
1,0.0,0.2528224956903866,-1.0
2,0.0,0.4642516440248744,-1.0
3,0.0,0.7031801683294785,-1.0
4,0.0,0.857964189920446,-1.0
5,0.0,1.1328928884102485,-1.0
6,0.0,1.3012396911279447,-1.0
7,0.0,1.4604343133431652,-1.0
8,0.0,1.6024645737725354,-1.0
9,0.0,1.7065750021381907,-1.0
10,0.0,1.850729031554209,-1.0
11,0.0,1.9211204914842954,-1.0
12,0.0,1.9805887525505939,-1.0
13,0.0,2.0042431237241014,-1.0
14,0.0,2.0651740589177634,-1.0
15,0.0,2.2019942892861866,-1.0
16,0.0,2.2585307524496527,-1.0
17,0.0,2.313990543114814,-1.0
18,0.0,2.3265191947412363,-1.0
19,0.0,2.3788892124014316,-1.0
20,0.0,2.390841928351209,-1.0
21,0.0,2.4468331792690377,-1.0
22,0.0,2.5469879124134103,-1.0
23,0.0,2.601344395973039,-1.0
