iteration,theta0,theta1,gain
0,0.0,0.0,-1.0
1,0.0,0.22916666666666707,-1.0
2,0.0,0.4981622579521025,-1.0
3,0.0,0.7257640050452014,-1.0
4,0.0,0.9430513468133497,-1.0
5,0.0,1.1653621248310122,-1.0
6,0.0,1.3332797165516181,-1.0
7,0.0,1.5641013343339139,-1.0
8,0.0,1.7180832397640404,-1.0
9,0.0,1.8689732057883406,-1.0
10,0.0,2.0137916918976893,-1.0
11,0.0,2.1225463554179296,-1.0
12,0.0,2.1837184084542347,-1.0
13,0.0,2.3810621461348074,-1.0
14,0.0,2.4404879123792202,-1.0
15,0.0,2.5491854751281857,-1.0
16,0.0,2.610341445772099,-1.0
17,0.0,2.7672778373078417,-1.0
