theta0,theta1,bias
-10.0,-10.0,2.99995
-9.5,-10.0,2.99995
-9.0,-10.0,2.99995
-8.5,-10.0,2.99995
-8.0,-10.0,2.99995
-7.5,-10.0,2.99995
-7.0,-10.0,2.99995
-6.5,-10.0,2.99995
-6.0,-10.0,2.99995
-5.5,-10.0,2.99995
-5.0,-10.0,2.99995
-4.5,-10.0,2.99995
-4.0,-10.0,2.99995
-3.5,-10.0,2.99995
-3.0,-10.0,2.99995
-2.5,-10.0,2.99995
-2.0,-10.0,2.99995
-1.5,-10.0,2.99996
-1.0,-10.0,2.99996
-0.5,-10.0,2.99998
0.0,-10.0,3.00009
0.5,-10.0,3.00056
1.0,-10.0,3.00269
1.5,-10.0,3.01217
2.0,-10.0,3.05391
2.5,-10.0,3.22753
3.0,-10.0,3.80678
3.5,-10.0,4.86733
4.0,-10.0,5.64235
4.5,-10.0,5.91202
5.0,-10.0,5.97988
5.5,-10.0,5.99545
6.0,-10.0,5.99895
6.5,-10.0,5.99973
7.0,-10.0,5.9999
7.5,-10.0,5.99994
8.0,-10.0,5.99995
8.5,-10.0,5.99995
9.0,-10.0,5.99995
9.5,-10.0,5.99995
10.0,-10.0,5.99995
-10.0,-9.5,2.99993
-9.5,-9.5,2.99993
-9.0,-9.5,2.99993
-8.5,-9.5,2.99993
-8.0,-9.5,2.99993
-7.5,-9.5,2.99993
-7.0,-9.5,2.99993
-6.5,-9.5,2.99993
-6.0,-9.5,2.99993
-5.5,-9.5,2.99993
-5.0,-9.5,2.99993
-4.5,-9.5,2.99993
-4.0,-9.5,2.99993
-3.5,-9.5,2.99993
-3.0,-9.5,2.99993
-2.5,-9.5,2.99993
-2.0,-9.5,2.99993
-1.5,-9.5,2.99993
-1.0,-9.5,2.99994
-0.5,-9.5,2.99998
0.0,-9.5,3.00015
0.5,-9.5,3.00093
1.0,-9.5,3.00443
1.5,-9.5,3.02
2.0,-9.5,3.08786
2.5,-9.5,3.35753
3.0,-9.5,4.13255
3.5,-9.5,5.1931
4.0,-9.5,5.77235
4.5,-9.5,5.94597
5.0,-9.5,5.98771
5.5,-9.5,5.99719
6.0,-9.5,5.99931
6.5,-9.5,5.99979
7.0,-9.5,5.99989
7.5,-9.5,5.99992
8.0,-9.5,5.99992
8.5,-9.5,5.99992
9.0,-9.5,5.99993
9.5,-9.5,5.99993
10.0,-9.5,5.99993
-10.0,-9.0,2.99988
-9.5,-9.0,2.99988
-9.0,-9.0,2.99988
-8.5,-9.0,2.99988
-8.0,-9.0,2.99988
-7.5,-9.0,2.99988
-7.0,-9.0,2.99988
-6.5,-9.0,2.99988
-6.0,-9.0,2.99988
-5.5,-9.0,2.99988
-5.0,-9.0,2.99988
-4.5,-9.0,2.99988
-4.0,-9.0,2.99988
-3.5,-9.0,2.99988
-3.0,-9.0,2.99988
-2.5,-9.0,2.99988
-2.0,-9.0,2.99988
-1.5,-9.0,2.99988
-1.0,-9.0,2.9999
-0.5,-9.0,2.99996
0.0,-9.0,3.00025
0.5,-9.0,3.00153
1.0,-9.0,3.00729
1.5,-9.0,3.03284
2.0,-9.0,3.14215
2.5,-9.0,3.54715
3.0,-9.0,4.49988
3.5,-9.0,5.4526
4.0,-9.0,5.8576
4.5,-9.0,5.96692
5.0,-9.0,5.99246
5.5,-9.0,5.99822
6.0,-9.0,5.99951
6.5,-9.0,5.99979
7.0,-9.0,5.99986
7.5,-9.0,5.99987
8.0,-9.0,5.99988
8.5,-9.0,5.99988
9.0,-9.0,5.99988
9.5,-9.0,5.99988
10.0,-9.0,5.99988
-10.0,-8.5,2.9998
-9.5,-8.5,2.9998
-9.0,-8.5,2.9998
-8.5,-8.5,2.9998
-8.0,-8.5,2.9998
-7.5,-8.5,2.9998
-7.0,-8.5,2.9998
-6.5,-8.5,2.9998
-6.0,-8.5,2.9998
-5.5,-8.5,2.9998
-5.0,-8.5,2.9998
-4.5,-8.5,2.9998
-4.0,-8.5,2.9998
-3.5,-8.5,2.9998
-3.0,-8.5,2.9998
-2.5,-8.5,2.9998
-2.0,-8.5,2.9998
-1.5,-8.5,2.9998
-1.0,-8.5,2.99983
-0.5,-8.5,2.99993
0.0,-8.5,3.00041
0.5,-8.5,3.00253
1.0,-8.5,3.01201
1.5,-8.5,3.05376
2.0,-8.5,3.22737
2.5,-8.5,3.80662
3.0,-8.5,4.86717
3.5,-8.5,5.64219
4.0,-8.5,5.91186
4.5,-8.5,5.97972
5.0,-8.5,5.99529
5.5,-8.5,5.99879
6.0,-8.5,5.99957
6.5,-8.5,5.99975
7.0,-8.5,5.99979
7.5,-8.5,5.99979
8.0,-8.5,5.9998
8.5,-8.5,5.9998
9.0,-8.5,5.9998
9.5,-8.5,5.9998
10.0,-8.5,5.9998
-10.0,-8.0,2.99966
-9.5,-8.0,2.99966
-9.0,-8.0,2.99966
-8.5,-8.0,2.99966
-8.0,-8.0,2.99966
-7.5,-8.0,2.99966
-7.0,-8.0,2.99966
-6.5,-8.0,2.99966
-6.0,-8.0,2.99966
-5.5,-8.0,2.99966
-5.0,-8.0,2.99966
-4.5,-8.0,2.99966
-4.0,-8.0,2.99966
-3.5,-8.0,2.99966
-3.0,-8.0,2.99966
-2.5,-8.0,2.99967
-2.0,-8.0,2.99967
-1.5,-8.0,2.99968
-1.0,-8.0,2.99971
-0.5,-8.0,2.99989
0.0,-8.0,3.00067
0.5,-8.0,3.00417
1.0,-8.0,3.01974
1.5,-8.0,3.0876
2.0,-8.0,3.35727
2.5,-8.0,4.13229
3.0,-8.0,5.19284
3.5,-8.0,5.77209
4.0,-8.0,5.94571
4.5,-8.0,5.98745
5.0,-8.0,5.99693
5.5,-8.0,5.99905
6.0,-8.0,5.99953
6.5,-8.0,5.99963
7.0,-8.0,5.99966
7.5,-8.0,5.99966
8.0,-8.0,5.99966
8.5,-8.0,5.99966
9.0,-8.0,5.99966
9.5,-8.0,5.99966
10.0,-8.0,5.99966
-10.0,-7.5,2.99945
-9.5,-7.5,2.99945
-9.0,-7.5,2.99945
-8.5,-7.5,2.99945
-8.0,-7.5,2.99945
-7.5,-7.5,2.99945
-7.0,-7.5,2.99945
-6.5,-7.5,2.99945
-6.0,-7.5,2.99945
-5.5,-7.5,2.99945
-5.0,-7.5,2.99945
-4.5,-7.5,2.99945
-4.0,-7.5,2.99945
-3.5,-7.5,2.99945
-3.0,-7.5,2.99945
-2.5,-7.5,2.99945
-2.0,-7.5,2.99945
-1.5,-7.5,2.99947
-1.0,-7.5,2.99953
-0.5,-7.5,2.99982
0.0,-7.5,3.00111
0.5,-7.5,3.00687
1.0,-7.5,3.03241
1.5,-7.5,3.14172
2.0,-7.5,3.54672
2.5,-7.5,4.49945
3.0,-7.5,5.45217
3.5,-7.5,5.85717
4.0,-7.5,5.96649
4.5,-7.5,5.99203
5.0,-7.5,5.99779
5.5,-7.5,5.99908
6.0,-7.5,5.99936
6.5,-7.5,5.99943
7.0,-7.5,5.99944
7.5,-7.5,5.99945
8.0,-7.5,5.99945
8.5,-7.5,5.99945
9.0,-7.5,5.99945
9.5,-7.5,5.99945
10.0,-7.5,5.99945
-10.0,-7.0,2.99909
-9.5,-7.0,2.99909
-9.0,-7.0,2.99909
-8.5,-7.0,2.99909
-8.0,-7.0,2.99909
-7.5,-7.0,2.99909
-7.0,-7.0,2.99909
-6.5,-7.0,2.99909
-6.0,-7.0,2.99909
-5.5,-7.0,2.99909
-5.0,-7.0,2.99909
-4.5,-7.0,2.99909
-4.0,-7.0,2.99909
-3.5,-7.0,2.99909
-3.0,-7.0,2.99909
-2.5,-7.0,2.99909
-2.0,-7.0,2.9991
-1.5,-7.0,2.99912
-1.0,-7.0,2.99923
-0.5,-7.0,2.9997
0.0,-7.0,3.00182
0.5,-7.0,3.0113
1.0,-7.0,3.05305
1.5,-7.0,3.22666
2.0,-7.0,3.80591
2.5,-7.0,4.86647
3.0,-7.0,5.64148
3.5,-7.0,5.91115
4.0,-7.0,5.97901
4.5,-7.0,5.99459
5.0,-7.0,5.99808
5.5,-7.0,5.99886
6.0,-7.0,5.99904
6.5,-7.0,5.99908
7.0,-7.0,5.99909
7.5,-7.0,5.99909
8.0,-7.0,5.99909
8.5,-7.0,5.99909
9.0,-7.0,5.99909
9.5,-7.0,5.99909
10.0,-7.0,5.99909
-10.0,-6.5,2.9985
-9.5,-6.5,2.9985
-9.0,-6.5,2.9985
-8.5,-6.5,2.9985
-8.0,-6.5,2.9985
-7.5,-6.5,2.9985
-7.0,-6.5,2.9985
-6.5,-6.5,2.9985
-6.0,-6.5,2.9985
-5.5,-6.5,2.9985
-5.0,-6.5,2.9985
-4.5,-6.5,2.9985
-4.0,-6.5,2.9985
-3.5,-6.5,2.9985
-3.0,-6.5,2.9985
-2.5,-6.5,2.9985
-2.0,-6.5,2.99851
-1.5,-6.5,2.99855
-1.0,-6.5,2.99872
-0.5,-6.5,2.9995
0.0,-6.5,3.003
0.5,-6.5,3.01858
1.0,-6.5,3.08644
1.5,-6.5,3.35611
2.0,-6.5,4.13112
2.5,-6.5,5.19167
3.0,-6.5,5.77092
3.5,-6.5,5.94454
4.0,-6.5,5.98629
4.5,-6.5,5.99577
5.0,-6.5,5.99789
5.5,-6.5,5.99836
6.0,-6.5,5.99847
6.5,-6.5,5.99849
7.0,-6.5,5.9985
7.5,-6.5,5.9985
8.0,-6.5,5.9985
8.5,-6.5,5.9985
9.0,-6.5,5.9985
9.5,-6.5,5.9985
10.0,-6.5,5.9985
-10.0,-6.0,2.99753
-9.5,-6.0,2.99753
-9.0,-6.0,2.99753
-8.5,-6.0,2.99753
-8.0,-6.0,2.99753
-7.5,-6.0,2.99753
-7.0,-6.0,2.99753
-6.5,-6.0,2.99753
-6.0,-6.0,2.99753
-5.5,-6.0,2.99753
-5.0,-6.0,2.99753
-4.5,-6.0,2.99753
-4.0,-6.0,2.99753
-3.5,-6.0,2.99753
-3.0,-6.0,2.99753
-2.5,-6.0,2.99753
-2.0,-6.0,2.99755
-1.5,-6.0,2.99761
-1.0,-6.0,2.9979
-0.5,-6.0,2.99919
0.0,-6.0,3.00495
0.5,-6.0,3.03049
1.0,-6.0,3.1398
1.5,-6.0,3.5448
2.0,-6.0,4.49753
2.5,-6.0,5.45025
3.0,-6.0,5.85525
3.5,-6.0,5.96457
4.0,-6.0,5.99011
4.5,-6.0,5.99587
5.0,-6.0,5.99716
5.5,-6.0,5.99744
6.0,-6.0,5.99751
6.5,-6.0,5.99752
7.0,-6.0,5.99753
7.5,-6.0,5.99753
8.0,-6.0,5.99753
8.5,-6.0,5.99753
9.0,-6.0,5.99753
9.5,-6.0,5.99753
10.0,-6.0,5.99753
-10.0,-5.5,2.99593
-9.5,-5.5,2.99593
-9.0,-5.5,2.99593
-8.5,-5.5,2.99593
-8.0,-5.5,2.99593
-7.5,-5.5,2.99593
-7.0,-5.5,2.99593
-6.5,-5.5,2.99593
-6.0,-5.5,2.99593
-5.5,-5.5,2.99593
-5.0,-5.5,2.99593
-4.5,-5.5,2.99593
-4.0,-5.5,2.99593
-3.5,-5.5,2.99593
-3.0,-5.5,2.99593
-2.5,-5.5,2.99594
-2.0,-5.5,2.99596
-1.5,-5.5,2.99607
-1.0,-5.5,2.99654
-0.5,-5.5,2.99866
0.0,-5.5,3.00814
0.5,-5.5,3.04989
1.0,-5.5,3.2235
1.5,-5.5,3.80275
2.0,-5.5,4.86331
2.5,-5.5,5.63832
3.0,-5.5,5.90799
3.5,-5.5,5.97585
4.0,-5.5,5.99143
4.5,-5.5,5.99492
5.0,-5.5,5.99571
5.5,-5.5,5.99588
6.0,-5.5,5.99592
6.5,-5.5,5.99593
7.0,-5.5,5.99593
7.5,-5.5,5.99593
8.0,-5.5,5.99593
8.5,-5.5,5.99593
9.0,-5.5,5.99593
9.5,-5.5,5.99593
