iteration,theta0,theta1,gain,bias
0,0.0,0.0,0.0,4.0
1,2.25,0.5137662998803354,0.0,5.37221110900745
2,2.250004409679875,0.2626062575845254,0.0,5.432024230487245
3,2.250011693795815,0.053189741757772,0.0,5.483378824553462
4,2.250022761887461,-0.1784964323302601,0.0,5.540313084944734
5,2.2500403424553395,-0.400825257436193,0.0,5.593651138160694
6,2.250067745405891,-0.6462897976522121,0.0,5.649486508366981
7,2.2501124664880403,-0.8871090509832307,0.0,5.69979122408142
8,2.2501847504582857,-1.0659039032849114,0.0,5.733658524428172
9,2.25028794856586,-1.3006787339217698,0.0,5.773117779732751
10,2.250452593672984,-1.377694055379019,0.0,5.78477327759172
11,2.8079516655373737,-1.3359979777868844,0.0,5.78932757510346
12,2.807957932873627,-1.5148246446049396,0.0,5.816781986945782
13,2.807966891710543,-1.6965974119644118,0.0,5.841500837484118
14,2.807979772467967,-1.8823125627811224,0.0,5.8635563350215945
15,2.8079984365218675,-1.94225411837192,0.0,5.870013168502265
16,2.808019471629003,-2.045599501984349,0.0,5.880417637520029
17,2.808045324578992,-2.2401159663604737,0.0,5.897620908535122
18,2.808083438329556,-2.296544035884524,0.0,5.902059922100025
19,2.808126085638307,-2.3526868362885005,0.0,5.90624168643823
20,2.808173776656134,-2.4085985983820075,0.0,5.910179666671873
21,2.808227080925126,-2.464326809640896,0.0,5.913885759314458
22,2.8082866344159063,-2.619509836542956,0.0,5.923099616366534
23,2.808367761855897,-2.674877553559625,0.0,5.926011942082861
