iteration,theta0,theta1,v_gamma
0,0.0,0.0,3.8634740672710173
1,2.25,0.5137662998803354,5.161259572015218
2,2.250004409679875,0.26260625758452544,5.217778617968686
3,2.250011693795815,0.05318974175777205,5.266304885041924
4,2.2500227618874615,-0.17849643233026016,5.320103392525178
5,2.2500403424553395,-0.40082525743619307,5.370503585419929
6,2.250067745405891,-0.6462897976522121,5.423263268691013
7,2.2501124664880403,-0.8871090509832307,5.470796569639135
8,2.2501847504582857,-1.0659039032849114,5.502797704522187
9,2.2502879485658602,-1.3006787339217698,5.540082101987595
10,2.2504525936729833,-1.377694055379019,5.551095017577349
11,2.8079516655373737,-1.3359979777868844,5.5554071307801065
12,2.807957932873627,-1.5148246446049396,5.581349388767604
13,2.807966891710543,-1.6965974119644118,5.604706639191908
14,2.807979772467967,-1.8823125627811224,5.625547092064361
15,2.8079984365218675,-1.94225411837192,5.631648176919826
16,2.808019471629003,-2.045599501984349,5.641479344136597
17,2.808045324578992,-2.2401159663604737,5.657734488050018
18,2.8080834383295556,-2.2965440358845237,5.661928795933815
19,2.808126085638307,-2.3526868362885005,5.665880006031582
20,2.808173776656134,-2.4085985983820075,5.669600841087995
21,2.8082270809251266,-2.464326809640896,5.673102541567363
22,2.8082866344159063,-2.619509836542956,5.681808057875996
23,2.8083677618558975,-2.674877553559625,5.68455963008025
