iteration,theta0,theta1,gain,bias
0,0.0,0.0,0.0,-4.0
1,0.1385066741993238,-0.4082902572728062,0.0,-3.9426286477522154
2,0.1465483173820294,-0.4234681496496711,0.0,-3.9390834754318798
3,0.1511582902965228,-0.4282840800490023,0.0,-3.93555856284717
4,0.1556986402356159,-0.4328701265801419,0.0,-3.932018539451745
5,0.1602488135167193,-0.4374655661480345,0.0,-3.928463382437105
6,0.1648107601806336,-0.4420761214749269,0.0,-3.924893088931703
7,0.1693846032948774,-0.4467020062127316,0.0,-3.921307655770765
8,0.1739704235366458,-0.4513433031049444,0.0,-3.9177070794625104
9,0.1785683020797298,-0.4560000932023516,0.0,-3.9140913561796418
10,0.1831783216619742,-0.4606724590471874,0.0,-3.910460481751224
11,0.1878005666299619,-0.4653604847742367,0.0,-3.906814451654643
12,0.1924351229589747,-0.4700642561366376,0.0,-3.9031532610075628
13,0.1970820782722705,-0.4747838605288468,0.0,-3.8994769045599598
14,0.2017415218615267,-0.4795193870122718,0.0,-3.895785376686176
15,0.2064135447067375,-0.4842709263384464,0.0,-3.8920786713770243
16,0.2110982394973952,-0.4890385709751944,0.0,-3.888356782231914
17,0.215795700653587,-0.4938224151316656,0.0,-3.8846197024510363
18,0.2205060243480058,-0.4986225547852025,0.0,-3.8808674248275636
19,0.2252293085278766,-0.5034390877070453,0.0,-3.877099941739902
20,0.2299656529380148,-0.5082721134904681,0.0,-3.8733172451439635
21,0.2347151591439441,-0.5131217335781297,0.0,-3.8695193265654764
22,0.2394779305555834,-0.5179880512901315,0.0,-3.8657061770923447
23,0.2442540724517891,-0.5228711718536112,0.0,-3.8618777873670016
24,0.2490436920049706,-0.5277712024315158,0.0,-3.8580341475788247
25,0.2538468983066639,-0.5326882521531606,0.0,-3.8541752474565705
26,0.2586638023935013,-0.5376224321448759,0.0,-3.850301076260838
27,0.2634945172737839,-0.5425738555613275,0.0,-3.846411622776544
28,0.2683391579547081,-0.5475426376176326,0.0,-3.84250687530545
29,0.2731978414701637,-0.5525288956219992,0.0,-3.8385868216586942
30,0.2780706869092236,-0.5575327490092152,0.0,-3.8346514491493515
31,0.28295781544535,-0.5625543193750252,0.0,-3.830700744585013
32,0.2878593503660087,-0.5675937305104515,0.0,-3.826734694260395
33,0.2927754171033848,-0.5726511084380884,0.0,-3.8227532839499556
34,0.297706143265501,-0.5777265814482482,0.0,-3.8187564989005347
35,0.3026516586681668,-0.5828202801362089,0.0,-3.814744323824006
36,0.3076120953676072,-0.5879323374400744,0.0,-3.810716742889958
37,0.3125875876941078,-0.5930628886802087,0.0,-3.806673739718372
38,0.3175782722862049,-0.5982120715988041,0.0,-3.8026152973723213
39,0.3225842881256036,-0.6033800264000929,0.0,-3.798541398350677
40,0.3276057765734053,-0.6085668957928919,0.0,-3.794452024580827
41,0.3326428814066642,-0.6137728250325125,0.0,-3.790347157411408
42,0.3376957488559544,-0.6189979619640351,0.0,-3.7862267776050307
43,0.3427645276443334,-0.6242424570680454,0.0,-3.782090865331024
44,0.3478493690264019,-0.6295064635049076,0.0,-3.7779394001581696
45,0.3529504268290473,-0.634790137162276,0.0,-3.7737723610474596
46,0.358067857492803,-0.6400936367025959,0.0,-3.7695897263448264
47,0.3632018201141823,-0.6454171236116253,0.0,-3.7653914737739047
48,0.3683524764892972,-0.650760762248849,0.0,-3.7611775804287575
49,0.3735199911585402,-0.6561247198990616,0.0,-3.7569480227666254
50,0.3787045314519231,-0.6615091668238676,0.0,-3.752702776600657
51,0.3839062675361126,-0.6669142763161361,0.0,-3.748441817092639
52,0.3891253724623509,-0.6723402247549323,0.0,-3.7441651187457046
53,0.3943620222154633,-0.6777871916614664,0.0,-3.739872655397059
54,0.3996163957644256,-0.6832553597574142,0.0,-3.735564400210656
55,0.4048886751137828,-0.6887449150234262,0.0,-3.7312403256699005
56,0.4101790453567884,-0.6942560467603542,0.0,-3.7269004035702986
57,0.4154876947295816,-0.6997889476510943,0.0,-3.722544605012127
58,0.4208148146667625,-0.705343813824045,0.0,-3.718172900393053
59,0.4261605998585856,-0.7109208449187715,0.0,-3.713785259400754
60,0.4315252483094763,-0.7165202441529143,0.0,-3.70938165100551
61,0.4369089613977884,-0.7221422183900236,0.0,-3.704962043452775
62,0.4423119439378848,-0.7277869782114669,0.0,-3.700526404255707
63,0.4477344042427147,-0.7334547379868768,0.0,-3.696074700187703
