iteration,theta0,theta1,gain,bias
0,0.0,0.0,0.0,-4.0
1,-0.4502155615912644,1.620799649343657,0.0,-5.400498719008283
2,0.977663766120747,-2.662853703218415,0.0,-4.6880395606122
3,-0.6785718661251607,2.4351362705320527,0.0,-6.744096060508624
4,0.4160076829282781,-0.8663933054113131,0.0,-3.8075199351784814
5,0.3632236609255653,-0.3552362323590502,0.0,-3.6956621148775186
6,0.8234925086400858,-1.5848511152371207,0.0,-3.6778368340752845
7,-0.3046896905565274,1.8443210857873704,0.0,-5.858510110084025
8,0.4764467442092034,-0.5160294915263282,0.0,-3.6045915248230775
9,0.4764467442092041,-0.516029491526332,0.0,-3.6045915248230767
