iteration,theta0,theta1,gain,bias
0,0.0,0.0,0.0,-4.0
1,0.2194951416825926,0.1097475708412963,0.0,-3.8675130628998113
2,0.2194951416825905,0.109747570841294,0.0,-3.8675130628998122
3,0.2194951416825905,0.0761828706794982,0.0,-3.8563606438455915
4,0.2774022455388182,0.0383877531493921,0.0,-3.8098579831801063
5,0.3329755470801356,0.0118965237676257,0.0,-3.7687452899696563
6,0.3840705603121206,-0.0115387648151838,0.0,-3.7318903181614553
7,0.5416229806268577,0.0604323359509398,0.0,-3.6969849466022158
8,0.5242867745814698,0.0144758828931154,0.0,-3.6776112980475077
9,0.4692804660649584,-0.0872179391793894,0.0,-3.65825685602477
10,0.4692804660649584,-0.1086638777212548,0.0,-3.6508563727416563
11,0.5791806489742517,-0.0716385547213372,0.0,-3.612223273566877
12,0.6591683981041478,-0.0763175416584349,0.0,-3.579263974931407
13,0.762562671783229,-0.0611552776026272,0.0,-3.5577232610935527
14,0.8513972723865076,-0.0394965142034522,0.0,-3.5546999803266304
15,0.8386708862071734,-0.0907279457908827,0.0,-3.5214648640856545
16,0.7847959241614096,-0.2000933623883012,0.0,-3.4717262340172823
17,0.7678505096189234,-0.2170387769307874,0.0,-3.469236983043895
18,0.8792838048960914,-0.2209018269678659,0.0,-3.4325388073413117
19,0.8856111677673607,-0.2180218072230263,0.0,-3.432514450525199
20,0.8211944167452843,-0.2956282826299578,0.0,-3.4136717962900534
21,0.7695685651668651,-0.3713099721469091,0.0,-3.4071655279520527
22,0.7637283614778606,-0.3807789201782105,0.0,-3.407112411103052
23,0.892630497718796,-0.3270551649661252,0.0,-3.3744167473617486
24,0.8229030240947519,-0.3967826385901692,0.0,-3.3737250542829678
25,0.8357775395853919,-0.4031724892795102,0.0,-3.365772075976103
26,0.9982975542118484,-0.3579998369477789,0.0,-3.328323842387559
27,1.0118774821300736,-0.3670617342636957,0.0,-3.3202348191262168
28,0.9967056324636884,-0.4374562422804306,0.0,-3.29146805051935
29,0.9967056324636884,-0.4689246866475055,0.0,-3.278353233144094
30,0.9967056324636884,-0.5499709084297916,0.0,-3.248837764097549
31,0.949819885108504,-0.6378688222320619,0.0,-3.2467251331188365
32,0.986633041545386,-0.631139802511721,0.0,-3.23007068187499
33,1.1444377389833345,-0.5795231642957004,0.0,-3.1879664914000188
34,1.128110771802289,-0.6250211074951704,0.0,-3.1757461571680814
35,1.1413921248761132,-0.6334306950086502,0.0,-3.1684719125293848
36,1.1478229487528575,-0.6656591441538822,0.0,-3.15531463276287
37,1.1743123512056588,-0.6570955379561334,0.0,-3.1497346404458972
38,1.1862398957129627,-0.6693670762252566,0.0,-3.14173576250253
39,1.1979140632725715,-0.6683564957404229,0.0,-3.138602456872518
40,1.1810358576912887,-0.7038556020362378,0.0,-3.1317688837945687
41,1.169329353777154,-0.7320539374347309,0.0,-3.127220479392278
42,1.151838480379901,-0.7586318757999647,0.0,-3.1266119663430176
43,1.151838480379899,-0.7586318757999678,0.0,-3.1266119663430176
44,1.1308823032588775,-0.8197097311162588,0.0,-3.122061058736547
45,1.1308823032588775,-0.8394048073718964,0.0,-3.118515174552748
46,1.1308823032588773,-0.8394048073718969,0.0,-3.1185151745527477
47,1.1308823032588773,-0.839404807371897,0.0,-3.1185151745527477
48,1.1493477878550082,-0.8301720650738316,0.0,-3.111634789500265
