iteration,theta0,theta1,gain,bias
0,0.0,0.0,0.0,-4.0
1,0.2461532654329772,-0.4649559384321972,0.0,-3.8384309282902906
2,0.4186524134503403,-0.624022496705355,0.0,-3.6907033726225764
3,0.6201966799270213,-0.8230034478433976,0.0,-3.521862217599403
4,0.8582482726545265,-1.059336063523353,0.0,-3.331463496721235
5,1.1515646390780407,-1.350336989954502,0.0,-3.12064089450027
6,1.5324791191315488,-1.726622707838398,0.0,-2.895616335872558
7,2.055377995419385,-2.2430826490085787,0.0,-2.6745626755207583
8,2.797212925234571,-2.992344257111693,0.0,-2.492161353771654
9,3.8182084937205865,-4.115214178750136,0.0,-2.3777379862955836
10,5.162160883060548,-5.900065571830792,0.0,-2.3119984128729603
11,7.325196635441836,-9.20018067197747,0.0,-2.2566360731600343
12,10.69960301038243,-14.290412514320591,0.0,-2.2289965915048207
