iteration,theta0,theta1,gain,bias
0,0.0,0.0,0.0,-4.0
1,0.7499999999999999,-0.0499999999999999,0.0,-3.5679309949484477
2,0.8262980509854436,-0.8121322799833166,0.0,-3.3172111925797743
3,1.7754333905923905,-0.8459269390264605,0.0,-2.9772280079770126
4,1.6318178403546322,-1.339043841977443,0.0,-2.8437088052304276
5,1.6080670676319997,-1.4731878321676213,0.0,-2.8402667136227593
6,2.645290903702744,-1.3316488915342393,0.0,-2.7754309101725925
7,2.640618332999467,-1.450191025709644,0.0,-2.729552325235342
8,2.59830698563006,-1.816496714820817,0.0,-2.621407998296932
9,2.79606421888561,-1.8689042281064048,0.0,-2.60953242115698
10,2.6996533901295936,-2.042583843405066,0.0,-2.573508323465876
11,3.05414133235051,-2.0997674592129925,0.0,-2.563371642346718
12,3.0541413323505524,-2.099767459212994,0.0,-2.563371642346718
13,3.1866250608237467,-2.3962663086491625,0.0,-2.512686941759603
14,3.151189920349067,-2.4407757964996204,0.0,-2.505620908622925
15,3.311834415364584,-2.630506858798161,0.0,-2.4812062345219177
16,3.202746024242239,-2.914119631321546,0.0,-2.453592818862411
17,3.2265079161949446,-3.1536765223603425,0.0,-2.4382235493544924
18,3.205486817199477,-3.197355365168268,0.0,-2.437953600900858
19,3.2054868171992656,-3.1973553651687143,0.0,-2.437953600900858
20,3.485665953146519,-3.1092375083190698,0.0,-2.4328524824907345
21,3.4242872087302567,-3.224063051084939,0.0,-2.4257763059131854
22,3.378249519615317,-3.414054844712969,0.0,-2.418916399761159
23,3.7406505938984473,-3.3222711567829,0.0,-2.416679367419939
24,3.602438453338754,-3.673882503774763,0.0,-2.398764116083839
