theta0,theta1,v_gamma
-10.0,-10.0,-7.9817611178767915
-9.5,-10.0,-7.981761121075163
-9.0,-10.0,-7.981761126344685
-8.5,-10.0,-7.981761135022585
-8.0,-10.0,-7.981761149302648
-7.5,-10.0,-7.9817611727720745
-7.0,-10.0,-7.981761211264348
-6.5,-10.0,-7.981761274177538
-6.0,-10.0,-7.981761376409225
-5.5,-10.0,-7.9817615408979705
-5.0,-10.0,-7.981761801050214
-4.5,-10.0,-7.9817621999484265
-4.0,-10.0,-7.981762776016677
-3.5,-10.0,-7.981763503970644
-3.0,-10.0,-7.981764101188927
-2.5,-10.0,-7.981763446779958
-2.0,-10.0,-7.981757912437972
-1.5,-10.0,-7.981736676922568
-1.0,-10.0,-7.981668745582017
-0.5,-10.0,-7.9814672684735966
0.0,-10.0,-7.980891929039225
0.5,-10.0,-7.979282869577598
1.0,-10.0,-7.974838290881802
1.5,-10.0,-7.962667617130204
2.0,-10.0,-7.929640017749605
2.5,-10.0,-7.841415349693887
3.0,-10.0,-7.614214976115669
3.5,-10.0,-7.078847192594006
4.0,-10.0,-6.042283740529927
4.5,-10.0,-4.628058492982773
5.0,-10.0,-3.4001392111878443
5.5,-10.0,-2.687629742699754
6.0,-10.0,-2.3671719609995203
6.5,-10.0,-2.240694397958022
7.0,-10.0,-2.1950802531477227
7.5,-10.0,-2.1819087607052725
8.0,-10.0,-2.1828715247562918
8.5,-10.0,-2.1917141642313775
9.0,-10.0,-2.206498683920317
9.5,-10.0,-2.2261972251180757
10.0,-10.0,-2.2491113903177773
-10.0,-9.5,-7.981197232427591
-9.5,-9.5,-7.981197237701321
-9.0,-9.5,-7.981197246390112
-8.5,-9.5,-7.981197260698903
-8.0,-9.5,-7.98119728424499
-7.5,-9.5,-7.981197322943268
-7.0,-9.5,-7.981197386412492
-6.5,-9.5,-7.981197490149172
-6.0,-9.5,-7.981197658718222
-5.5,-9.5,-7.98119792994428
-5.0,-9.5,-7.981198358915206
-4.5,-9.5,-7.981199016681712
-4.0,-9.5,-7.981199966635689
-3.5,-9.5,-7.9812011671824985
-3.0,-9.5,-7.9812021525751815
