theta0,theta1,v_gamma
-10.0,-10.0,-8.783724445815219
-9.5,-10.0,-8.783724449769288
-9.0,-10.0,-8.783724456283863
-8.5,-10.0,-8.783724467012123
-8.0,-10.0,-8.783724484666186
-7.5,-10.0,-8.783724513680836
-7.0,-10.0,-8.783724561267821
-6.5,-10.0,-8.783724639045762
-6.0,-10.0,-8.783724765432133
-5.5,-10.0,-8.783724968785283
-5.0,-10.0,-8.783725290404723
-4.5,-10.0,-8.783725783552189
-4.0,-10.0,-8.783726495730374
-3.5,-10.0,-8.78372739568094
-3.0,-10.0,-8.783728134006386
-2.5,-10.0,-8.78372732497758
-2.0,-10.0,-8.783720483015001
-1.5,-10.0,-8.783694230112316
-1.0,-10.0,-8.783610248519203
-0.5,-10.0,-8.783361169111549
0.0,-10.0,-8.78264990476204
0.5,-10.0,-8.780660769455162
1.0,-10.0,-8.77516685125106
1.5,-10.0,-8.760126614665124
2.0,-10.0,-8.71934037031749
2.5,-10.0,-8.61059428945359
3.0,-10.0,-8.331904155461118
3.5,-10.0,-7.682843109413579
4.0,-10.0,-6.455801889908574
4.5,-10.0,-4.84200516917365
5.0,-10.0,-3.4942561557200156
5.5,-10.0,-2.733900610620588
6.0,-10.0,-2.396948790322387
6.5,-10.0,-2.2648053974394045
7.0,-10.0,-2.2172642557816546
7.5,-10.0,-2.2035477756518134
8.0,-10.0,-2.2045502016500444
8.5,-10.0,-2.2137584028084825
9.0,-10.0,-2.229159289026632
9.5,-10.0,-2.2496891078931203
10.0,-10.0,-2.2735847021591957
-10.0,-9.5,-8.783027335016923
-9.5,-9.5,-8.783027341536584
-9.0,-9.5,-8.78302735227812
-8.5,-9.5,-8.783027369967396
-8.0,-9.5,-8.783027399076307
-7.5,-9.5,-8.783027446917137
-7.0,-9.5,-8.783027525381122
-6.5,-9.5,-8.78302765362584
-6.0,-9.5,-8.783027862019729
-5.5,-9.5,-8.783028197323592
-5.0,-9.5,-8.783028727639927
-4.5,-9.5,-8.78302954080536
-4.0,-9.5,-8.783030715188296
-3.5,-9.5,-8.783032199367284
-3.0,-9.5,-8.783033417561485
-2.5,-9.5,-8.783032085791458
-2.0,-9.5,-8.783020810417476
-1.5,-9.5,-8.782977539820733
-1.0,-9.5,-8.782839113421128
-0.5,-9.5,-8.78242856048957
0.0,-9.5,-8.78125629450492
0.5,-9.5,-8.777978773557644
1.0,-9.5,-8.768933063974162
1.5,-9.5,-8.744219484203562
2.0,-9.5,-8.677567470364046
2.5,-9.5,-8.502428808577331
3.0,-9.5,-8.069963312063194
3.5,-9.5,-7.1456294478466065
4.0,-9.5,-5.660298096215694
4.5,-9.5,-4.099737461227306
5.0,-9.5,-3.046050753634037
5.5,-9.5,-2.529245092374553
6.0,-9.5,-2.316289416120286
6.5,-9.5,-2.236653772889487
7.0,-9.5,-2.2107715572654834
7.5,-9.5,-2.2072385646016865
8.0,-9.5,-2.2147651795239924
8.5,-9.5,-2.2295443595087665
9.0,-9.5,-2.2498461944637382
9.5,-9.5,-2.2736606017337566
10.0,-9.5,-2.2981326974674916
-10.0,-9.0,-8.781878324813448
-9.5,-9.0,-8.781878335563906
-9.0,-9.0,-8.781878353275966
-8.5,-9.0,-8.781878382444383
-8.0,-9.0,-8.781878430443028
-7.5,-9.0,-8.781878509329465
-7.0,-9.0,-8.781878638711799
-6.5,-9.0,-8.781878850180323
-6.0,-9.0,-8.781879193812664
-5.5,-9.0,-8.781879746719989
-5.0,-9.0,-8.781880621214652
-4.5,-9.0,-8.781881962176811
-4.0,-9.0,-8.78188389894926
-3.5,-9.0,-8.781886347064239
-3.0,-9.0,-8.78188835797573
-2.5,-9.0,-8.781886167944622
-2.0,-9.0,-8.7818675918938
-1.5,-9.0,-8.781796286394085
-1.0,-9.0,-8.781568157219336
-0.5,-9.0,-8.780891567594104
0.0,-9.0,-8.77895994326832
0.5,-9.0,-8.773561678231223
1.0,-9.0,-8.758680976199944
1.5,-9.0,-8.71816075210885
2.0,-9.0,-8.609852619713815
2.5,-9.0,-8.331846991730652
3.0,-9.0,-7.683701155837165
3.5,-9.0,-6.457482484757921
4.0,-9.0,-4.843958842291462
4.5,-9.0,-3.496125983287922
5.0,-9.0,-2.7358644001976455
5.5,-9.0,-2.399435802442978
6.0,-9.0,-2.2683759849205494
6.5,-9.0,-2.2226474384363613
7.0,-9.0,-2.21166614864338
7.5,-9.0,-2.216424380669745
8.0,-9.0,-2.2301791253334695
8.5,-9.0,-2.2501051672499126
9.0,-9.0,-2.2737857342730656
9.5,-9.0,-2.298214233000996
10.0,-9.0,-2.3203964709148646
-10.0,-8.5,-8.779984827013912
-9.5,-8.5,-8.779984844742113
-9.0,-8.5,-8.779984873950472
-8.5,-8.5,-8.779984922051181
-8.0,-8.5,-8.779985001204311
-7.5,-8.5,-8.779985131293879
-7.0,-8.5,-8.77998534465569
-6.5,-8.5,-8.779985693386369
-6.0,-8.5,-8.779986260073082
-5.5,-8.5,-8.77998717189318
-5.0,-8.5,-8.779988614100727
-4.5,-8.5,-8.779990825731192
-4.0,-8.5,-8.779994020401839
-3.5,-8.5,-8.779998059695963
-3.0,-8.5,-8.780001381779268
-2.5,-8.5,-8.779997786473187
-2.0,-8.5,-8.779967197492438
-1.5,-8.5,-8.779849731440118
-1.0,-8.5,-8.779473874500159
-0.5,-8.5,-8.7783591753813
0.0,-8.5,-8.775177494038282
0.5,-8.5,-8.766292052994384
1.0,-8.5,-8.74184762243191
1.5,-8.5,-8.675647145672393
2.0,-8.5,-8.501249662867114
2.5,-8.5,-8.069903542804886
3.0,-8.5,-7.146906666119092
3.5,-8.5,-5.66249885681684
4.0,-8.5,-4.102103291856306
4.5,-8.5,-3.048413356850424
