iteration,theta0,theta1,gain_plus_bias
0,0.0,0.0,-4.0
1,0.7999992370605467,0.0,-3.591840864664334
2,0.9693111246187089,-0.7300667977949225,-3.220195685104815
3,1.5410824902525424,-0.8682426940131549,-2.987453922808863
4,1.6930378324308069,-1.2618222190949602,-2.8404591010028426
5,1.925306850300526,-1.473944826265817,-2.7502178914031585
6,2.099471626185634,-1.6694476246479266,-2.6866904726358998
7,2.24836032265598,-1.8371058191617389,-2.639668135217608
8,2.377298801362032,-1.9844020030158342,-2.6035559597845017
9,2.4906803711298466,-2.115855968364144,-2.5749806167737397
10,2.5916661135269514,-2.234657317707371,-2.5518078761663014
11,2.6825744665729,-2.3431431618408443,-2.532629691260962
12,2.765148179000245,-2.443071955052569,-2.5164831369663414
13,2.8407271321245213,-2.5357966963957868,-2.5026890819207823
14,2.9103617432316367,-2.6223787360597837,-2.4907556897500194
15,2.974889802541405,-2.7036648011926236,-2.4803184791443718
16,3.0349895991037616,-2.7803404832635326,-2.4711018724509457
17,3.091217565586233,-2.852968200657467,-2.4628938035671677
18,3.1440355098552097,-2.922014766222816,-2.455528510007433
19,3.193830693895103,-2.9878716318995004,-2.4488746117505764
20,3.2409308747982353,-3.050870140278559,-2.442826673825329
21,3.2856157544949682,-3.1112931169164373,-2.437299128436978
22,3.328125813104167,-3.1693838149600606,-2.4322218230300683
23,3.3686691762129124,-3.225352886731995,-2.427536712216873
24,3.407427175354764,-3.279383946945305,-2.423195356016488
25,3.444558581249534,-3.331637935529713,-2.419157022918372
26,3.4802031584149526,-3.3822566780580727,-2.4153872172986315
27,3.514484518370014,-3.4313657695615705,-2.4118565326992076
28,3.547512458991086,-3.479076936933896,-2.408539748534567
29,3.5793848970782034,-3.525489988677642,-2.405415112133367
30,3.61018947608882,-3.5706944352552945,-2.402463763312977
31,3.6400049123865155,-3.6147708444044624,-2.399669269599813
32,3.668902129409091,-3.6577919816117292,-2.397017248094097
33,3.696945218610834,-3.699823775219819,-2.394495055738737
34,3.7241922579780358,-3.740926137455701,-2.3920915340050612
35,3.7506960127122517,-3.7811536663604937,-2.3897967971788256
