iteration,theta0,theta1,gain
0,0.0,0.0,0.0
1,0.6712520428908988,0.0,0.0
2,0.9058568196491805,-0.5416795833062071,0.0
3,1.3284533649864834,-0.7704432650634025,0.0
4,1.5476541651409779,-1.0854203543526375,0.0
5,1.7708004295620592,-1.3079389897533549,0.0
6,1.9502979738806063,-1.504633532921481,0.0
7,2.103918858051034,-1.674885069528669,0.0
8,2.2373282532799994,-1.8248453511937521,0.0
9,2.354824308811186,-1.9587579575938232,0.0
10,2.459546714648475,-2.079734548843747,0.0
11,2.5538312951374547,-2.190103816156101,0.0
12,2.639452230052286,-2.291641843167716,0.0
13,2.7177835323942516,-2.3857277735273774,0.0
14,2.789908135011931,-2.473450382345616,0.0
15,2.856693031672028,-2.5556822087961755,0.0
16,2.9188420911513,-2.6331320264721287,0.0
17,2.976933904923341,-2.7063826321365054,0.0
18,3.0314494046220886,-2.7759185184835076,0.0
19,3.0827923533967745,-2.842146458981127,0.0
20,3.1313047843010753,-2.9054110449186696,0.0
21,3.1772787958885904,-2.966006571483674,0.0
22,3.2209656810450578,-3.024186244476506,0.0
23,3.262583075710921,-3.080169393821903,0.0
24,3.302320617973149,-3.1341471854606433,0.0
25,3.3403444728726046,-3.186287188597449,0.0
26,3.3768009837821475,-3.2367370608385064,0.0
27,3.4118196442038893,-3.2856275465986906,0.0
28,3.4455155356894775,-3.333074935804177,0.0
29,3.4779913425683118,-3.379183094682916,0.0
30,3.509339028402817,-3.4240451544751878,0.0
31,3.539641239927715,-3.4677449245671355,0.0
32,3.568972489835007,-3.510358082015549,0.0
33,3.597400158849735,-3.5519531784011185,0.0
34,3.6249853491892035,-3.5925924965018514,0.0
35,3.6517836150542924,-3.632332782758974,0.0
36,3.6778455907906746,-3.6712258764357446,0.0
37,3.7032175334322344,-3.70931925239485,0.0
38,3.7279417932422483,-3.746656491283291,0.0
39,3.7520572234086034,-3.7832776884219457,0.0
40,3.7755995380840037,-3.8192198107052775,0.0
41,3.7986016263821947,-3.8545170092151233,0.0
42,3.8210938286638316,-3.889200893957495,0.0
43,3.843104180407364,-3.92330077607851,0.0
