iteration,theta0,theta1,v_gamma
0,0.0,0.0,-3.7417319801016213
1,0.6712520428908988,0.0,-3.419954589643886
2,0.9058568196491805,-0.5416795833062071,-3.1360797738820496
3,1.3284533649864834,-0.7704432650634025,-2.939159539183106
4,1.5476541651409779,-1.0854203543526375,-2.806375899187412
5,1.7708004295620592,-1.3079389897533549,-2.7149357621557257
6,1.9502979738806063,-1.504633532921481,-2.6490384910828766
7,2.103918858051034,-1.674885069528669,-2.599790760354274
8,2.2373282532799994,-1.8248453511937521,-2.5618072614421945
9,2.354824308811186,-1.9587579575938232,-2.5317114818719317
10,2.459546714648475,-2.079734548843747,-2.5073152032458763
11,2.5538312951374547,-2.190103816156101,-2.4871525734966053
12,2.639452230052286,-2.291641843167716,-2.470211196008251
13,2.7177835323942516,-2.3857277735273774,-2.4557724653953206
14,2.789908135011931,-2.473450382345616,-2.4433137895773767
15,2.856693031672028,-2.5556822087961755,-2.4324468809601845
16,2.9188420911513,-2.6331320264721287,-2.422877703040073
17,2.976933904923341,-2.7063826321365054,-2.414379796617533
18,3.0314494046220886,-2.7759185184835076,-2.406776096959921
19,3.0827923533967745,-2.842146458981127,-2.399926274187068
20,3.1313047843010753,-2.9054110449186696,-2.3937177485916385
21,3.1772787958885904,-2.966006571483674,-2.388059202170086
22,3.2209656810450578,-3.024186244476506,-2.3828758180368257
23,3.262583075710921,-3.080169393821903,-2.3781057367303644
24,3.302320617973149,-3.1341471854606433,-2.373697383220976
25,3.3403444728726046,-3.186287188597449,-2.3696074260501585
26,3.3768009837821475,-3.2367370608385064,-2.3657992015928726
27,3.4118196442038893,-3.2856275465986906,-2.3622414848192244
28,3.4455155356894775,-3.333074935804177,-2.3589075211592405
29,3.4779913425683118,-3.379183094682916,-2.3557742572226616
30,3.509339028402817,-3.4240451544751878,-2.3528217244697163
31,3.539641239927715,-3.4677449245671355,-2.3500325416137424
32,3.568972489835007,-3.510358082015549,-2.3473915099882348
33,3.597400158849735,-3.5519531784011185,-2.344885282291141
