theta0,theta1,v_gamma
-10.0,-10.0,62.57216621793321
-9.5,-10.0,62.57216613890389
-9.0,-10.0,62.5721660086066
-8.5,-10.0,62.572165793782794
-8.0,-10.0,62.57216543959822
-7.5,-10.0,62.57216485564657
-7.0,-10.0,62.57216389287308
-6.5,-10.0,62.57216230552816
-6.0,-10.0,62.57215968843884
-5.5,-10.0,62.572155373589
-5.0,-10.0,62.57214825960633
-4.5,-10.0,62.57213653063716
-4.0,-10.0,62.572117192851024
-3.5,-10.0,62.57208531027237
-3.0,-10.0,62.572032744897164
-2.5,-10.0,62.57194607954477
-2.0,-10.0,62.57180319334959
-1.5,-10.0,62.57156761605578
-1.0,-10.0,62.57117922078219
-0.5,-10.0,62.57053888160111
0.0,-10.0,62.56948318526372
0.5,-10.0,62.56774275718467
1.0,-10.0,62.56487360506056
1.5,-10.0,62.56014406613468
2.0,-10.0,62.552348801774635
2.5,-10.0,62.539503176908426
3.0,-10.0,62.51834222576904
3.5,-10.0,62.48350229983455
4.0,-10.0,62.42619266662709
4.5,-10.0,62.33206137695965
5.0,-10.0,62.177826327402485
5.5,-10.0,61.92611597687421
6.0,-10.0,61.51798691138156
6.5,-10.0,60.863157400199675
7.0,-10.0,59.830023778678196
7.5,-10.0,58.242505137150246
8.0,-10.0,55.89943571693027
8.5,-10.0,52.639043951288976
9.0,-10.0,48.45540734650171
9.5,-10.0,43.61181914818021
10.0,-10.0,38.629124179069144
-10.0,-9.5,62.572107242184885
-9.5,-9.5,62.57210711188667
-9.0,-9.5,62.57210689706139
-8.5,-9.5,62.57210654287436
-8.0,-9.5,62.57210595891864
-7.5,-9.5,62.57210499613844
-7.0,-9.5,62.572103408782496
-6.5,-9.5,62.57210079167498
-6.0,-9.5,62.57209647679513
-5.5,-9.5,62.572089362762995
-5.0,-9.5,62.57207763371228
-4.5,-9.5,62.57205829579168
-4.0,-9.5,62.57202641299132
-3.5,-9.5,62.571973847250604
-3.0,-9.5,62.57188718129559
-2.5,-9.5,62.57174429410685
-2.0,-9.5,62.57150871517496
-1.5,-9.5,62.57112031720067
-1.0,-9.5,62.57047997356701
-0.5,-9.5,62.569424269888856
0.0,-9.5,62.56768382970777
0.5,-9.5,62.56481465763308
1.0,-9.5,62.56008508582045
1.5,-9.5,62.55228976725619
2.0,-9.5,62.5394440530682
2.5,-9.5,62.5182829547866
3.0,-9.5,62.48344278659342
3.5,-9.5,62.426132754884634
4.0,-9.5,62.332000810677286
4.5,-9.5,62.17776468864997
5.0,-9.5,61.926052587859125
5.5,-9.5,61.517920684449706
6.0,-9.5,60.86308661992472
6.5,-9.5,59.82994581453057
7.0,-9.5,58.242416134225486
7.5,-9.5,55.899330421522095
8.0,-9.5,52.63891598481596
8.5,-9.5,48.455250289200485
9.0,-9.5,43.61162841109139
9.5,-9.5,38.62889879491675
10.0,-9.5,34.08885112658916
-10.0,-9.0,62.572010015185924
-9.5,-9.0,62.57200980035817
-9.0,-9.0,62.57200944616707
-8.5,-9.0,62.572008862204676
-8.0,-9.0,62.57200789941344
-7.5,-9.0,62.57200631203929
-7.0,-9.0,62.57200369490178
-6.5,-9.0,62.57199937997246
-6.0,-9.0,62.57199226585879
-5.5,-9.0,62.57198053667361
-5.0,-9.0,62.571961198531326
-4.5,-9.0,62.57192931536549
-4.0,-9.0,62.57187674902218
-3.5,-9.0,62.57179008207369
-3.0,-9.0,62.57164719324698
-2.5,-9.0,62.57141161161456
-2.0,-9.0,62.57102320918793
-1.5,-9.0,62.57038285821376
-1.0,-9.0,62.56932714243368
-0.5,-9.0,62.567586682301275
0.0,-9.0,62.564717477336195
0.5,-9.0,62.559987851306715
1.0,-9.0,62.5521924433818
1.5,-9.0,62.53934658193858
2.0,-9.0,62.51818524107939
2.5,-9.0,62.48334467350032
3.0,-9.0,62.42603398482519
3.5,-9.0,62.331900961548115
4.0,-9.0,62.17766307145438
4.5,-9.0,61.9259480851935
5.0,-9.0,61.51781150321526
5.5,-9.0,60.86296993208225
6.0,-9.0,59.82981728340825
6.5,-9.0,58.242269404656106
7.0,-9.0,55.89915683228398
7.5,-9.0,52.63870502022652
8.0,-9.0,48.45499136568489
8.5,-9.0,43.61131396332484
9.0,-9.0,38.62852722825517
9.5,-9.0,34.08842751566146
10.0,-9.0,30.38685336750636
-10.0,-8.5,62.57184973554372
-9.5,-8.5,62.571849381345935
-9.0,-8.5,62.57184879737249
-8.5,-8.5,62.57184783456306
-8.0,-8.5,62.57184624715893
-7.5,-8.5,62.57184362997195
-7.0,-8.5,62.571839314961096
-6.5,-8.5,62.57183220071298
-6.0,-8.5,62.57182047130615
-5.5,-8.5,62.571801132798434
-5.0,-8.5,62.5717692490301
-4.5,-8.5,62.57171668169343
-4.0,-8.5,62.57163001310716
-3.5,-8.5,62.57148712158024
-3.0,-8.5,62.57125153549598
-2.5,-8.5,62.57086312572961
-2.0,-8.5,62.57022276265456
-1.5,-8.5,62.56916702692433
-1.0,-8.5,62.567426533902
-0.5,-8.5,62.564557274716805
0.0,-8.5,62.559827559310335
0.5,-8.5,62.55203200407355
1.0,-8.5,62.539185899878724
1.5,-8.5,62.51802415912812
2.0,-8.5,62.48318293315771
2.5,-8.5,62.42587116146747
3.0,-8.5,62.33173635933397
3.5,-8.5,62.1774955545664
4.0,-8.5,61.92577581158141
4.5,-8.5,61.517631516939176
5.0,-8.5,60.86277757109329
5.5,-8.5,59.82960539866279
6.0,-8.5,58.242027519602125
