method_name,samples_to_converge
discounting_free_vanilla_sampling,1520
discounting_free_vanilla_sampling,1552
discounting_free_vanilla_sampling,2672
discounting_free_vanilla_sampling,2896
discounting_free_vanilla_sampling,1328
discounting_free_vanilla_sampling,2224
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,2224
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1552
discounting_free_vanilla_sampling,2448
discounting_free_vanilla_sampling,1552
discounting_free_vanilla_sampling,1552
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,2224
discounting_free_vanilla_sampling,2448
discounting_free_vanilla_sampling,1328
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1552
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1328
discounting_free_vanilla_sampling,1104
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1552
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1312
discounting_free_vanilla_sampling,1552
discounting_free_vanilla_sampling,2224
discounting_free_vanilla_sampling,3120
discounting_free_vanilla_sampling,1328
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,1344
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,4016
discounting_free_vanilla_sampling,1328
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,2672
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1328
discounting_free_vanilla_sampling,2448
discounting_free_vanilla_sampling,3136
discounting_free_vanilla_sampling,2448
discounting_free_vanilla_sampling,2672
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,1520
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1328
discounting_free_vanilla_sampling,1552
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,3120
discounting_free_vanilla_sampling,2448
discounting_free_vanilla_sampling,2896
discounting_free_vanilla_sampling,1552
discounting_free_vanilla_sampling,3120
discounting_free_vanilla_sampling,1552
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,2448
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,3568
discounting_free_vanilla_sampling,2224
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,3344
discounting_free_vanilla_sampling,2224
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,2000
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,1328
discounting_free_vanilla_sampling,1328
discounting_free_vanilla_sampling,2224
discounting_free_vanilla_sampling,1328
discounting_free_vanilla_sampling,2224
discounting_free_vanilla_sampling,1776
discounting_free_vanilla_sampling,2224
discounting_free_vanilla_sampling,1776
