iteration,theta0,theta1,gain,bias
0,0.0,0.0,10.17393509127789,20.21307997564277
1,-2.315687668279566,3.7196983246203854,12.97297897436392,17.28595325883809
2,-5.275485779285157,9.129509902982187,13.310510597675384,16.25747825213923
3,-7.91559877567369,13.39092879382416,13.335350142143994,16.304916021548237
4,-8.788782503617176,14.161577433913406,13.34103914745378,16.34191546845493
5,-9.636853701442258,14.90131218538058,13.343188594344614,16.356586781964033
6,-10.495299027535744,15.669336939409517,13.344014870387577,16.362333332030197
7,-11.36389247427138,16.46059527856483,13.344334686948272,16.3645753348708
8,-12.241123219202011,17.270282093129047,13.344458840224624,16.365448665949387
9,-13.125511900872477,18.094743269033607,13.344507097902838,16.365788635394104
