iteration,theta0,theta1,v_gamma
0,0.0,0.0,181.0586843894263
1,-36.07673663160345,-6.908657871191604,212.65345176532222
2,-36.07673663160345,-6.893653778770582,212.6536785820493
3,-36.07673663160345,-6.878423325813134,212.65391232059346
4,-36.07673663160345,-6.862959611577833,212.65415330164697
5,-36.07673663160345,-6.847255415946012,212.6544018659723
6,-36.07673663160345,-6.831303179455775,212.65465837599353
7,-36.07673663160345,-6.815094981754302,212.65492321754175
8,-36.07673663160345,-6.798622518315996,212.65519680177167
9,-36.07673663160345,-6.781877075256518,212.65547956726908
10,-36.07673663160345,-6.764849502053105,212.65577198237227
11,-36.07673663160345,-6.74753018195917,212.65607454773257
12,-36.07673663160345,-6.729908999875767,212.65638779914372
13,-36.07673663160345,-6.711975307413521,212.65671231067256
14,-36.07673663160345,-6.693717884845549,212.65704869813067
15,-36.07673663160345,-6.67512489961406,212.65739762292944
16,-36.07673663160345,-6.6561838610099,212.65775979636985
17,-36.07673663160345,-6.636881570594424,212.6581359844244
18,-36.07673663160345,-6.617204067875552,212.65852701307904
19,-36.07673663160345,-6.597136570683466,212.658933774312
20,-36.07673663160345,-6.576663409614398,212.65935723280066
21,-36.07673663160345,-6.555767955821643,212.65979843346128
22,-36.07673663160345,-6.5344325413287345,212.66025850994467
23,-36.07673663160345,-6.512638370918177,212.6607386942318
24,-36.07673663160345,-6.49036542450652,212.66124032749946
25,-36.07673663160345,-6.467592348749094,212.66176487245474
26,-36.07673663160345,-6.444296336420077,212.66231392737652
27,-36.07673663160345,-6.420452991879756,212.66288924214385
28,-36.07673663160345,-6.396036180663088,212.66349273658736
29,-36.07673663160345,-6.371017860892581,212.66412652156484
30,-36.07673663160345,-6.345367893822259,212.66479292324334
31,-36.07673663160345,-6.319053830343275,212.66549451117103
32,-36.07673663160345,-6.292040669707114,212.66623413084477
33,-36.07673663160345,-6.264290586025673,212.6670149416336
34,-36.07673663160345,-6.235762617259116,212.66784046111343
35,-36.07673663160345,-6.206412310363995,212.66871461710855
36,-36.07673663160345,-6.1761913149966805,212.66964180904574
37,-36.07673663160345,-6.145046916586948,212.67062698061858
38,-36.07673663160345,-6.112921497630801,212.67167570626353
39,-36.07673663160345,-6.079751913591187,212.67279429460027
40,-36.07673663160345,-6.045468766696249,212.67398991283673
41,-36.07673663160345,-6.009995556994674,212.6752707372507
42,-36.07673663160345,-5.9732476850081575,212.67664613633164
43,-36.07673663160345,-5.935131273860942,212.67812689513013
44,-36.07673663160345,-5.895541770384958,212.6797254920091
45,-36.07673663160345,-5.854362273730832,212.6814564425915
46,-36.07673663160345,-5.811461525528874,212.68333673065715
47,-36.07673663160345,-5.766691476322498,212.68538635263715
48,-36.07673663160345,-5.719884316951612,212.687629012075
49,-36.07673663160345,-5.670848828054828,212.69009301430654
50,-36.07673663160345,-5.619365851851023,212.69281243172384
51,-36.07673663160345,-5.565182621818287,212.6958286395972
52,-36.07673663160345,-5.5080055886362445,212.69919236675312
53,-36.07673663160345,-5.447491240592738,212.7029664730187
54,-36.07673663160345,-5.383234211153369,212.7072297705983
55,-36.07673663160345,-5.314751659379991,212.71208237413524
56,-36.07673663160345,-5.241462440617384,212.7176533377639
57,-36.07673663160345,-5.162658854062377,212.72411179652437
58,-36.07673663160345,-5.077467583741708,212.73168362417647
59,-36.07673663160345,-4.984794521506011,212.74067704402012
60,-36.07673663160345,-4.883244879576008,212.75152328669145
61,-36.07673663160345,-4.77100420679043,212.76484357713468
62,-36.07673663160345,-4.645655251848685,212.78156441195375
63,-36.07673663160345,-4.503884975528219,212.80312647422645
64,-36.07673663160345,-4.340993725527753,212.83188766418735
65,-36.07673663160345,-4.150025829341323,212.87196283075903
66,-36.07673663160345,-3.9201199198245686,212.93115184163506
67,-36.07673663160345,-3.6330949669299395,213.02596226832662
68,-36.07673663160345,-3.2555456129066327,213.19712422874974
69,-36.07673663160345,-2.7175972355463367,213.57052916487135
70,-36.07673663160345,-1.843237544337009,214.6949795601284
71,-36.07673663160345,-0.0677565502605757,219.90746784296724
72,-36.07673663160345,3.6898451307910003,227.31942638298412
73,-36.07673663160345,4.0475809537388505,227.42780689057722
74,-36.07673663160345,4.301437536054359,227.48494062750603
75,-36.07673663160345,4.499904830972624,227.52075358305828
76,-36.07673663160345,4.663431427867499,227.54546352468242
77,-36.07673663160345,4.802750531191434,227.56360396948665
78,-36.07673663160345,4.924246397129443,227.57751669560503
