theta0,theta1,gain
-10.0,-10.0,13.34454
-9.5,-10.0,13.34454
-9.0,-10.0,13.34454
-8.5,-10.0,13.34454
-8.0,-10.0,13.34454
-7.5,-10.0,13.34454
-7.0,-10.0,13.34454
-6.5,-10.0,13.34454
-6.0,-10.0,13.34454
-5.5,-10.0,13.34454
-5.0,-10.0,13.34454
-4.5,-10.0,13.34454
-4.0,-10.0,13.34454
-3.5,-10.0,13.34454
-3.0,-10.0,13.34454
-2.5,-10.0,13.34454
-2.0,-10.0,13.34454
-1.5,-10.0,13.34453
-1.0,-10.0,13.34452
-0.5,-10.0,13.34444
0.0,-10.0,13.34411
0.5,-10.0,13.34259
1.0,-10.0,13.33559
1.5,-10.0,13.30281
2.0,-10.0,13.14857
2.5,-10.0,12.49877
3.0,-10.0,10.93615
3.5,-10.0,9.46753
4.0,-10.0,8.88048
4.5,-10.0,8.78406
5.0,-10.0,8.86652
5.5,-10.0,9.00032
6.0,-10.0,9.10534
6.5,-10.0,9.16107
7.0,-10.0,9.18503
7.5,-10.0,9.1944
8.0,-10.0,9.19793
8.5,-10.0,9.19924
9.0,-10.0,9.19972
9.5,-10.0,9.1999
10.0,-10.0,9.19996
-10.0,-9.5,13.34454
-9.5,-9.5,13.34454
-9.0,-9.5,13.34454
-8.5,-9.5,13.34454
-8.0,-9.5,13.34454
-7.5,-9.5,13.34454
-7.0,-9.5,13.34454
-6.5,-9.5,13.34454
-6.0,-9.5,13.34454
-5.5,-9.5,13.34454
-5.0,-9.5,13.34454
-4.5,-9.5,13.34454
-4.0,-9.5,13.34454
-3.5,-9.5,13.34454
-3.0,-9.5,13.34454
-2.5,-9.5,13.34454
-2.0,-9.5,13.34454
-1.5,-9.5,13.34453
-1.0,-9.5,13.3445
-0.5,-9.5,13.34438
0.0,-9.5,13.34383
0.5,-9.5,13.34133
1.0,-9.5,13.3298
1.5,-9.5,13.27602
2.0,-9.5,13.02791
2.5,-9.5,12.08842
3.0,-9.5,10.36919
3.5,-9.5,9.18865
4.0,-9.5,8.8252
4.5,-9.5,8.81842
5.0,-9.5,8.93425
5.5,-9.5,9.05944
6.0,-9.5,9.1386
6.5,-9.5,9.17574
7.0,-9.5,9.19083
7.5,-9.5,9.19659
8.0,-9.5,9.19874
8.5,-9.5,9.19954
9.0,-9.5,9.19983
9.5,-9.5,9.19994
10.0,-9.5,9.19998
-10.0,-9.0,13.34454
-9.5,-9.0,13.34454
-9.0,-9.0,13.34454
-8.5,-9.0,13.34454
-8.0,-9.0,13.34454
-7.5,-9.0,13.34454
-7.0,-9.0,13.34454
-6.5,-9.0,13.34454
-6.0,-9.0,13.34454
-5.5,-9.0,13.34454
-5.0,-9.0,13.34454
-4.5,-9.0,13.34454
-4.0,-9.0,13.34454
-3.5,-9.0,13.34454
-3.0,-9.0,13.34454
-2.5,-9.0,13.34454
-2.0,-9.0,13.34453
-1.5,-9.0,13.34452
-1.0,-9.0,13.34448
-0.5,-9.0,13.34428
0.0,-9.0,13.34337
0.5,-9.0,13.33925
1.0,-9.0,13.32027
1.5,-9.0,13.23234
2.0,-9.0,12.8398
2.5,-9.0,11.56986
3.0,-9.0,9.87044
3.5,-9.0,9.00739
4.0,-9.0,8.81355
4.5,-9.0,8.87259
5.0,-9.0,9.00151
5.5,-9.0,9.10557
6.0,-9.0,9.16112
6.5,-9.0,9.18504
7.0,-9.0,9.1944
7.5,-9.0,9.19793
8.0,-9.0,9.19924
8.5,-9.0,9.19972
