iteration,theta0,theta1,gain
0,0.0,0.0,10.17393509127789
1,-2.315687668279566,3.7196983246203863,12.972978974363919
2,-5.275485779285157,9.129509902982187,13.310510597675384
3,-7.91559877567369,13.390928793824159,13.335350142143994
4,-8.788782503617176,14.161577433913406,13.341039147453781
5,-9.636853701442258,14.901312185380581,13.343188594344614
6,-10.495299027535745,15.669336939409515,13.344014870387577
7,-11.36389247427138,16.46059527856483,13.344334686948272
8,-12.241123219202013,17.270282093129047,13.344458840224625
9,-13.125511900872475,18.094743269033607,13.344507097902838
