iteration,theta0,theta1,v_gamma
0,0.0,0.0,139.39262483959607
1,-2.315687668279566,3.7196983246203863,169.69722693492344
2,-5.275485779285157,9.129509902982187,172.75303430123665
3,-7.91559877567369,13.390928793824159,173.01655184501317
4,-8.788782503617176,14.161577433913406,173.08780603372196
5,-9.636853701442258,14.901312185380581,173.11506036268182
6,-10.495299027535745,15.669336939409515,173.12558870665984
7,-11.36389247427138,16.46059527856483,173.12967230684652
8,-12.241123219202013,17.270282093129047,173.13125900780562
9,-13.125511900872475,18.094743269033607,173.13187600351807
