iteration,theta0,theta1,gain,bias
0,0.0,0.0,1.3125,8.125
1,2.0801816854354667,-5.3960738856187085,3.0259872493425912,-5.154322590168089
2,6.084712060109732,-11.659935810049134,3.5540098326149265,-8.686436240724824
3,8.283820117745869,-14.507132627418844,3.646290201710656,-9.267315151964944
4,5.252589807075104,-7.15480065089681,3.667972701831724,-8.504470329682944
5,0.1526954652489243,4.351932255734775,3.6143322874491006,-7.087185339559859
6,4.404674955084508,-3.299116931797956,3.675749315788888,-4.373677199215788
7,4.157564963824791,0.6364344857819604,3.676765983398311,-5.787819809872342
8,9.91103927880781,-4.252746932757175,3.6767999564531215,-2.555262085862438
9,21.8376420732162,-9.243915015650984,3.6767999999999983,-2.461307197175053
