iteration,theta0,theta1,gain,bias
0,0.0,0.0,1.3125,8.125
1,44.95518761378031,0.6674490202802581,3.6768,-5.765458585238088
2,44.95518761378031,-0.8126283906339713,3.6768,-3.99745342289566
3,44.95518761378031,-2.12781739401966,3.6768,-2.9929118598328657
4,44.95518761378031,-2.184446000294617,3.6768,-2.9665798241904895
5,44.95518761378031,-2.4848861683824377,3.6768,-2.845422656183338
6,44.95518761378031,-3.0433174218665098,3.6768,-2.688334289236881
7,44.95518761378031,-3.0536717924222154,3.6768,-2.6860960808657737
8,44.95518761378031,-3.0638234572329104,3.6768,-2.6839220660225003
9,44.95518761378031,-3.3583898902493283,3.6768,-2.628907491208274
