iteration,theta0,theta1,gain,bias
0,0.0,0.0,1.3125,8.125
1,2.190682371501697,-5.760106425860533,3.0064193603385574,-5.0189834715342645
2,6.359884357243853,-12.232365594352183,3.552039917094353,-8.680070847206316
3,9.362354827281766,-16.608168268197698,3.6478903532552898,-9.285673845012962
4,10.522390705587156,-17.583739288723688,3.669000380642637,-9.409289430730816
5,11.10192536827769,-17.461776434734826,3.674614143466841,-9.435987810895586
6,5.41708634637397,-4.806303459629973,3.676186798733804,-4.96097319272511
7,2.9094458568658763,3.742635041025855,3.67677940094975,-7.353998399779911
8,7.425959838524898,-1.043390506005192,3.6767997463021502,-3.7750955779527615
9,19.006078723325388,-6.041505688990224,3.6767999999999943,-2.4726780647075444
10,27.4112630339282,-11.035844012730657,3.6768,-2.460881108118855
