iteration,theta0,theta1,gain,bias
0,0.0,0.0,1.3125,8.125
1,0.2777343749999998,-0.00703125,2.1311034687352217,2.334449672183702
2,10.430706151546838,1.8221629380466209,3.676799999964578,-6.764960699977824
3,10.4307061517062,1.2742833502987103,3.676799999938739,-6.368233292224172
4,10.430706152182925,0.3318299395842641,3.676799999842785,-5.371971056664837
5,10.430706155322415,-0.7978244529614258,3.676799999513479,-4.013714141081891
6,10.430706185385006,-1.990506425592318,3.676799998396469,-3.0633281901015827
7,10.430706511857109,-2.0627502602443744,3.6767999982763375,-3.026276762499837
8,10.430706889066016,-2.368354180778144,3.6767999976602255,-2.8910950750980575
9,10.430707584016298,-3.181972048733987,3.6767999947213457,-2.6650229995854176
