theta0,theta1,v_gamma
-10.0,-10.0,66.02752093462122
-9.5,-10.0,66.02752094371786
-9.0,-10.0,66.02752095871038
-8.5,-10.0,66.02752098341338
-8.0,-10.0,66.02752102409964
-7.5,-10.0,66.0275210910662
-7.0,-10.0,66.02752120116567
-6.5,-10.0,66.02752138184728
-6.0,-10.0,66.02752167745162
-5.5,-10.0,66.02752215859466
-5.0,-10.0,66.02752293492412
-4.5,-10.0,66.02752416874995
-4.0,-10.0,66.02752607726863
-3.5,-10.0,66.02752888064462
-3.0,-10.0,66.02753256281265
-2.5,-10.0,66.0275360482064
-2.0,-10.0,66.02753462627109
-1.5,-10.0,66.02751215074574
-1.0,-10.0,66.02741737259771
-0.5,-10.0,66.0270902515613
0.0,-10.0,66.02602571620605
0.5,-10.0,66.02269250386918
1.0,-10.0,66.01540212113629
1.5,-10.0,66.09468993675128
2.0,-10.0,68.39913946628785
2.5,-10.0,76.82756733856155
3.0,-10.0,88.37564382884864
3.5,-10.0,100.43352171425437
4.0,-10.0,109.02621746034735
4.5,-10.0,115.05409778743034
5.0,-10.0,119.89337789378973
5.5,-10.0,122.98365544319321
6.0,-10.0,124.51041679488058
6.5,-10.0,125.19722008564739
7.0,-10.0,125.55471023884417
7.5,-10.0,125.8357491992651
8.0,-10.0,126.16316404284416
8.5,-10.0,126.60545966228618
9.0,-10.0,127.19878460630996
9.5,-10.0,127.93966340703115
10.0,-10.0,128.77387115846338
-10.0,-9.5,66.02737370192709
-9.5,-9.5,66.02737371692521
-9.0,-9.5,66.02737374164373
-8.5,-9.5,66.02737378237164
-8.0,-9.5,66.02737384945205
-7.5,-9.5,66.02737395986112
-7.0,-9.5,66.02737414138464
-6.5,-9.5,66.02737443927805
-6.0,-9.5,66.02737492664718
-5.5,-9.5,66.02737571991779
-5.0,-9.5,66.02737699986864
-4.5,-9.5,66.02737903410235
-4.0,-9.5,66.02738218071413
-3.5,-9.5,66.02738680269154
-3.0,-9.5,66.02739287353732
-2.5,-9.5,66.02739861992086
-2.0,-9.5,66.02739627540423
-1.5,-9.5,66.02735921929147
-1.0,-9.5,66.02720295695275
-0.5,-9.5,66.02666363417906
0.0,-9.5,66.024908595627
0.5,-9.5,66.01941467974255
1.0,-9.5,66.00755820816977
1.5,-9.5,66.15739942624967
2.0,-9.5,69.66195783378082
2.5,-9.5,79.73306996463432
3.0,-9.5,92.3891624203728
3.5,-9.5,104.07307918028486
4.0,-9.5,111.84048053240765
4.5,-9.5,117.5756695812221
5.0,-9.5,121.6680788623317
5.5,-9.5,123.91846329256619
6.0,-9.5,124.96130489003771
6.5,-9.5,125.46528632097002
7.0,-9.5,125.80243739411289
7.5,-9.5,126.1507802545545
8.0,-9.5,126.60080778481736
8.5,-9.5,127.19698019728618
9.0,-9.5,127.93890661869602
9.5,-9.5,128.77349970987382
