theta0,theta1,value
-10.0,-10.0,33.30086446994772
-9.5,-10.0,33.30086447871638
-9.0,-10.0,33.30086449317123
-8.5,-10.0,33.30086451699689
-8.0,-10.0,33.300864556261516
-7.5,-10.0,33.30086462095125
-7.0,-10.0,33.300864727479606
-6.5,-10.0,33.30086490276975
-6.0,-10.0,33.30086519083516
-5.5,-10.0,33.300865663220236
-5.0,-10.0,33.30086643510134
-4.5,-10.0,33.30086768879586
-4.0,-10.0,33.3008697042195
-3.5,-10.0,33.30087288631396
-3.0,-10.0,33.30087774733069
-2.5,-10.0,33.300884702031986
-2.0,-10.0,33.30089323199655
-1.5,-10.0,33.30089905750458
-1.0,-10.0,33.30088507787128
-0.5,-10.0,33.30079235917073
0.0,-10.0,33.300425416335656
0.5,-10.0,33.299166962523046
1.0,-10.0,33.29606562502191
1.5,-10.0,33.320278680661275
2.0,-10.0,34.04123932982841
2.5,-10.0,36.60089195624913
3.0,-10.0,40.161243690353665
3.5,-10.0,43.95788322723508
4.0,-10.0,46.689390900315416
4.5,-10.0,48.570606972064596
5.0,-10.0,50.0830587213066
5.5,-10.0,51.07220795163343
6.0,-10.0,51.58691102917078
6.5,-10.0,51.85531973913895
7.0,-10.0,52.04882243263551
7.5,-10.0,52.26324298071974
8.0,-10.0,52.55789042705776
8.5,-10.0,52.97640718268387
9.0,-10.0,53.54531321708902
9.5,-10.0,54.258191176670096
10.0,-10.0,55.06165952713895
-10.0,-9.5,33.30071723692368
-9.5,-9.5,33.30071725138085
-9.0,-9.5,33.300717275212854
-8.5,-9.5,33.30071731449461
-8.0,-9.5,33.3007173792311
-7.5,-9.5,33.30071748588647
-7.0,-9.5,33.30071766152201
-6.5,-9.5,33.30071795052655
-6.0,-9.5,33.30071842546605
-5.5,-9.5,33.300719204297245
-5.0,-9.5,33.30072047691368
-4.5,-9.5,33.30072254390538
-4.0,-9.5,33.300725866774094
-3.5,-9.5,33.3007311131526
-3.0,-9.5,33.300739127591854
-2.5,-9.5,33.300750593896126
-2.0,-9.5,33.30076465727574
-1.5,-9.5,33.30077426155501
-1.0,-9.5,33.30075121248424
-0.5,-9.5,33.3005983467194
0.0,-9.5,33.29999338804531
0.5,-9.5,33.29791912174017
1.0,-9.5,33.29286141123125
1.5,-9.5,33.338878865497584
2.0,-9.5,34.42172102380368
