iteration,theta0,theta1,v_gamma
0,0.0,0.0,29.03575987980655
1,44.95518761378031,0.6674490202802581,55.03711633922045
2,44.95518761378031,-0.8126283906339713,56.80512150156287
3,44.95518761378031,-2.12781739401966,57.80966306462567
4,44.95518761378031,-2.184446000294617,57.83599510026805
5,44.95518761378031,-2.4848861683824377,57.957152268275195
6,44.95518761378031,-3.0433174218665098,58.114240635221655
7,44.95518761378031,-3.0536717924222154,58.11647884359276
8,44.95518761378031,-3.0638234572329104,58.118652858436036
9,44.95518761378031,-3.3583898902493283,58.17366743325026
