iteration,theta0,theta1,gain
0,0.0,0.0,1.3125
1,2.190682371501697,-5.760106425860533,3.0064193603385574
2,6.359884357243853,-12.232365594352185,3.552039917094353
3,9.362354827281766,-16.608168268197698,3.6478903532552898
4,10.522390705587156,-17.583739288723688,3.6690003806426374
5,11.10192536827769,-17.461776434734826,3.674614143466841
6,5.41708634637397,-4.806303459629973,3.6761867987338035
7,2.9094458568658763,3.7426350410258546,3.67677940094975
8,7.425959838524898,-1.043390506005192,3.6767997463021502
9,19.006078723325388,-6.041505688990224,3.6767999999999947
10,27.4112630339282,-11.035844012730657,3.6768
