iteration,theta0,theta1,gain
0,0.0,0.0,1.3125
1,1.2808593750000006,0.16875000000000012,3.6383355214718187
2,1.3967124730249967,0.20661309470834996,3.6504329582415616
3,1.4722848333954248,0.23265914858229664,3.656041482227582
4,1.5300569605858163,0.2532023066559103,3.6594513025598165
5,1.5773409994614533,0.2703915920669641,3.661791060632746
6,1.617595248272815,0.28527562648789817,3.6635151784299356
7,1.6527654119256125,0.2984588268751545,3.6648475846904063
8,1.6840669736355012,0.3103263053566632,3.665913164376093
9,1.712315135659804,0.32114068942939733,3.6667877420632595
10,1.7380856533874836,0.3310901512525577,3.6675203202583853
11,1.761801542486886,0.340314697620321,3.668144124711165
12,1.7837834496416938,0.3489216494605145,3.6686825603763737
13,1.8042806591471834,0.3569952860341273,3.6691526355454696
14,1.823491085085964,0.36460313139457085,3.6695670344733395
15,1.8415746611420687,0.37180020681881776,3.6699354262943396
16,1.8586625980576874,0.3786319978046769,3.6702653215797283
17,1.8748639591850145,0.3851365793510613,3.6705626501235376
18,1.8902704408530866,0.39134617314081876,3.6708321610140078
19,1.9049599186111748,0.39728831115695334,3.6710777060444975
20,1.918999125083764,0.40298672036337396,3.6713024445552334
21,1.9324457041362517,0.4084620056901618,3.671508994149996
22,1.9453498088763077,0.41373218455669547,3.671699543369803
23,1.9577553605497493,0.4188131103645122,3.6718759371416665
24,1.969701051637314,0.4237188117579602,3.672039742425714
25,1.9812211534241386,0.42846176715087503,3.6721922992468934
26,1.9923461723048421,0.4330531289157257,3.6723347607939902
27,2.0031033877752655,0.43750290800757746,3.672468125240211
28,2.0135172969478514,0.44182012718236907,3.672593261224478
29,2.0236099845267024,0.44601294905954025,3.672710928427982
30,2.033401432831618,0.45008878386599666,3.6728217943194648
31,2.042909783221608,0.45405438064075904,3.672926447881119
32,2.0521515578283793,0.45791590487944966,3.673025410935405
33,3.4678990964323493,0.14754966405846887,3.676570040014473
34,3.6961541791337513,-0.8932698091260538,3.6763948409603397
35,4.16021751858665,-1.5044329397478866,3.6765122975766666
36,4.650363743400645,-1.788990907030385,3.6766588691158293
37,5.038175236453708,-2.0296376179535773,3.676718032943315
38,5.369110684264498,-2.2205487520274714,3.6767490744837117
39,5.655914150579839,-2.3807483645055028,3.6767664250312335
40,5.908644661563511,-2.518962361206922,3.676776794316568
41,6.134359539265764,-2.64058655190272,3.6767833386866178
42,6.338164444713941,-2.7492172665276153,3.6767876579017162
43,6.523861398830104,-2.847381095927266,3.676790616383805
44,6.694353022053353,-2.936925504650551,3.6767927071408835
45,6.851902998423892,-3.019244572070739,3.6767942245276455
46,6.9983093505634155,-3.095417378221008,3.676795351311351
47,7.135023080890141,-3.166296937672252,3.6767962048760268
48,7.263231501892261,-3.2325696035023124,3.676796862865356
49,7.38391809644131,-3.294796044185952,3.676797377981529
50,7.497906383475373,-3.3534402896151283,3.676797786824392
51,7.6058926374992595,-3.4088908063149472,3.6767981153339075
52,7.708470684023881,-3.4614761019632043,3.6767983822331907
53,7.806150959694657,-3.51147648607842,3.676798601260087
54,7.899375353584731,-3.55913307380045,3.676798782645562
55,7.988528899329708,-3.6046547759924867,3.6767989341125844
56,8.07394908499244,-3.6482237944434854,3.676799061563388
57,8.155933338690868,-3.6899999909967782,3.676799169560048
58,8.2347451016047,-3.7301243971869833,3.676799261665678
59,8.310618795789308,-3.768722059965951,3.6767993406900588
60,8.383763919066936,-3.80590436896741,3.676799408868709
61,8.454368444363961,-3.8417709748255473,3.6767994679950045
62,8.522601660275456,-3.8764113819496364,3.67679951951873
63,8.588616559316916,-3.9099062799361617,3.676799564620345
64,8.65255185743055,-3.9423286634893224,3.6767996042674893
65,8.714533710873216,-3.973744779948641,3.6767996392583493
66,8.77467718320373,-4.004214935333774,3.676799670255237
67,8.833087504694522,-4.0337941835328355,3.676799697810769
68,8.88986115837297,-4.062532918397252,3.676799722388487
69,8.94508682050825,-4.090477384711394,3.676799744379101
70,8.998846178297848,-4.117670121021196,3.6767997641135
71,9.05121464346845,-4.144150344943932,3.6767997818731635
72,9.10226197726791,-4.169954289697166,3.6767997978985196
73,9.152052839706995,-4.195115499074615,3.6767998123957772
74,9.200647273789567,-4.219665086876507,3.676799825542451
75,9.248101133735165,-4.243631965812928,3.67679983749192
76,9.294466464779493,-4.267043050090568,3.6767998483771556
77,9.339791840967399,-4.289923435231021,3.676799858313825
78,9.384122666383654,-4.312296558123203,3.67679986740285
79,9.427501444463026,-4.334184339860038,3.6767998757325646
80,9.469968019348132,-4.355607313534049,3.6767998833804882
81,9.511559792700412,-4.376584738852663,3.676799890414856
82,9.552311918895663,-4.397134705170924,3.6767998968958713
83,9.592257481136246,-4.417274224317665,3.676799902876811
84,9.631427650672737,-4.437019314404396,3.6767999084049072
85,9.669851831039109,-4.456385075647658,3.676799913522151
86,9.707557788960974,-4.475385759100551,3.676799918265956
87,9.744571773385703,-4.494034829074201,3.6767999226697152
88,9.780918623902991,-4.512345019931473,3.6767999267633193
89,9.81662186966897,-4.530328387850812,3.6767999305735573
90,9.851703819814269,-4.54799635808501,3.6767999341244932
91,9.886185646198843,-4.565359768177346,3.6767999374377816
92,9.920087459278175,-4.582428907542605,3.6767999405329475
93,9.9534283777557,-4.599213553773953,3.676799943427627
94,9.98622659262242,-4.61572300599496,3.676799946137765
95,10.018499426117353,-4.631966115540581,3.67679994867782
96,10.050263386082992,-4.647951314219882,3.67679995106091
97,10.08153421614146,-4.663686640385255,3.67679995329896
98,10.112326942070188,-4.679179763009267,3.6767999554028203
99,10.142655914717084,-4.694438003949084,3.6767999573823884
100,10.172534849759826,-4.709468358559663,3.6767999592466967
101,10.201976864584012,-4.724277514800359,3.6767999610040047
102,10.230994512526424,-4.738871870965171,3.676799962661868
103,10.259599814706164,-4.753257552153807,3.676799964227216
104,10.287804289644221,-4.7674404255894,3.6767999657064028
105,10.315618980853552,-4.781426114878237,3.676799967105274
