method_name,seed,tuning_samples,learning_samples,total_samples
discounting_free_vanilla_exact,42,0,111,111
discounting_free_vanilla_exact,43,0,111,111
discounting_free_vanilla_exact,44,0,111,111
discounting_free_vanilla_exact,45,0,111,111
discounting_free_vanilla_exact,46,0,111,111
discounting_free_vanilla_exact,47,0,111,111
discounting_free_vanilla_exact,48,0,111,111
discounting_free_vanilla_exact,49,0,111,111
discounting_free_vanilla_exact,50,0,111,111
discounting_free_vanilla_exact,51,0,111,111
discounting_free_vanilla_exact,52,0,111,111
discounting_free_vanilla_exact,53,0,111,111
discounting_free_vanilla_exact,54,0,111,111
discounting_free_vanilla_exact,55,0,111,111
discounting_free_vanilla_exact,56,0,111,111
discounting_free_vanilla_exact,57,0,111,111
discounting_free_vanilla_exact,58,0,111,111
discounting_free_vanilla_exact,59,0,111,111
discounting_free_vanilla_exact,60,0,111,111
discounting_free_vanilla_exact,61,0,111,111
discounting_free_vanilla_exact,62,0,111,111
discounting_free_vanilla_exact,63,0,111,111
discounting_free_vanilla_exact,64,0,111,111
discounting_free_vanilla_exact,65,0,111,111
discounting_free_vanilla_exact,66,0,111,111
discounting_free_vanilla_exact,67,0,111,111
discounting_free_vanilla_exact,68,0,111,111
discounting_free_vanilla_exact,69,0,111,111
discounting_free_vanilla_exact,70,0,111,111
discounting_free_vanilla_exact,71,0,111,111
discounting_free_vanilla_exact,72,0,111,111
discounting_free_vanilla_exact,73,0,111,111
discounting_free_vanilla_exact,74,0,111,111
discounting_free_vanilla_exact,75,0,111,111
discounting_free_vanilla_exact,76,0,111,111
discounting_free_vanilla_exact,77,0,111,111
discounting_free_vanilla_exact,78,0,111,111
discounting_free_vanilla_exact,79,0,111,111
discounting_free_vanilla_exact,80,0,111,111
discounting_free_vanilla_exact,81,0,111,111
discounting_free_vanilla_exact,82,0,111,111
discounting_free_vanilla_exact,83,0,111,111
discounting_free_vanilla_exact,84,0,111,111
discounting_free_vanilla_exact,85,0,111,111
discounting_free_vanilla_exact,86,0,111,111
discounting_free_vanilla_exact,87,0,111,111
discounting_free_vanilla_exact,88,0,111,111
discounting_free_vanilla_exact,89,0,111,111
discounting_free_vanilla_exact,90,0,111,111
discounting_free_vanilla_exact,91,0,111,111
discounting_free_vanilla_exact,92,0,111,111
discounting_free_vanilla_exact,93,0,111,111
discounting_free_vanilla_exact,94,0,111,111
discounting_free_vanilla_exact,95,0,111,111
discounting_free_vanilla_exact,96,0,111,111
discounting_free_vanilla_exact,97,0,111,111
discounting_free_vanilla_exact,98,0,111,111
discounting_free_vanilla_exact,99,0,111,111
discounting_free_vanilla_exact,100,0,111,111
discounting_free_vanilla_exact,101,0,111,111
discounting_free_vanilla_exact,102,0,111,111
discounting_free_vanilla_exact,103,0,111,111
discounting_free_vanilla_exact,104,0,111,111
discounting_free_vanilla_exact,105,0,111,111
discounting_free_vanilla_exact,106,0,111,111
discounting_free_vanilla_exact,107,0,111,111
discounting_free_vanilla_exact,108,0,111,111
discounting_free_vanilla_exact,109,0,111,111
discounting_free_vanilla_exact,110,0,111,111
discounting_free_vanilla_exact,111,0,111,111
discounting_free_vanilla_exact,112,0,111,111
discounting_free_vanilla_exact,113,0,111,111
discounting_free_vanilla_exact,114,0,111,111
discounting_free_vanilla_exact,115,0,111,111
discounting_free_vanilla_exact,116,0,111,111
discounting_free_vanilla_exact,117,0,111,111
discounting_free_vanilla_exact,118,0,111,111
discounting_free_vanilla_exact,119,0,111,111
discounting_free_vanilla_exact,120,0,111,111
discounting_free_vanilla_exact,121,0,111,111
discounting_free_vanilla_exact,122,0,111,111
discounting_free_vanilla_exact,123,0,111,111
discounting_free_vanilla_exact,124,0,111,111
discounting_free_vanilla_exact,125,0,111,111
discounting_free_vanilla_exact,126,0,111,111
discounting_free_vanilla_exact,127,0,111,111
discounting_free_vanilla_exact,128,0,111,111
discounting_free_vanilla_exact,129,0,111,111
discounting_free_vanilla_exact,130,0,111,111
discounting_free_vanilla_exact,131,0,111,111
discounting_free_vanilla_exact,132,0,111,111
discounting_free_vanilla_exact,133,0,111,111
discounting_free_vanilla_exact,134,0,111,111
discounting_free_vanilla_exact,135,0,111,111
discounting_free_vanilla_exact,136,0,111,111
discounting_free_vanilla_exact,137,0,111,111
discounting_free_vanilla_exact,138,0,111,111
discounting_free_vanilla_exact,139,0,111,111
discounting_free_vanilla_exact,140,0,111,111
discounting_free_vanilla_exact,141,0,111,111
discounting_free_vanilla_sampling,42,0,6240,6240
discounting_free_vanilla_sampling,43,0,7744,7744
discounting_free_vanilla_sampling,44,0,8064,8064
discounting_free_vanilla_sampling,45,0,5920,5920
discounting_free_vanilla_sampling,46,0,6960,6960
discounting_free_vanilla_sampling,47,0,6544,6544
discounting_free_vanilla_sampling,48,0,6560,6560
discounting_free_vanilla_sampling,49,0,7312,7312
discounting_free_vanilla_sampling,50,0,6592,6592
