theta0,theta1,value
-10.0,-10.0,-159.0887271448354
-9.5,-10.0,-159.0887271448354
-9.0,-10.0,-159.0887271448354
-8.5,-10.0,-159.0887271448354
-8.0,-10.0,-159.0887271448354
-7.5,-10.0,-159.0887271448354
-7.0,-10.0,-159.0887271448354
-6.5,-10.0,-159.0887271448354
-6.0,-10.0,-159.0887271448354
-5.5,-10.0,-159.0887271448354
-5.0,-10.0,-159.0887271448354
-4.5,-10.0,-159.0887271448354
-4.0,-10.0,-159.0887271448354
-3.5,-10.0,-159.0887271448354
-3.0,-10.0,-159.0887271448354
-2.5,-10.0,-159.0887271448354
-2.0,-10.0,-159.0887271448354
-1.5,-10.0,-159.0887271448354
-1.0,-10.0,-159.0887271448354
-0.5,-10.0,-159.0887271448354
0.0,-10.0,-159.0887271448354
0.5,-10.0,-159.0887271448354
1.0,-10.0,-159.0887271448354
1.5,-10.0,-159.0887271448354
2.0,-10.0,-159.0887271448354
2.5,-10.0,-159.0887271448354
3.0,-10.0,-159.0887271448354
3.5,-10.0,-159.0887271448354
4.0,-10.0,-159.0887271448354
4.5,-10.0,-159.0887271448354
5.0,-10.0,-159.0887271448354
5.5,-10.0,-159.0887271448354
6.0,-10.0,-159.0887271448354
6.5,-10.0,-159.0887271448354
7.0,-10.0,-159.0887271448354
7.5,-10.0,-159.0887271448354
8.0,-10.0,-159.0887271448354
8.5,-10.0,-159.0887271448354
9.0,-10.0,-159.0887271448354
9.5,-10.0,-159.0887271448354
10.0,-10.0,-159.0887271448354
-10.0,-9.5,-159.0887133720767
-9.5,-9.5,-159.0887133720767
-9.0,-9.5,-159.0887133720767
-8.5,-9.5,-159.0887133720767
-8.0,-9.5,-159.0887133720767
-7.5,-9.5,-159.0887133720767
-7.0,-9.5,-159.0887133720767
-6.5,-9.5,-159.0887133720767
-6.0,-9.5,-159.0887133720767
-5.5,-9.5,-159.0887133720767
-5.0,-9.5,-159.0887133720767
-4.5,-9.5,-159.0887133720767
-4.0,-9.5,-159.0887133720767
-3.5,-9.5,-159.0887133720767
-3.0,-9.5,-159.0887133720767
-2.5,-9.5,-159.0887133720767
-2.0,-9.5,-159.0887133720767
-1.5,-9.5,-159.0887133720767
-1.0,-9.5,-159.0887133720767
-0.5,-9.5,-159.0887133720767
0.0,-9.5,-159.0887133720767
0.5,-9.5,-159.0887133720767
1.0,-9.5,-159.0887133720767
1.5,-9.5,-159.0887133720767
2.0,-9.5,-159.0887133720767
2.5,-9.5,-159.0887133720767
3.0,-9.5,-159.0887133720767
3.5,-9.5,-159.0887133720767
4.0,-9.5,-159.0887133720767
4.5,-9.5,-159.0887133720767
5.0,-9.5,-159.0887133720767
5.5,-9.5,-159.0887133720767
6.0,-9.5,-159.0887133720767
6.5,-9.5,-159.0887133720767
