iteration,theta0,theta1,v_gamma
0,0.0,0.0,-4.792547738769886
1,0.0,0.08166969289661968,-4.78712263224419
2,0.0,0.1502073345251882,-4.782476480566248
3,0.0,0.24127059534838352,-4.776187548385843
4,0.0,0.30404213377830014,-4.7717861759741345
5,0.0,0.38841239993664967,-4.765800725813601
6,0.0,0.45172547974218963,-4.761267601754262
7,0.0,0.526792082319197,-4.755860123161458
8,0.0,0.5978756808257645,-4.750719596779556
9,0.0,0.6567626401321627,-4.7464557877713665
10,0.0,0.7298274650334827,-4.7411705258949155
11,0.0,0.8000959500211249,-4.736105115729905
12,0.0,0.8599004472896424,-4.731816957018011
13,0.0,0.9173949244891368,-4.727721661774981
14,0.0,0.9740417636498481,-4.723719196001493
15,0.0,1.0299814768307933,-4.719804151509887
16,0.0,1.097185460116937,-4.715157762897916
17,0.0,1.1361521531212102,-4.712495510951727
18,0.0,1.1616880740774376,-4.7107645830582205
19,0.0,1.1943427374157645,-4.708567787154012
20,0.0,1.262872554595619,-4.704022195955768
21,0.0,1.3096597145834135,-4.700972389568463
22,0.0,1.3464751215784299,-4.698604964203937
23,0.0,1.3981086822896034,-4.69533488524689
24,0.0,1.4678504020743295,-4.691015420560758
25,0.0,1.516077114109731,-4.6880968097433104
26,0.0,1.5577177056878226,-4.6856232723070965
27,0.0,1.5931304866549991,-4.683554366802021
28,0.0,1.6106694525822036,-4.682541684415115
29,0.0,1.6325764100579367,-4.6812880772615735
30,0.0,1.6853224931884732,-4.67832174407768
31,0.0,1.7063729626981776,-4.677158659625842
32,0.0,1.735988721103076,-4.675542580377519
33,0.0,1.781431887732243,-4.6731092504965845
34,0.0,1.824403413012857,-4.670860406923859
35,0.0,1.8444529950693422,-4.669828590268124
36,0.0,1.8640298131514206,-4.6688318522880135
37,0.0,1.8950050012039588,-4.667276521333041
38,0.0,1.9273017770935814,-4.665683263733284
39,0.0,1.9599966952276549,-4.664099967465267
40,0.0,1.9908076971459927,-4.662635166558178
41,0.0,2.0237143154559663,-4.6610999282630665
42,0.0,2.042111541671413,-4.66025473824659
43,0.0,2.0872550675718298,-4.658220563603166
44,0.0,2.1055358580791443,-4.657412856731307
45,0.0,2.1241171685938705,-4.65660130717501
46,0.0,2.1544803148518596,-4.655295580212778
47,0.0,2.186485137095887,-4.653946528763558
