theta0,theta1,v_gamma
-10.0,-10.0,2.8111987303447235
-9.5,-10.0,2.8111987303447235
-9.0,-10.0,2.811198730344724
-8.5,-10.0,2.811198730344724
-8.0,-10.0,2.811198730344728
-7.5,-10.0,2.811198730344744
-7.0,-10.0,2.8111987303448136
-6.5,-10.0,2.81119873034513
-6.0,-10.0,2.8111987303465447
-5.5,-10.0,2.8111987303528867
-5.0,-10.0,2.811198730381309
-4.5,-10.0,2.8111987305086896
-4.0,-10.0,2.811198731079568
-3.5,-10.0,2.811198733638068
-3.0,-10.0,2.8111987451044715
-2.5,-10.0,2.811198796493324
-2.0,-10.0,2.8111990268021563
-1.5,-10.0,2.8112000589742396
-1.0,-10.0,2.8112046848386476
-0.5,-10.0,2.8112254163250507
0.0,-10.0,2.81131832439307
0.5,-10.0,2.8117346289792606
1.0,-10.0,2.8135987615290823
1.5,-10.0,2.821920913140624
2.0,-10.0,2.8585807710717015
2.5,-10.0,3.011036015843812
3.0,-10.0,3.5196855881864964
3.5,-10.0,4.4509768405778205
4.0,-10.0,5.131529867861298
4.5,-10.0,5.368333752823408
5.0,-10.0,5.4279212022329375
5.5,-10.0,5.441597894363474
6.0,-10.0,5.444669108666221
6.5,-10.0,5.445355368115288
7.0,-10.0,5.445508542105571
7.5,-10.0,5.445542722273442
8.0,-10.0,5.445550349020809
8.5,-10.0,5.445552050784196
9.0,-10.0,5.445552430499232
9.5,-10.0,5.445552515225125
10.0,-10.0,5.4455525341300275
-10.0,-9.5,2.8111729877984986
-9.5,-9.5,2.8111729877984986
-9.0,-9.5,2.811172987798499
-8.5,-9.5,2.8111729877985003
-8.0,-9.5,2.811172987798506
-7.5,-9.5,2.811172987798532
-7.0,-9.5,2.811172987798648
-6.5,-9.5,2.811172987799169
-6.0,-9.5,2.811172987801502
-5.5,-9.5,2.8111729878119576
-5.0,-9.5,2.8111729878588183
-4.5,-9.5,2.811172988068833
-4.0,-9.5,2.8111729890100525
