iteration,theta0,theta1,gain_plus_bias
0,0.0,0.0,4.0
1,0.2422499527348889,-0.34328243083440957,4.369115037501141
2,0.4973341194594406,-0.7072674588832831,4.729896171882509
3,0.7892579449721076,-1.1201655966477375,5.084676115201221
4,1.150400101515185,-1.624773450403855,5.41945893433484
5,1.6247279128710839,-2.289855682819037,5.697571770924794
6,2.2489081054195497,-3.2029079160063674,5.876670844252239
7,3.0019977779033713,-4.413936966433491,5.957946295946109
8,3.8530260241523333,-5.941883280250596,5.9865148284934335
9,4.910340205657626,-7.982680977244511,5.996144439117189
10,6.481957093837076,-11.106374084176114,5.999268477804946
