iteration,theta0,theta1,gain
0,0.0,0.0,0.0
1,1.9757653569113316,0.4400487164208329,0.0
2,1.9892861701503664,0.23626327380269305,0.0
3,2.0051945437955454,0.02604791925603983,0.0
4,2.0238964270341446,-0.1862207902586523,0.0
5,2.0457417231832506,-0.39559501742705433,0.0
6,2.0709448117427662,-0.5974017707012624,0.0
7,2.0995132793959916,-0.7880238608819485,0.0
8,2.131216484345031,-0.965294236755033,0.0
9,2.165610716012591,-1.1284366949415507,0.0
10,2.202110578236326,-1.2777220330793937,0.0
11,2.2400775880547124,-1.4140590273575937,0.0
12,2.278897547541575,-1.538656910881112,0.0
13,2.318031555917183,-1.6527996564264489,0.0
14,2.357039486587775,-1.7577179913449832,0.0
15,2.3955826559177438,-1.8545290629582696,0.0
16,2.4334141979660564,-1.9442166059510222,0.0
17,2.470364079951007,-2.027632601368168,0.0
18,2.5063232112731484,-2.1055088171888996,0.0
19,2.541228979184677,-2.1784717956427277,0.0
20,2.575053131197495,-2.2470580304866297,0.0
21,2.6077921308521255,-2.311727871923436,0.0
22,2.6394597396169392,-2.372877643190076,0.0
23,2.670081447071487,-2.4308499167420896,0.0
24,2.6996903642968246,-2.4859421022341124,0.0
25,2.7283242410607613,-2.538413570112287,0.0
26,2.756023328832259,-2.5884915426235104,0.0
27,2.782828871503414,-2.63637596447483,0.0
28,2.8087820571581212,-2.6822435363016734,0.0
29,2.83392330572833,-2.72625106405338,0.0
30,2.858291799620723,-2.7685382500171,0.0
31,2.8819251888707313,-2.8092300277000426,0.0
32,2.9048594206855327,-2.848438523271975,0.0
33,2.9271286567977954,-2.886264710357898,0.0
34,2.9487652520354186,-2.9227998121342176,0.0
35,2.96979977483368,-2.9581264943833006,0.0
36,2.9902610557715277,-2.992319884918703,0.0
37,3.010176254124692,-3.0254484481977633,0.0
38,3.029570935280945,-3.057574738654412,0.0
39,3.0484691539414412,-3.0887560520429704,0.0
40,3.0668935395447825,-3.119044990668445,0.0
41,3.0848653814495086,-3.148489955620321,0.0
42,3.1024047122073743,-3.177135576890925,0.0
43,3.119530387835211,-3.2050230904403776,0.0
44,3.1362601644069157,-3.2321906697846012,0.0
45,3.152610770582488,-3.2586737184650114,0.0
46,3.1685979758999534,-3.2845051287563076,0.0
47,3.1842366548018,-3.3097155111408734,0.0
48,3.199540846467337,-3.3343333983918275,0.0
49,3.2145238105887266,-3.358385427535465,0.0
50,3.229198079270648,-3.3818965024866734,0.0
51,3.2435755052583524,-3.404889939750986,0.0
52,3.257667306711348,-3.4273875992505847,0.0
53,3.271484108743661,-3.4494100020477676,0.0
54,3.285035981949387,-3.4709764364991518,0.0
55,3.2983324781258765,-3.4921050541698726,0.0
56,3.311382663397986,-3.51281295666328,0.0
57,3.3241951489362505,-3.5331162743731976,0.0
58,3.336778119450447,-3.5530302380386565,0.0
59,3.349139359628269,-3.5725692438717767,0.0
60,3.3612862786771553,-3.5917469129353843,0.0
61,3.373225933115884,-3.6105761453657053,0.0
62,3.384965047951603,-3.629069169965133,0.0
63,3.3965100363675327,-3.6472375896290297,0.0
64,3.407867018036804,-3.66509242301741,0.0
65,3.4190418361686965,-3.6826441428360774,0.0
66,3.4300400733850376,-3.699902711051312,0.0
67,3.4408670665166095,-3.7168776113267987,0.0
68,3.4515279204021097,-3.7335778789403937,0.0
69,3.462027520765484,-3.7500121284109933,0.0
70,3.472370546241266,-3.766188579041699,0.0
71,3.482561479611885,-3.782115078564211,0.0
72,3.4926046183156676,-3.7977991250505854,0.0
73,3.502504084279522,-3.8132478872418516,0.0
74,3.512263833125899,-3.828468223428187,0.0
75,3.5218876627996187,-3.8434666990022346,0.0
76,3.5313792216565143,-3.8582496027954325,0.0
77,3.5407420160524623,-3.872822962296803,0.0
78,3.549979417468329,-3.8871925578443216,0.0
79,3.5590946692035543,-3.9013639358706547,0.0
80,3.5680908926685038,-3.9153424212775816,0.0
81,3.5769710933034,-3.929133129006717,0.0
82,3.5857381661494783,-3.9427409748681193,0.0
83,3.5943949010960314,-3.9561706856829644,0.0
84,3.6029439878252205,-3.969426808791567,0.0
85,3.611388020474862,-3.982513720973639,0.0
86,3.6197295020378717,-3.9954356368236894,0.0
87,3.627970848515671,-4.008196616620873,0.0
88,3.6361143928415816,-4.0208005737293355,0.0
89,3.644162388589021,-4.0332512815621495,0.0
90,3.6521170134782888,-4.045552380139253,0.0
91,3.6599803726946813,-4.057707382267371,0.0
92,3.667754502029806,-4.069719679367668,0.0
93,3.675441370857083,-4.081592546974885,0.0
94,3.6830428849516723,-4.093329149929848,0.0
95,3.690560889164345,-4.104932547285583,0.0
96,3.6979971699581378,-4.116405696945702,0.0
97,3.705353457816051,-4.127751460052368,0.0
98,3.712631429527455,-4.138972605139811,0.0
99,3.719832710360378,-4.150071812068247,0.0
100,3.726958876126346,-4.161051675751915,0.0
101,3.734011455144017,-4.171914709694002,0.0
102,3.74099193010742,-4.182663349340295,0.0
103,3.7479017398642585,-4.19329995526256,0.0
104,3.754742281109337,-4.203826816181901,0.0
105,3.761514909997899,-4.214246151841607,0.0
106,3.7682209436833065,-4.224560115738377,0.0
107,3.7748616617832487,-4.234770797720185,0.0
108,3.7814383077783726,-4.244880226458502,0.0
109,3.787952090347014,-4.254890371802078,0.0
110,3.794404184639461,-4.2648031470190055,0.0
111,3.8007957334949682,-4.27462041093335,0.0
112,3.807127848604557,-4.284343969962223,0.0
113,3.813401611622454,-4.293975580058801,0.0
114,3.8196180752288256,-4.303516948566426,0.0
115,3.825778264146332,-4.312969735988642,0.0
116,3.8318831761128767,-4.3223355576796445,0.0
117,3.8379337828127538,-4.331615985459425,0.0
118,3.843931030768322,-4.34081254915757,0.0
119,3.849875842194151,-4.3499267380894535,0.0
120,3.8557691158155256,-4.358960002468345,0.0
121,3.861611727653045,-4.367913754756725,0.0
122,3.8674045317750005,-4.376789370959913,0.0
123,3.8731483610190667,-4.385588191864936,0.0
124,3.8788440276848024,-4.394311524227383,0.0
125,3.8844923241983498,-4.402960641908847,0.0
126,3.890094023750653,-4.411536786967378,0.0
127,3.8956498809104425,-4.420041170703271,0.0
128,3.90116063221316,-4.42847497466235,0.0
