iteration,theta0,theta1,v_gamma
0,0.0,0.0,3.691335848139334
1,0.084415075359239,-0.1885549208536002,3.7750103746518406
2,0.16859821426750868,-0.37563385750938316,3.8580765127130126
3,0.25103865452998175,-0.5541015713313835,3.940060749490329
4,0.3305101646143904,-0.7179210200382917,4.020901714607964
5,0.40641778242344134,-0.863496323248303,4.1009888068795055
6,0.47898910406703415,-0.990396178800299,4.180977937392198
7,0.5492423303433306,-1.1011850986397063,4.261543073488073
8,0.6187756802685042,-1.2005326868586101,4.343209781441702
9,0.6895027585787629,-1.2940871132794158,4.4263060622241
10,0.7634514908666343,-1.3875717221844872,4.510983333609515
11,0.8426806851188356,-1.4863113013102183,4.597248753930498
12,0.929311141671269,-1.5951644074518512,4.684974951078419
13,1.025647095285386,-1.7187471637518652,4.773876740508
14,1.1343711082973529,-1.861852971085205,4.863455110655392
15,1.2588148551856702,-2.030037376847604,4.952911417606735
16,1.4033302926185325,-2.2304147790580178,5.041037296944064
17,1.573807644709953,-2.4728053753088615,5.126095701658113
18,1.778403142760674,-2.7714948277017872,5.205734154661638
19,2.028528403216203,-3.1480268026055236,5.277022549649028
20,2.340072733403739,-3.6355409368781193,5.336784899239535
21,2.7348116490146,-4.284969444427735,5.382436674014384
22,3.2434497975873824,-5.174044392917578,5.413295599525787
23,3.919412877002252,-6.430547375046789,5.4314570351860745
24,4.88783018465303,-8.31607925221396,5.440773086661881
25,6.445243101526442,-11.41552382337992,5.444625802755505
